x,y,yaw,v
-1.43399068249402,3.07039164217439,-1.62709898630072,1
-1.43596479028017,3.03536627400297,-1.57681528028095,1
-1.43618511269459,2.99876194497484,-1.541855255026,1
-1.43506955999665,2.96022704784054,-1.5143308060774,1
-1.43280876060545,2.92023102711988,-1.49096994162434,1
-1.42951240139559,2.87902467056291,-1.46833852098292,1
-1.42518076361797,2.83689542667196,-1.44407954237248,1
-1.41975021209316,2.79426923468585,-1.42466459675839,1
-1.41334120771158,2.75072414713335,-1.411209301971,1
-1.40612232519803,2.70587404310633,-1.40247344127703,1
-1.39828046505591,2.65972666526908,-1.3979692769395,1
-1.39003671180274,2.61250308957191,-1.39205175662302,1
-1.38150823177722,2.56529908929789,-1.38394376703886,1
-1.37281764600657,2.51933124762018,-1.37098031511978,1
-1.3640282346014,2.47593071055427,-1.35668734095855,1
-1.35524845783115,2.43555313300657,-1.34282410897932,1
-1.34656285383186,2.39811605982188,-1.3347833013684,1
-1.33807245353466,2.36281221488293,-1.33373124256052,1
-1.32984244511693,2.32874877360279,-1.33776591811372,1
-1.3218920535019,2.29525118214721,-1.34329362731517,1
-1.31395234773577,2.26095598003533,-1.34831103908768,1
-1.30578464951195,2.22485253579854,-1.35003165243327,1
-1.29688514265208,2.18519738538184,-1.34895032014087,1
-1.28672222764333,2.14014072321135,-1.3464208976797,1
-1.27499754551594,2.08876583998249,-1.34341246793028,1
-1.26178797675382,2.03167682642835,-1.34008906161478,1
-1.24753978568785,1.97101771009089,-1.33598027903,1
-1.23283142740322,1.90953542720371,-1.33017967065784,1
-1.21803668090738,1.84923986061936,-1.3223449140895,1
-1.20330218550027,1.79115984110581,-1.312324415726,1
-1.18841774204511,1.73486168338656,-1.30796182245009,1
-1.172520669976,1.67577770590172,-1.30934642679863,1
-1.15494576492801,1.61009545533666,-1.31827668990638,1
-1.1350274880406,1.53290108098224,-1.33136360846638,1
-1.11255269317456,1.4408348585798,-1.34387052646564,1
-1.08826967392487,1.33566937893605,-1.3530444334556,1
-1.06397360042055,1.22586161957935,-1.35829436689833,1
-1.04168197067725,1.12254457914691,-1.35911982681793,1
-1.02269394860973,1.03418534748642,-1.35594617920996,1
-1.00709044173963,0.962681204111082,-1.35004433481879,1
-0.99408420668451,0.904723518168323,-1.34525711132475,1
-0.982738472486307,0.855274465270164,-1.3421702018501,1
-0.972549774429764,0.811488762284854,-1.34484695803794,1
-0.96270917497647,0.768680223703716,-1.34944776876354,1
-0.953176039565472,0.726317481479419,-1.35379876180892,1
-0.943855508406609,0.684041546442015,-1.35838716203045,1
-0.934760056662153,0.641867047706439,-1.3636477938399,1
-0.925918732458629,0.599798205120132,-1.36863358489402,1
-0.917348856566323,0.557986312203612,-1.37491972541993,1
-0.909130934780457,0.516569669538934,-1.38127818019697,1
-0.901319643564835,0.475847728450048,-1.38534178415317,1
-0.893765210945545,0.435581117725337,-1.38733467264569,1
-0.886393456264928,0.395851497264965,-1.38620495200979,1
-0.879027481283828,0.356401541173123,-1.38313381870149,1
-0.871605336408489,0.317316427140739,-1.37729702566059,1
-0.863975315811559,0.27837802111353,-1.37260340409788,1
-0.856233649752303,0.239829549363957,-1.36775450415005,1
-0.848354178330671,0.201557173243863,-1.36284721172644,1
-0.840329668119381,0.163526196990613,-1.35525816165105,1
-0.83202178025883,0.125580085312726,-1.34579658539172,1
-0.82333653485798,0.0876325520323782,-1.33295546118959,1
-0.814170758393281,0.0498245395213737,-1.31166578384116,1
-0.804199112772003,0.0122085727188861,-1.2809464031622,1
-0.793038430306584,-0.0252120699279759,-1.24061692353883,1
-0.780353290728621,-0.062224623188516,-1.18854452736193,1
-0.765731658353236,-0.0985944811118495,-1.12706057924706,1
-0.749029944899909,-0.133729923244968,-1.05332768853463,1
-0.729978175703978,-0.167200734689576,-0.965673367410094,1
-0.708292245699256,-0.198553098469998,-0.866604015665211,1
-0.683907022421406,-0.227259145513312,-0.757359241004532,1
-0.656663843976151,-0.253015874117922,-0.645515306100813,1
-0.626553963731384,-0.275693189109657,-0.536440491758108,1
-0.593785298975696,-0.295177483329912,-0.434387379408293,1
-0.558654761727119,-0.311476013470288,-0.34151174800428,1
-0.521700598943735,-0.3246109531273,-0.256695404231444,1
-0.483412144685435,-0.334661143344229,-0.178170727012112,1
-0.444365066641927,-0.341692753273132,-0.111447248071428,1
-0.404721382068921,-0.346129316143193,-0.0540401752890835,1
-0.364764982839186,-0.348290671335622,-0.00432788162698112,1
-0.324779911705179,-0.34846372307079,0.0391920303280235,1
-0.285125246064161,-0.346908779992046,0.0793865018470354,1
-0.246146223507349,-0.343807854773051,0.108925202711827,1
-0.207734928007727,-0.339607270578872,0.127003752049814,1
-0.169611919750951,-0.3347393039448,0.140020194502701,1
-0.131786591818811,-0.3294081080182,0.146615702287139,1
-0.0941067692963773,-0.323843726166377,0.153354987325911,1
-0.0566617630919319,-0.318055904230746,0.15401889265965,1
-0.0191450709194485,-0.312231496665713,0.1548780197805,1
0.018356518118908,-0.306376434260893,0.155522680042261,1
0.0558037659073189,-0.300505124365543,0.156820461356745,1
0.0931093867539863,-0.29460640516889,0.153215270190308,1
0.130578184273146,-0.288820265833086,0.149849596172395,1
0.168110936146006,-0.283153519076646,0.147153138029624,1
0.205649432907269,-0.277589391424791,0.146932481528824,1
