x,y,yaw,v
-0.762317513016908,1.62805711903658,-1.61044532578717,1
-0.763036546413833,1.60993165327801,-1.60204805195852,1
-0.763603970356751,1.5917810008193,-1.59408264588431,1
-0.764027189589416,1.57360969899084,-1.58739086468808,1
-0.764329287310856,1.55540672205644,-1.58112946912867,1
-0.764517841911462,1.53715981481671,-1.57471680986045,1
-0.764589546273021,1.51887023340816,-1.56766966825479,1
-0.76453225598973,1.50054712716992,-1.56070219630724,1
-0.764346904351203,1.48218543237506,-1.55453915667802,1
-0.764047553102575,1.46377356403591,-1.5484668916625,1
-0.763635011641388,1.44530140423579,-1.54158435266168,1
-0.763093343571243,1.42676400640933,-1.53472838955516,1
-0.762422674747118,1.40817747147778,-1.52937158102261,1
-0.761650301285621,1.38954291871293,-1.52469283231903,1
-0.760787992517461,1.37085241083827,-1.51945822250928,1
-0.759825379736238,1.35211843228072,-1.51446882527726,1
-0.758766589211445,1.33334127215558,-1.51012279466702,1
-0.757622537777109,1.31450855890032,-1.50576441547497,1
-0.756392439000522,1.2956199214298,-1.50087532628991,1
-0.755066313066751,1.27668477891166,-1.49482438965217,1
-0.75362167931126,1.25770601659708,-1.48823455776213,1
-0.752047728219784,1.23868543076246,-1.4827200058125,1
-0.750365418187672,1.21963425306527,-1.47842004275829,1
-0.748597451420947,1.20054997172191,-1.47382126678236,1
-0.746738128405349,1.18143690389274,-1.46841983355227,1
-0.744773482629162,1.16231359607941,-1.46242772974227,1
-0.742691995053283,1.14318136508943,-1.45548955959549,1
-0.740474392952016,1.12403448170878,-1.44841145380543,1
-0.738119247984239,1.1048868970945,-1.4423050479175,1
-0.735646157348142,1.08574578958673,-1.43634496232785,1
-0.733057765099328,1.06661042048897,-1.42940555312116,1
-0.73033718157241,1.04749722187926,-1.42195080116299,1
-0.727476261991721,1.02841864753361,-1.41438471109845,1
-0.724473584710682,1.00937817658513,-1.4066834891598,1
-0.721328054905837,0.990383687966352,-1.39881832309165,1
-0.718038575261695,0.971445305792668,-1.39036167184611,1
-0.714593892504162,0.952561910532288,-1.38128241555415,1
-0.710983064936879,0.933737458906117,-1.37212179550463,1
-0.707210025579289,0.914996930796873,-1.36313397195901,1
-0.703281209498919,0.896350421248535,-1.35399983566764,1
-0.699194217023287,0.87779495297213,-1.34352710102135,1
-0.694927977396822,0.859347522798372,-1.33183748760702,1
-0.690464948620007,0.841027399728679,-1.31974708254534,1
-0.685800887338743,0.822841080054193,-1.30687805199528,1
-0.68092160798371,0.804784488274719,-1.29326637412432,1
-0.675814463550357,0.78685725628216,-1.27958734574696,1
-0.670485116195388,0.769076756926317,-1.26562313193327,1
