s,x,y,kappa,n_l,n_r
0.0,0.057,0.046,0.232,0.444,0.676
0.05,0.106,0.039,0.339,0.45,0.668
0.1,0.156,0.033,0.429,0.456,0.66
0.15,0.206,0.028,0.394,0.463,0.652
0.2,0.256,0.024,0.361,0.469,0.645
0.25,0.305,0.021,0.33,0.476,0.639
0.3,0.355,0.018,0.301,0.482,0.632
0.35,0.405,0.017,0.274,0.489,0.626
0.4,0.455,0.016,0.248,0.495,0.621
0.45,0.505,0.015,0.224,0.501,0.615
0.5,0.555,0.015,0.201,0.507,0.61
0.55,0.605,0.016,0.18,0.513,0.606
0.6,0.655,0.017,0.16,0.519,0.601
0.65,0.705,0.019,0.142,0.524,0.597
0.7,0.755,0.021,0.125,0.529,0.593
0.75,0.805,0.023,0.109,0.534,0.59
0.8,0.855,0.026,0.094,0.538,0.586
0.85,0.905,0.028,0.081,0.542,0.583
0.9,0.955,0.031,0.069,0.545,0.58
0.95,1.005,0.034,0.058,0.548,0.577
1.0,1.055,0.038,0.048,0.551,0.575
1.05,1.105,0.041,0.039,0.553,0.572
1.1,1.155,0.045,0.032,0.555,0.57
1.15,1.204,0.048,0.025,0.556,0.568
1.2,1.254,0.052,0.019,0.557,0.566
1.25,1.304,0.055,0.015,0.557,0.564
1.3,1.354,0.059,0.011,0.558,0.562
1.35,1.404,0.063,0.008,0.557,0.561
1.4,1.454,0.066,0.006,0.557,0.559
1.45,1.504,0.07,0.004,0.556,0.557
1.5,1.553,0.074,0.003,0.555,0.556
1.55,1.603,0.078,0.003,0.553,0.554
1.6,1.653,0.082,0.003,0.551,0.553
1.65,1.703,0.085,0.004,0.55,0.551
1.7,1.753,0.089,0.005,0.547,0.549
1.75,1.803,0.093,0.006,0.545,0.548
1.8,1.853,0.097,0.008,0.543,0.546
1.85,1.902,0.101,0.01,0.54,0.544
1.9,1.952,0.105,0.011,0.538,0.542
1.95,2.002,0.108,0.013,0.535,0.541
2.0,2.052,0.112,0.015,0.532,0.539
2.05,2.102,0.116,0.016,0.53,0.537
2.1,2.152,0.12,0.018,0.527,0.535
2.15,2.202,0.124,0.019,0.525,0.533
2.2,2.251,0.129,0.02,0.523,0.531
2.25,2.301,0.133,0.021,0.521,0.529
2.3,2.351,0.137,0.021,0.519,0.527
2.35,2.401,0.141,0.022,0.517,0.525
2.4,2.451,0.145,0.022,0.516,0.523
2.45,2.5,0.15,0.022,0.514,0.521
2.5,2.55,0.154,0.021,0.513,0.52
2.55,2.6,0.159,0.021,0.512,0.519
2.6,2.65,0.163,0.02,0.512,0.517
2.65,2.7,0.168,0.02,0.511,0.516
2.7,2.749,0.172,0.019,0.511,0.515
2.75,2.799,0.177,0.018,0.51,0.515
2.8,2.849,0.182,0.018,0.51,0.514
2.85,2.899,0.187,0.018,0.51,0.514
2.9,2.949,0.191,0.017,0.51,0.514
2.95,2.998,0.196,0.017,0.51,0.514
3.0,3.048,0.201,0.017,0.51,0.514
3.05,3.098,0.206,0.018,0.51,0.514
3.1,3.148,0.211,0.019,0.51,0.515
3.15,3.197,0.216,0.02,0.51,0.516
3.2,3.247,0.221,0.021,0.51,0.517
3.25,3.297,0.226,0.022,0.51,0.518
3.3,3.347,0.231,0.024,0.51,0.519
3.35,3.396,0.237,0.026,0.509,0.521
3.4,3.446,0.242,0.029,0.509,0.522
3.45,3.496,0.247,0.032,0.509,0.524
3.5,3.545,0.253,0.035,0.509,0.526
3.55,3.595,0.258,0.038,0.508,0.528
3.6,3.645,0.264,0.042,0.508,0.531
3.65,3.694,0.27,0.045,0.509,0.533
3.7,3.744,0.276,0.05,0.509,0.536
3.75,3.794,0.282,0.054,0.509,0.539
3.8,3.843,0.288,0.058,0.51,0.542
3.85,3.893,0.294,0.063,0.511,0.545
3.9,3.943,0.3,0.068,0.512,0.548
3.95,3.992,0.307,0.074,0.514,0.552
4.0,4.042,0.314,0.079,0.516,0.556
4.05,4.091,0.321,0.086,0.518,0.56
4.1,4.141,0.328,0.092,0.52,0.565
4.15,4.19,0.335,0.099,0.523,0.57
4.2,4.239,0.343,0.107,0.526,0.575
4.25,4.289,0.351,0.115,0.529,0.581
