s,x,y,kappa,n_l,n_r
0.0,0.609,0.889,0.421,1.525,1.904
0.1,0.682,0.821,0.617,1.525,1.795
0.2,0.761,0.76,0.775,1.525,1.634
0.3,0.845,0.705,0.701,1.525,1.526
0.4,0.932,0.655,0.624,1.525,1.432
0.5,1.022,0.612,0.55,1.525,1.376
0.6,1.114,0.573,0.48,1.525,1.332
0.7,1.208,0.539,0.416,1.525,1.295
0.8,1.303,0.508,0.359,1.525,1.26
0.9,1.399,0.481,0.309,1.193,1.218
1.0,1.496,0.457,0.264,1.207,1.18
1.1,1.594,0.436,0.226,1.074,1.152
1.2,1.692,0.417,0.192,1.067,1.133
1.3,1.791,0.4,0.162,1.073,1.107
1.4,1.889,0.384,0.136,1.092,1.088
1.5,1.988,0.369,0.113,1.072,1.072
1.6,2.088,0.356,0.094,1.051,1.062
1.7,2.187,0.344,0.078,1.094,1.058
1.8,2.286,0.332,0.064,1.071,1.116
1.9,2.386,0.321,0.053,1.068,1.066
2.0,2.485,0.311,0.046,1.078,1.149
2.1,2.584,0.301,0.041,1.087,1.135
2.2,2.684,0.291,0.04,1.077,1.073
2.3,2.784,0.282,0.043,1.07,1.058
2.4,2.883,0.273,0.05,1.039,1.039
2.5,2.983,0.265,0.061,1.052,1.008
2.6,3.083,0.257,0.077,1.054,0.987
2.7,3.182,0.25,0.097,1.05,1.077
2.8,3.282,0.244,0.121,1.045,1.088
2.9,3.382,0.239,0.151,1.059,1.107
3.0,3.482,0.236,0.185,1.049,1.133
3.1,3.582,0.235,0.225,1.023,1.167
3.2,3.682,0.236,0.27,1.013,1.2
3.3,3.782,0.239,0.321,0.988,1.207
3.4,3.882,0.246,0.38,0.986,1.217
3.5,3.981,0.256,0.447,0.99,1.243
3.6,4.08,0.271,0.522,0.999,1.262
3.7,4.178,0.291,0.605,1.032,1.307
3.8,4.275,0.317,0.696,1.046,1.358
3.9,4.369,0.349,0.791,1.073,1.485
4.0,4.461,0.389,0.885,1.077,1.58
4.1,4.549,0.437,0.967,1.077,1.732
4.2,4.631,0.493,1.028,1.076,1.848
4.3,4.708,0.557,1.059,1.071,1.897
4.4,4.777,0.629,1.057,1.064,1.951
4.5,4.838,0.708,1.025,1.062,1.937
4.6,4.891,0.793,0.97,1.063,1.606
4.7,4.935,0.883,0.906,1.063,1.468
4.8,4.971,0.976,0.841,1.06,1.399
4.9,4.999,1.072,0.784,1.056,1.387
5.0,5.019,1.17,0.739,1.054,1.4
5.1,5.033,1.269,0.71,1.042,1.399
5.2,5.039,1.369,0.697,1.039,1.362
5.3,5.038,1.469,0.702,1.04,1.333
5.4,5.03,1.569,0.725,1.047,1.329
5.5,5.015,1.668,0.765,1.052,1.379
5.6,4.993,1.765,0.819,1.054,1.464
5.7,4.962,1.861,0.883,1.055,1.516
5.8,4.924,1.953,0.949,1.057,1.579
5.9,4.877,2.041,1.002,1.056,1.708
6.0,4.821,2.124,1.03,1.058,1.888
6.1,4.757,2.201,1.022,1.059,1.768
6.2,4.685,2.27,0.973,1.064,1.51
6.3,4.607,2.333,0.892,1.064,1.37
6.4,4.523,2.388,0.79,1.054,1.305
6.5,4.436,2.436,0.681,1.04,1.225
6.6,4.345,2.478,0.576,1.027,1.187
6.7,4.252,2.515,0.481,0.992,1.16
6.8,4.158,2.548,0.399,0.982,1.14
6.9,4.062,2.576,0.329,0.968,1.116
7.0,3.965,2.602,0.272,0.968,1.109
7.1,3.868,2.625,0.224,0.965,1.076
7.2,3.77,2.646,0.186,0.977,1.083
7.3,3.672,2.665,0.154,0.989,1.061
7.4,3.573,2.682,0.129,1.009,1.056
7.5,3.475,2.699,0.109,1.003,1.043
7.6,3.376,2.714,0.093,0.996,1.041
7.7,3.277,2.728,0.081,0.959,1.024
7.8,3.178,2.741,0.072,0.981,1.02
7.9,3.079,2.754,0.066,0.989,0.988
8.0,2.979,2.766,0.063,1.001,0.989
8.1,2.88,2.778,0.062,1.016,1.017
8.2,2.781,2.789,0.063,1.01,1.015
8.3,2.681,2.799,0.066,0.991,1.039
8.4,2.582,2.808,0.071,1.004,1.046
8.5,2.482,2.817,0.079,1.008,1.049
8.6,2.382,2.826,0.088,0.978,1.046
8.7,2.283,2.833,0.1,0.927,1.043
8.8,2.183,2.839,0.115,0.937,1.051
8.9,2.083,2.844,0.132,0.977,1.06
9.0,1.983,2.848,0.152,0.955,1.061
9.1,1.883,2.85,0.177,0.972,1.073
9.2,1.783,2.851,0.205,1.0,1.095
9.3,1.683,2.849,0.239,1.099,1.109
9.4,1.583,2.845,0.279,1.099,1.124
9.5,1.483,2.839,0.326,1.099,1.133
9.6,1.384,2.829,0.382,1.099,1.167
9.7,1.285,2.815,0.447,1.099,1.198
9.8,1.186,2.797,0.523,1.099,1.222
9.9,1.089,2.774,0.61,1.099,1.273
10.0,0.993,2.745,0.706,1.099,1.335
10.1,0.9,2.709,0.808,1.099,1.408
10.2,0.81,2.666,0.909,1.099,1.527
10.3,0.724,2.615,0.996,1.099,1.679
10.4,0.643,2.556,1.06,1.099,1.916
10.5,0.57,2.488,1.09,1.099,2.251
10.6,0.504,2.413,1.083,1.099,2.257
10.7,0.447,2.331,1.045,1.099,2.086
10.8,0.399,2.243,0.988,1.559,1.979
10.9,0.36,2.151,0.923,1.431,1.863
11.0,0.329,2.056,0.862,1.433,1.793
11.1,0.306,1.958,0.812,1.433,1.752
11.2,0.292,1.86,0.776,1.431,1.762
11.3,0.285,1.76,0.758,1.427,1.776
11.4,0.286,1.66,0.755,1.425,1.718
11.5,0.294,1.56,0.768,1.426,1.727
11.6,0.31,1.461,0.793,1.428,1.816
11.7,0.334,1.364,0.828,1.437,1.731
11.8,0.365,1.269,0.865,1.455,1.782
11.9,0.405,1.178,0.899,1.525,1.996
12.0,0.453,1.09,0.689,1.525,1.996
12.1,0.508,1.007,0.463,1.525,2.135
