s,x,y,kappa,n_l,n_r
0.0,-0.021,-0.452,0.23,0.803,0.853
0.05,0.028,-0.462,0.329,0.8,0.845
0.1,0.077,-0.47,0.397,0.797,0.836
0.15,0.126,-0.478,0.337,0.793,0.827
0.2,0.176,-0.484,0.281,0.788,0.818
0.25,0.226,-0.49,0.229,0.783,0.809
0.3,0.275,-0.495,0.182,0.777,0.799
0.35,0.325,-0.5,0.139,0.771,0.79
0.4,0.375,-0.505,0.102,0.765,0.78
0.45,0.425,-0.509,0.07,0.758,0.77
0.5,0.475,-0.513,0.043,0.751,0.761
0.55,0.524,-0.517,0.021,0.743,0.751
0.6,0.574,-0.521,0.005,0.735,0.742
0.65,0.624,-0.525,-0.006,0.726,0.733
0.7,0.674,-0.529,-0.013,0.717,0.724
0.75,0.724,-0.533,-0.016,0.708,0.715
0.8,0.774,-0.537,-0.015,0.698,0.706
0.85,0.823,-0.541,-0.011,0.688,0.698
0.9,0.873,-0.545,-0.004,0.678,0.689
0.95,0.923,-0.55,0.005,0.668,0.681
1.0,0.973,-0.554,0.015,0.657,0.673
1.05,1.023,-0.558,0.027,0.647,0.665
1.1,1.073,-0.562,0.038,0.636,0.657
1.15,1.122,-0.566,0.05,0.625,0.649
1.2,1.172,-0.57,0.06,0.614,0.641
1.25,1.222,-0.573,0.07,0.603,0.633
1.3,1.272,-0.577,0.079,0.593,0.625
1.35,1.322,-0.58,0.086,0.582,0.618
1.4,1.372,-0.583,0.092,0.572,0.61
1.45,1.422,-0.586,0.097,0.561,0.602
1.5,1.472,-0.588,0.1,0.551,0.595
1.55,1.522,-0.591,0.103,0.542,0.588
1.6,1.572,-0.593,0.104,0.532,0.581
1.65,1.622,-0.595,0.105,0.523,0.574
1.7,1.672,-0.596,0.106,0.515,0.567
1.75,1.722,-0.597,0.106,0.506,0.561
1.8,1.772,-0.598,0.107,0.499,0.554
1.85,1.822,-0.599,0.108,0.491,0.548
1.9,1.872,-0.6,0.109,0.484,0.542
1.95,1.922,-0.6,0.111,0.477,0.537
2.0,1.972,-0.6,0.113,0.471,0.531
2.05,2.022,-0.599,0.115,0.465,0.526
2.1,2.072,-0.599,0.117,0.46,0.521
2.15,2.122,-0.598,0.119,0.455,0.516
2.2,2.172,-0.597,0.121,0.451,0.511
2.25,2.221,-0.595,0.123,0.446,0.506
2.3,2.271,-0.593,0.123,0.443,0.502
2.35,2.321,-0.591,0.123,0.439,0.498
2.4,2.371,-0.589,0.121,0.436,0.494
2.45,2.421,-0.586,0.118,0.433,0.489
2.5,2.471,-0.583,0.113,0.431,0.485
2.55,2.521,-0.58,0.107,0.429,0.482
2.6,2.571,-0.576,0.099,0.427,0.478
2.65,2.621,-0.572,0.09,0.425,0.474
2.7,2.671,-0.568,0.079,0.424,0.471
2.75,2.72,-0.564,0.067,0.423,0.468
2.8,2.77,-0.559,0.055,0.422,0.465
2.85,2.82,-0.555,0.042,0.422,0.462
2.9,2.87,-0.55,0.03,0.421,0.46
2.95,2.92,-0.545,0.018,0.421,0.458
3.0,2.969,-0.54,0.007,0.422,0.456
3.05,3.019,-0.536,-0.003,0.422,0.454
3.1,3.069,-0.531,-0.012,0.423,0.453
3.15,3.119,-0.526,-0.018,0.424,0.452
3.2,3.168,-0.521,-0.023,0.425,0.451
3.25,3.218,-0.517,-0.027,0.426,0.451
3.3,3.268,-0.512,-0.028,0.427,0.451
3.35,3.318,-0.507,-0.028,0.429,0.451
3.4,3.368,-0.503,-0.026,0.431,0.452
3.45,3.417,-0.499,-0.023,0.432,0.452
3.5,3.467,-0.494,-0.019,0.434,0.453
3.55,3.517,-0.49,-0.014,0.436,0.454
3.6,3.567,-0.486,-0.009,0.438,0.456
3.65,3.617,-0.481,-0.003,0.441,0.457
3.7,3.666,-0.477,0.003,0.443,0.458
3.75,3.716,-0.473,0.008,0.445,0.46
3.8,3.766,-0.469,0.013,0.447,0.461
3.85,3.816,-0.464,0.017,0.449,0.463
3.9,3.866,-0.46,0.021,0.451,0.465
3.95,3.916,-0.456,0.024,0.453,0.466
