s,x,y,kappa,n_l,n_r
0.0,-0.029,-0.168,-0.315,0.768,0.437
0.1,0.066,-0.135,-0.47,0.756,0.435
0.2,0.162,-0.107,-0.618,0.73,0.441
0.3,0.259,-0.085,-0.602,0.703,0.437
0.4,0.358,-0.07,-0.581,0.681,0.444
0.5,0.457,-0.06,-0.555,0.647,0.451
0.6,0.557,-0.055,-0.522,0.626,0.459
0.7,0.657,-0.056,-0.478,0.601,0.529
0.8,0.757,-0.062,-0.42,0.594,0.494
0.9,0.857,-0.072,-0.345,0.577,0.527
1.0,0.956,-0.085,-0.251,0.546,0.548
1.1,1.055,-0.101,-0.145,0.564,0.542
1.2,1.153,-0.118,-0.036,0.522,0.54
1.3,1.251,-0.136,0.066,0.587,0.552
1.4,1.35,-0.153,0.156,0.49,0.556
1.5,1.449,-0.169,0.232,0.494,0.562
1.6,1.548,-0.182,0.297,0.505,0.552
1.7,1.647,-0.192,0.354,0.475,0.585
1.8,1.747,-0.198,0.406,0.479,0.602
1.9,1.847,-0.201,0.454,0.401,0.619
2.0,1.947,-0.199,0.5,0.394,0.629
2.1,2.047,-0.192,0.544,0.454,0.636
2.2,2.146,-0.179,0.585,0.453,0.637
2.3,2.244,-0.161,0.625,0.462,0.638
2.4,2.341,-0.137,0.664,0.455,0.639
2.5,2.437,-0.106,0.705,0.406,0.67
2.6,2.529,-0.069,0.75,0.417,0.675
2.7,2.619,-0.025,0.806,0.431,0.688
2.8,2.705,0.026,0.879,0.465,0.689
2.9,2.786,0.085,0.976,0.475,0.692
3.0,2.861,0.151,1.106,0.482,0.706
3.1,2.928,0.225,1.272,0.488,0.775
3.2,2.986,0.307,1.473,0.51,0.9
3.3,3.031,0.396,1.687,0.524,1.048
3.4,3.06,0.491,1.871,0.524,1.109
3.5,3.071,0.591,1.967,0.523,1.179
3.6,3.062,0.69,1.94,0.528,1.239
3.7,3.033,0.786,1.801,0.527,1.073
3.8,2.988,0.875,1.6,0.522,0.936
3.9,2.929,0.955,1.387,0.529,0.858
4.0,2.859,1.027,1.191,0.498,0.825
4.1,2.782,1.09,1.019,0.497,0.762
4.2,2.698,1.145,0.865,0.459,0.67
4.3,2.61,1.193,0.714,0.474,0.588
4.4,2.519,1.234,0.551,0.443,0.5
4.5,2.426,1.27,0.36,0.427,0.467
4.6,2.331,1.302,0.127,0.399,0.43
4.7,2.236,1.333,-0.172,0.425,0.413
4.8,2.141,1.366,-0.572,0.422,0.363
4.9,2.049,1.403,-1.027,0.461,0.4
5.0,1.961,1.45,-1.348,0.509,0.436
5.1,1.88,1.51,-1.403,0.607,0.51
5.2,1.809,1.58,-1.305,0.737,0.527
5.3,1.748,1.659,-1.23,0.714,0.529
5.4,1.696,1.744,-1.246,0.68,0.538
5.5,1.655,1.835,-1.347,0.732,0.547
5.6,1.627,1.931,-1.494,0.791,0.526
5.7,1.613,2.03,-1.616,0.851,0.48
5.8,1.616,2.13,-1.619,0.939,0.504
5.9,1.636,2.228,-1.447,0.845,0.506
6.0,1.669,2.322,-1.132,0.623,0.516
6.1,1.713,2.412,-0.759,0.545,0.54
6.2,1.764,2.498,-0.397,0.489,0.557
6.3,1.818,2.582,-0.062,0.444,0.518
6.4,1.873,2.666,0.262,0.426,0.521
6.5,1.926,2.751,0.597,0.47,0.505
6.6,1.973,2.839,0.934,0.576,0.536
6.7,2.012,2.931,1.218,0.601,0.591
6.8,2.039,3.027,1.384,0.608,0.679
6.9,2.052,3.126,1.416,0.61,0.788
7.0,2.05,3.226,1.365,0.609,0.971
7.1,2.035,3.325,1.296,0.612,0.857
7.2,2.008,3.421,1.25,0.624,0.875
7.3,1.969,3.513,1.242,0.625,0.891
7.4,1.919,3.6,1.269,0.631,0.941
7.5,1.858,3.679,1.321,0.644,1.021
7.6,1.788,3.75,1.379,0.644,1.138
7.7,1.708,3.81,1.419,0.64,1.254
7.8,1.621,3.859,1.417,0.633,1.272
7.9,1.527,3.894,1.358,0.6,1.116
8.0,1.43,3.917,1.246,0.574,0.966
8.1,1.33,3.926,1.095,0.568,0.845
8.2,1.23,3.925,0.929,0.533,0.755
8.3,1.131,3.915,0.768,0.515,0.701
8.4,1.032,3.897,0.622,0.519,0.655
8.5,0.935,3.873,0.497,0.49,0.626
8.6,0.839,3.845,0.394,0.484,0.614
8.7,0.745,3.813,0.31,0.481,0.59
8.8,0.651,3.777,0.242,0.491,0.584
8.9,0.558,3.74,0.189,0.492,0.563
9.0,0.466,3.701,0.146,0.511,0.568
9.1,0.375,3.66,0.112,0.513,0.564
9.2,0.284,3.619,0.085,0.526,0.552
9.3,0.193,3.577,0.063,0.538,0.552
9.4,0.103,3.534,0.045,0.541,0.566
9.5,0.013,3.491,0.03,0.57,0.55
9.6,-0.077,3.447,0.018,0.573,0.549
9.7,-0.167,3.404,0.008,0.568,0.562
9.8,-0.257,3.36,0.001,0.587,0.556
9.9,-0.347,3.316,-0.005,0.573,0.557
10.0,-0.437,3.273,-0.009,0.59,0.571
10.1,-0.527,3.229,-0.011,0.593,0.573
10.2,-0.617,3.186,-0.011,0.583,0.565
10.3,-0.707,3.142,-0.01,0.579,0.586
10.4,-0.797,3.099,-0.008,0.584,0.6
10.5,-0.888,3.056,-0.005,0.586,0.561
10.6,-0.978,3.013,-0.002,0.587,0.579
10.7,-1.068,2.969,0.0,0.578,0.596
10.8,-1.158,2.926,0.002,0.578,0.628
10.9,-1.249,2.883,0.004,0.585,0.578
11.0,-1.339,2.84,0.004,0.578,0.599
11.1,-1.429,2.797,0.004,0.591,0.638
11.2,-1.519,2.753,0.003,0.6,0.607
11.3,-1.609,2.71,0.002,0.609,0.617
11.4,-1.699,2.667,0.001,0.612,0.623
11.5,-1.789,2.624,-0.001,0.634,0.614
11.6,-1.88,2.58,-0.001,0.628,0.605
11.7,-1.97,2.537,-0.001,0.633,0.614
11.8,-2.06,2.494,-0.0,0.631,0.61
11.9,-2.15,2.45,0.002,0.643,0.621
12.0,-2.24,2.407,0.006,0.629,0.619
12.1,-2.33,2.364,0.01,0.631,0.609
12.2,-2.42,2.32,0.017,0.611,0.611
12.3,-2.51,2.277,0.024,0.619,0.644
12.4,-2.6,2.233,0.033,0.61,0.609
12.5,-2.69,2.189,0.043,0.606,0.622
12.6,-2.78,2.144,0.054,0.597,0.627
12.7,-2.869,2.099,0.066,0.585,0.629
12.8,-2.958,2.054,0.08,0.575,0.631
12.9,-3.047,2.008,0.094,0.579,0.642
13.0,-3.135,1.96,0.109,0.574,0.631
13.1,-3.223,1.912,0.126,0.575,0.644
13.2,-3.31,1.863,0.144,0.576,0.659
13.3,-3.396,1.813,0.164,0.574,0.666
13.4,-3.482,1.761,0.186,0.601,0.675
13.5,-3.566,1.708,0.209,0.616,0.682
13.6,-3.65,1.653,0.236,0.627,0.699
13.7,-3.732,1.596,0.265,0.652,0.717
13.8,-3.812,1.536,0.297,0.661,0.738
13.9,-3.891,1.475,0.333,0.671,0.753
14.0,-3.968,1.411,0.371,0.674,0.779
14.1,-4.042,1.344,0.413,0.671,0.822
14.2,-4.113,1.274,0.459,0.672,0.868
14.3,-4.182,1.201,0.509,0.67,0.921
14.4,-4.246,1.124,0.562,0.657,0.973
14.5,-4.306,1.044,0.62,0.655,1.017
14.6,-4.361,0.96,0.68,0.647,1.037
14.7,-4.41,0.873,0.741,0.643,1.037
14.8,-4.452,0.783,0.798,0.632,1.017
14.9,-4.488,0.689,0.841,0.637,0.994
15.0,-4.515,0.593,0.863,0.616,0.92
15.1,-4.533,0.495,0.851,0.614,0.837
15.2,-4.543,0.395,0.802,0.598,0.78
15.3,-4.545,0.295,0.721,0.609,0.732
15.4,-4.54,0.196,0.622,0.585,0.704
15.5,-4.529,0.096,0.523,0.583,0.68
15.6,-4.512,-0.002,0.437,0.575,0.661
15.7,-4.491,-0.1,0.37,0.585,0.65
15.8,-4.467,-0.197,0.323,0.549,0.647
15.9,-4.439,-0.293,0.294,0.598,0.644
16.0,-4.409,-0.389,0.281,0.598,0.614
16.1,-4.376,-0.483,0.284,0.611,0.644
16.2,-4.341,-0.577,0.304,0.609,0.62
16.3,-4.303,-0.669,0.341,0.573,0.616
16.4,-4.261,-0.76,0.386,0.576,0.588
16.5,-4.216,-0.849,0.417,0.63,0.611
16.6,-4.168,-0.937,0.409,0.638,0.616
16.7,-4.115,-1.022,0.36,0.635,0.702
16.8,-4.06,-1.105,0.293,0.643,0.706
16.9,-4.002,-1.187,0.241,0.643,0.661
17.0,-3.943,-1.267,0.224,0.641,0.677
17.1,-3.881,-1.346,0.25,0.638,0.671
17.2,-3.818,-1.424,0.325,0.653,0.67
17.3,-3.753,-1.499,0.437,0.669,0.672
17.4,-3.684,-1.572,0.557,0.675,0.739
17.5,-3.611,-1.64,0.644,0.68,0.716
17.6,-3.534,-1.704,0.678,0.686,0.844
17.7,-3.453,-1.762,0.672,0.677,0.862
17.8,-3.368,-1.815,0.65,0.674,0.911
17.9,-3.279,-1.861,0.63,0.683,0.895
18.0,-3.188,-1.903,0.623,0.675,0.912
18.1,-3.095,-1.938,0.631,0.674,0.901
18.2,-2.999,-1.968,0.653,0.663,0.879
18.3,-2.902,-1.991,0.688,0.624,0.845
18.4,-2.803,-2.008,0.726,0.639,0.809
18.5,-2.704,-2.017,0.759,0.602,0.759
18.6,-2.604,-2.019,0.774,0.6,0.726
18.7,-2.504,-2.013,0.764,0.611,0.7
18.8,-2.405,-1.999,0.729,0.582,0.686
18.9,-2.307,-1.979,0.678,3.381,0.687
19.0,-2.211,-1.951,0.622,0.568,0.692
19.1,-2.117,-1.918,0.57,0.509,0.688
19.2,-2.025,-1.879,0.529,0.511,0.695
19.3,-1.935,-1.836,0.497,0.522,0.685
19.4,-1.847,-1.788,0.475,0.529,0.679
19.5,-1.761,-1.736,0.458,0.558,0.693
19.6,-1.678,-1.68,0.444,0.551,0.697
19.7,-1.598,-1.62,0.429,0.581,0.72
19.8,-1.52,-1.558,0.409,0.585,0.746
19.9,-1.445,-1.492,0.384,0.611,0.766
20.0,-1.373,-1.423,0.351,0.606,0.783
20.1,-1.303,-1.351,0.309,0.623,0.788
20.2,-1.235,-1.278,0.258,0.611,0.793
20.3,-1.169,-1.203,0.199,0.625,0.78
20.4,-1.105,-1.126,0.133,0.613,0.754
20.5,-1.041,-1.049,0.061,0.633,0.747
20.6,-0.979,-0.971,-0.015,0.629,0.677
20.7,-0.916,-0.893,-0.092,0.618,0.651
20.8,-0.852,-0.816,-0.168,0.646,0.581
20.9,-0.787,-0.74,-0.243,0.659,0.558
21.0,-0.72,-0.665,-0.313,0.677,0.529
21.1,-0.651,-0.593,-0.379,0.699,0.499
21.2,-0.579,-0.524,-0.438,0.719,0.474
21.3,-0.505,-0.457,-0.491,0.749,0.454
21.4,-0.427,-0.394,-0.535,0.774,0.436
21.5,-0.346,-0.336,-0.572,0.783,0.427
21.6,-0.261,-0.282,-0.445,0.777,0.428
21.7,-0.174,-0.234,-0.301,0.782,0.435
