s,x,y,kappa,n_l,n_r
0.0,0.156,-0.081,0.295,0.373,0.79
0.1,0.254,-0.101,0.423,0.406,0.732
0.2,0.353,-0.116,0.512,0.397,0.691
0.3,0.452,-0.125,0.438,0.425,0.653
0.4,0.552,-0.131,0.372,0.424,0.647
0.5,0.652,-0.132,0.315,0.435,0.635
0.6,0.752,-0.13,0.266,0.454,0.643
0.7,0.852,-0.126,0.225,0.465,0.637
0.8,0.952,-0.119,0.19,0.489,0.626
0.9,1.052,-0.111,0.16,0.506,0.624
1.0,1.151,-0.101,0.136,0.502,0.615
1.1,1.251,-0.09,0.115,0.531,0.612
1.2,1.35,-0.077,0.097,0.534,0.6
1.3,1.449,-0.064,0.082,0.552,0.6
1.4,1.548,-0.049,0.069,0.553,0.609
1.5,1.647,-0.034,0.059,0.553,0.61
1.6,1.745,-0.019,0.049,0.564,0.606
1.7,1.844,-0.003,0.041,0.581,0.612
1.8,1.943,0.014,0.035,0.577,0.614
1.9,2.041,0.03,0.029,0.581,0.621
2.0,2.14,0.047,0.025,0.584,0.624
2.1,2.238,0.065,0.021,0.595,0.614
2.2,2.337,0.082,0.019,0.603,0.604
2.3,2.435,0.1,0.017,0.607,0.607
2.4,2.534,0.118,0.018,0.615,0.594
2.5,2.632,0.136,0.019,0.617,0.603
2.6,2.73,0.154,0.022,0.609,0.606
2.7,2.829,0.172,0.027,0.611,0.6
2.8,2.927,0.191,0.033,0.613,0.604
2.9,3.025,0.21,0.042,0.594,0.613
3.0,3.123,0.229,0.052,0.585,0.613
3.1,3.221,0.249,0.064,0.576,0.634
3.2,3.319,0.27,0.077,0.555,0.656
3.3,3.417,0.291,0.093,0.535,0.669
3.4,3.514,0.313,0.11,0.554,0.652
3.5,3.612,0.336,0.13,0.532,0.668
3.6,3.709,0.361,0.151,0.523,0.659
3.7,3.805,0.387,0.175,0.536,0.679
3.8,3.901,0.415,0.201,0.552,0.69
3.9,3.997,0.444,0.23,0.551,0.728
4.0,4.092,0.476,0.262,0.569,0.76
4.1,4.186,0.51,0.297,0.57,0.81
4.2,4.278,0.547,0.335,0.651,0.844
4.3,4.37,0.587,0.377,0.639,0.868
4.4,4.46,0.631,0.422,0.654,0.923
