s,x,y,kappa,n_l,n_r
0.0,0.069,0.18,0.189,0.508,0.77
0.1,0.167,0.157,0.271,0.514,0.763
0.2,0.265,0.138,0.328,0.521,0.755
0.3,0.364,0.122,0.282,0.527,0.746
0.4,0.463,0.108,0.242,0.534,0.737
0.5,0.562,0.098,0.207,0.541,0.729
0.6,0.662,0.089,0.176,0.547,0.719
0.7,0.762,0.082,0.149,0.554,0.711
0.8,0.861,0.076,0.126,0.56,0.702
0.9,0.961,0.072,0.106,0.566,0.694
1.0,1.061,0.068,0.089,0.572,0.686
1.1,1.161,0.066,0.074,0.577,0.678
1.2,1.261,0.064,0.062,0.582,0.672
1.3,1.361,0.063,0.051,0.587,0.665
1.4,1.461,0.063,0.043,0.591,0.66
1.5,1.561,0.063,0.036,0.594,0.656
1.6,1.661,0.063,0.031,0.598,0.652
1.7,1.761,0.063,0.027,0.601,0.649
1.8,1.861,0.064,0.024,0.603,0.646
1.9,1.961,0.065,0.023,0.605,0.645
2.0,2.061,0.066,0.022,0.607,0.644
2.1,2.161,0.068,0.023,0.608,0.644
2.2,2.261,0.07,0.024,0.608,0.645
2.3,2.361,0.072,0.026,0.609,0.646
2.4,2.461,0.074,0.029,0.608,0.648
2.5,2.561,0.076,0.033,0.608,0.65
2.6,2.661,0.079,0.037,0.607,0.654
2.7,2.761,0.082,0.043,0.605,0.657
2.8,2.861,0.086,0.049,0.604,0.662
2.9,2.961,0.09,0.055,0.601,0.667
3.0,3.061,0.095,0.063,0.599,0.672
3.1,3.161,0.1,0.072,0.596,0.678
3.2,3.26,0.106,0.081,0.592,0.684
3.3,3.36,0.113,0.092,0.588,0.692
3.4,3.46,0.12,0.103,0.584,0.699
3.5,3.559,0.129,0.116,0.58,0.707
3.6,3.659,0.139,0.13,0.575,0.716
3.7,3.758,0.15,0.146,0.571,0.725
3.8,3.858,0.163,0.163,0.566,0.735
3.9,3.957,0.177,0.182,0.561,0.745
4.0,4.055,0.193,0.202,0.555,0.756
4.1,4.154,0.211,0.224,0.55,0.767
4.2,4.252,0.231,0.247,0.545,0.778
4.3,4.349,0.254,0.272,0.54,0.79
4.4,4.446,0.279,0.299,0.536,0.802
4.5,4.542,0.307,0.327,0.531,0.815
4.6,4.637,0.339,0.356,0.527,0.827
4.7,4.73,0.373,0.386,0.523,0.84
4.8,4.823,0.411,0.417,0.519,0.853
4.9,4.914,0.453,0.447,0.516,0.865
5.0,5.002,0.5,0.477,0.514,0.877
5.1,5.089,0.55,0.507,0.511,0.89
5.2,5.173,0.604,0.534,0.51,0.901
5.3,5.253,0.663,0.559,0.509,0.913
5.4,5.331,0.727,0.582,0.508,0.924
5.5,5.404,0.794,0.601,0.508,0.934
5.6,5.474,0.867,0.617,0.508,0.944
5.7,5.538,0.943,0.63,0.509,0.954
5.8,5.598,1.023,0.638,0.51,0.963
5.9,5.653,1.107,0.644,0.512,0.972
