s,x,y,kappa,n_l,n_r
0.0,-0.185,-0.153,0.998,0.572,0.647
0.1,-0.085,-0.147,1.523,0.594,0.722
0.2,0.012,-0.121,1.998,0.606,0.782
0.3,0.101,-0.076,1.841,0.608,0.815
0.4,0.18,-0.015,1.616,0.605,0.828
0.5,0.249,0.057,1.43,0.597,0.837
0.6,0.307,0.139,1.306,0.581,0.854
0.7,0.354,0.227,1.23,0.558,0.875
0.8,0.389,0.32,1.182,0.527,0.886
0.9,0.414,0.417,1.141,0.494,0.874
1.0,0.427,0.516,1.089,0.466,0.836
1.1,0.43,0.616,1.015,0.448,0.782
1.2,0.422,0.716,0.917,0.439,0.725
1.3,0.405,0.814,0.804,0.438,0.677
1.4,0.38,0.911,0.685,0.443,0.642
1.5,0.349,1.006,0.57,0.451,0.621
1.6,0.312,1.099,0.467,0.462,0.609
1.7,0.271,1.19,0.38,0.474,0.602
1.8,0.226,1.28,0.307,0.488,0.597
1.9,0.179,1.368,0.249,0.502,0.593
2.0,0.13,1.455,0.202,0.517,0.589
2.1,0.079,1.541,0.165,0.532,0.588
2.2,0.027,1.626,0.135,0.546,0.589
2.3,-0.027,1.711,0.111,0.56,0.593
2.4,-0.081,1.795,0.092,0.573,0.6
2.5,-0.137,1.878,0.076,0.587,0.608
2.6,-0.192,1.961,0.064,0.601,0.618
2.7,-0.249,2.044,0.053,0.614,0.629
2.8,-0.306,2.126,0.045,0.627,0.639
2.9,-0.363,2.208,0.038,0.639,0.649
3.0,-0.42,2.29,0.032,0.65,0.658
3.1,-0.478,2.372,0.027,0.66,0.668
3.2,-0.536,2.453,0.023,0.668,0.677
3.3,-0.594,2.534,0.02,0.674,0.685
3.4,-0.652,2.616,0.017,0.677,0.692
3.5,-0.711,2.697,0.015,0.678,0.697
3.6,-0.769,2.778,0.015,0.675,0.7
3.7,-0.828,2.859,0.017,0.671,0.698
3.8,-0.887,2.94,0.022,0.664,0.693
3.9,-0.946,3.02,0.031,0.656,0.682
4.0,-1.005,3.101,0.04,0.648,0.664
4.1,-1.065,3.181,0.032,0.64,0.64
4.2,-1.124,3.261,-0.01,0.633,0.615
4.3,-1.184,3.342,-0.077,0.628,0.594
4.4,-1.244,3.422,-0.128,0.624,0.581
4.5,-1.302,3.503,-0.139,0.622,0.576
4.6,-1.359,3.586,-0.119,0.621,0.578
4.7,-1.415,3.669,-0.091,0.621,0.584
4.8,-1.47,3.752,-0.064,0.62,0.593
4.9,-1.524,3.836,-0.043,0.619,0.603
5.0,-1.579,3.92,-0.024,0.617,0.611
5.1,-1.633,4.004,-0.009,0.615,0.617
5.2,-1.687,4.088,0.004,0.612,0.62
5.3,-1.741,4.172,0.015,0.61,0.623
5.4,-1.795,4.256,0.025,0.608,0.625
5.5,-1.849,4.34,0.035,0.606,0.628
5.6,-1.904,4.424,0.044,0.606,0.632
5.7,-1.959,4.507,0.053,0.605,0.637
5.8,-2.014,4.591,0.062,0.606,0.642
5.9,-2.07,4.673,0.07,0.608,0.648
6.0,-2.127,4.756,0.08,0.611,0.655
6.1,-2.184,4.838,0.091,0.616,0.663
6.2,-2.242,4.919,0.104,0.622,0.673
6.3,-2.301,5.0,0.119,0.629,0.682
6.4,-2.361,5.08,0.139,0.637,0.693
6.5,-2.422,5.16,0.165,0.647,0.704
6.6,-2.484,5.238,0.199,0.659,0.717
6.7,-2.548,5.315,0.242,0.673,0.731
6.8,-2.613,5.391,0.295,0.689,0.749
6.9,-2.681,5.464,0.357,0.705,0.771
7.0,-2.751,5.536,0.425,0.72,0.801
7.1,-2.824,5.604,0.495,0.732,0.84
