s,x,y,kappa,n_l,n_r
0.0,0.086,-0.029,-0.261,0.783,0.482
0.1,0.182,-0.0,-0.382,0.774,0.487
0.2,0.279,0.024,-0.479,0.779,0.496
0.3,0.377,0.043,-0.432,0.783,0.509
0.4,0.476,0.058,-0.379,0.789,0.518
0.5,0.575,0.069,-0.323,0.789,0.532
0.6,0.675,0.077,-0.264,0.769,0.564
0.7,0.775,0.083,-0.202,0.736,0.583
0.8,0.875,0.086,-0.137,0.714,0.621
0.9,0.975,0.088,-0.07,0.692,0.668
1.0,1.075,0.089,-0.001,0.681,0.712
1.1,1.175,0.091,0.071,0.649,0.771
1.2,1.275,0.093,0.143,0.633,0.818
1.3,1.375,0.096,0.217,0.63,0.857
1.4,1.474,0.102,0.292,0.62,0.884
1.5,1.574,0.11,0.366,0.613,0.885
1.6,1.673,0.122,0.439,0.604,0.866
1.7,1.772,0.139,0.508,0.597,0.839
1.8,1.87,0.16,0.572,0.587,0.825
1.9,1.966,0.187,0.628,0.59,0.795
2.0,2.06,0.22,0.676,0.601,0.746
2.1,2.152,0.26,0.716,0.58,0.705
2.2,2.241,0.305,0.75,0.605,0.727
2.3,2.326,0.358,0.782,0.618,0.732
2.4,2.407,0.417,0.817,0.637,0.761
2.5,2.483,0.482,0.859,0.637,0.803
2.6,2.553,0.553,0.91,0.633,0.833
2.7,2.616,0.631,0.97,0.646,0.87
2.8,2.671,0.714,1.04,0.674,0.97
2.9,2.717,0.803,1.119,0.679,1.1
3.0,2.754,0.896,1.203,0.686,1.271
3.1,2.778,0.993,1.29,0.696,1.203
3.2,2.791,1.092,1.379,0.701,1.158
3.3,2.789,1.192,1.464,0.701,1.207
3.4,2.773,1.29,1.539,0.701,1.218
3.5,2.742,1.385,1.593,0.7,1.191
3.6,2.696,1.474,1.612,0.701,1.166
3.7,2.636,1.554,1.575,0.711,0.957
3.8,2.564,1.624,1.466,0.737,0.751
3.9,2.483,1.682,1.278,0.741,0.646
4.0,2.395,1.729,1.016,0.69,0.609
4.1,2.303,1.767,0.694,0.618,0.568
4.2,2.208,1.799,0.317,0.549,0.441
4.3,2.112,1.827,-0.126,0.461,0.415
4.4,2.016,1.856,-0.654,0.45,0.464
4.5,1.923,1.891,-1.255,0.494,0.481
4.6,1.834,1.938,-1.814,0.595,0.497
4.7,1.756,2.0,-2.129,0.803,0.495
4.8,1.694,2.078,-2.076,1.049,0.489
4.9,1.65,2.168,-1.759,1.045,0.49
5.0,1.622,2.264,-1.375,0.978,0.496
5.1,1.607,2.363,-1.04,0.88,0.478
5.2,1.603,2.462,-0.78,0.797,0.448
5.3,1.606,2.562,-0.58,0.711,0.513
5.4,1.615,2.662,-0.423,0.647,0.535
5.5,1.628,2.761,-0.293,0.565,0.596
5.6,1.643,2.86,-0.181,0.518,0.591
5.7,1.661,2.958,-0.085,0.468,0.554
5.8,1.679,3.057,-0.021,0.431,0.526
5.9,1.698,3.155,-0.027,0.379,0.502
6.0,1.716,3.253,-0.027,0.367,0.473
6.1,1.736,3.351,0.264,0.433,0.479
6.2,1.754,3.449,0.885,0.422,0.512
6.3,1.763,3.549,1.42,0.457,0.569
6.4,1.757,3.649,1.616,0.498,0.666
6.5,1.734,3.746,1.612,0.528,1.023
6.6,1.696,3.838,1.555,0.538,0.919
6.7,1.644,3.924,1.496,0.708,0.891
6.8,1.58,4.0,1.448,0.708,0.914
6.9,1.506,4.067,1.406,0.525,0.961
7.0,1.423,4.123,1.365,0.531,1.026
7.1,1.333,4.167,1.318,0.524,1.079
7.2,1.238,4.198,1.256,0.526,1.062
7.3,1.14,4.218,1.179,0.527,0.971
7.4,1.04,4.225,1.085,0.479,0.875
7.5,0.94,4.222,0.98,0.499,0.796
7.6,0.841,4.209,0.869,0.42,0.709
7.7,0.744,4.188,0.759,0.426,0.66
7.8,0.648,4.159,0.654,0.426,0.622
7.9,0.554,4.124,0.557,0.446,0.587
8.0,0.463,4.083,0.471,0.451,0.578
8.1,0.373,4.039,0.397,0.454,0.57
8.2,0.285,3.991,0.333,0.463,0.549
8.3,0.199,3.94,0.278,0.475,0.561
8.4,0.115,3.887,0.23,0.495,0.562
8.5,0.031,3.832,0.186,0.527,0.546
8.6,-0.051,3.776,0.14,0.523,0.522
8.7,-0.133,3.718,0.086,0.546,0.535
8.8,-0.214,3.659,0.017,0.558,0.602
8.9,-0.295,3.6,-0.064,0.571,0.522
9.0,-0.376,3.542,-0.138,0.588,0.61
9.1,-0.458,3.485,-0.179,0.597,0.644
9.2,-0.542,3.43,-0.177,0.616,0.641
9.3,-0.626,3.376,-0.146,0.633,0.645
9.4,-0.711,3.324,-0.107,0.649,0.687
9.5,-0.797,3.272,-0.073,0.661,0.656
9.6,-0.883,3.221,-0.047,0.669,0.69
9.7,-0.969,3.17,-0.03,0.684,0.691
9.8,-1.055,3.12,-0.018,0.683,0.668
9.9,-1.142,3.069,-0.01,0.676,0.668
10.0,-1.228,3.019,-0.005,0.675,0.667
10.1,-1.315,2.969,-0.001,0.669,0.662
10.2,-1.401,2.919,0.002,0.677,0.676
10.3,-1.488,2.869,0.003,0.667,0.679
10.4,-1.574,2.818,0.005,0.665,0.677
10.5,-1.661,2.768,0.006,0.665,0.673
10.6,-1.747,2.718,0.007,0.659,0.676
10.7,-1.833,2.667,0.007,0.663,0.682
10.8,-1.92,2.617,0.008,0.674,0.685
10.9,-2.006,2.566,0.009,0.671,0.67
11.0,-2.092,2.516,0.01,0.674,0.677
11.1,-2.178,2.465,0.011,0.672,0.676
11.2,-2.265,2.414,0.012,0.672,0.68
11.3,-2.351,2.364,0.013,0.676,0.671
