s,x,y,kappa,n_l,n_r
6.5,5.465,2.114,0.195,0.642,0.675
6.55,5.464,2.164,0.191,0.637,0.674
6.6,5.463,2.214,0.187,0.628,0.67
6.65,5.461,2.264,0.183,0.624,0.667
6.7,5.459,2.314,0.18,0.615,0.659
6.75,5.457,2.364,0.177,0.608,0.65
6.8,5.454,2.414,0.174,0.577,0.641
6.85,5.45,2.464,0.171,0.594,0.629
6.9,5.446,2.513,0.171,0.57,0.629
6.95,5.442,2.563,0.172,0.567,0.626
7.0,5.437,2.613,0.175,0.582,0.604
7.05,5.432,2.663,0.182,0.578,0.604
7.1,5.427,2.712,0.193,0.578,0.605
7.15,5.42,2.762,0.209,0.592,0.602
7.2,5.414,2.812,0.23,0.587,0.585
7.25,5.407,2.861,0.259,0.586,0.588
7.3,5.399,2.91,0.296,0.625,0.597
7.35,5.39,2.96,0.342,0.638,0.607
7.4,5.381,3.009,0.399,0.662,0.619
7.45,5.371,3.058,0.469,0.725,0.623
7.5,5.359,3.106,0.554,0.707,0.648
7.55,5.346,3.155,0.655,0.726,0.651
7.6,5.332,3.203,0.777,0.754,0.657
7.65,5.316,3.25,0.921,0.783,0.679
7.7,5.297,3.296,1.088,0.791,0.707
7.75,5.277,3.342,1.279,0.793,0.755
7.8,5.253,3.386,1.487,0.791,0.808
7.85,5.226,3.428,1.7,0.785,0.899
7.9,5.196,3.468,1.897,0.768,1.017
7.95,5.162,3.504,2.048,0.757,1.124
8.0,5.124,3.537,2.126,0.748,1.175
8.05,5.083,3.566,2.112,0.817,1.24
8.1,5.039,3.59,2.01,0.781,1.149
8.15,4.993,3.61,1.842,0.772,1.002
8.2,4.946,3.625,1.635,0.78,0.883
8.25,4.897,3.636,1.417,0.782,0.78
8.3,4.848,3.644,1.209,0.783,0.745
8.35,4.798,3.649,1.019,0.778,0.701
8.4,4.748,3.652,0.852,0.769,0.667
8.45,4.698,3.652,0.708,0.759,0.656
8.5,4.648,3.65,0.585,0.778,0.648
8.55,4.598,3.647,0.479,0.691,0.632
8.6,4.548,3.643,0.389,0.673,0.642
8.65,4.499,3.638,0.311,0.657,0.629
8.7,4.449,3.632,0.245,0.634,0.631
8.75,4.399,3.626,0.189,0.623,0.643
8.8,4.35,3.619,0.142,0.611,0.646
8.85,4.3,3.612,0.103,0.617,0.649
8.9,4.251,3.604,0.071,0.633,0.571
8.95,4.201,3.596,0.045,0.612,0.574
9.0,4.152,3.588,0.026,0.628,0.587
9.05,4.103,3.581,0.012,0.618,0.59
9.1,4.053,3.573,0.004,0.653,0.598
9.15,4.004,3.565,-0.0,0.64,0.615
9.2,3.955,3.557,-0.0,0.642,0.614
9.25,3.905,3.549,0.004,0.629,0.622
9.3,3.856,3.541,0.011,0.626,0.665
9.35,3.806,3.533,0.02,0.656,0.638
9.4,3.757,3.525,0.033,0.626,0.651
9.45,3.708,3.517,0.047,0.656,0.649
9.5,3.658,3.509,0.065,0.641,0.653
9.55,3.609,3.501,0.084,0.642,0.674
9.6,3.56,3.492,0.107,0.664,0.672
9.65,3.511,3.483,0.132,0.661,0.686
9.7,3.462,3.474,0.161,0.665,0.699
9.75,3.412,3.465,0.193,0.69,0.702
9.8,3.363,3.455,0.23,0.686,0.719
9.85,3.315,3.444,0.272,0.72,0.711
9.9,3.266,3.433,0.32,0.735,0.73
9.95,3.217,3.421,0.374,0.738,0.724
10.0,3.169,3.408,0.436,0.762,0.732
10.05,3.121,3.394,0.505,0.78,0.756
10.1,3.073,3.379,0.584,0.776,0.778
10.15,3.026,3.362,0.673,0.776,0.8
10.2,2.979,3.344,0.772,0.786,0.82
10.25,2.934,3.324,0.88,0.815,0.857
10.3,2.889,3.303,0.997,0.827,0.89
10.35,2.845,3.279,1.117,0.828,0.909
10.4,2.802,3.252,1.236,0.829,0.945
10.45,2.762,3.223,1.343,0.828,0.995
10.5,2.723,3.191,1.43,0.828,1.05
10.55,2.687,3.157,1.484,0.82,1.139
10.6,2.653,3.12,1.497,0.816,1.252
10.65,2.623,3.08,1.465,0.808,1.171
10.7,2.595,3.039,1.392,0.802,1.204
10.75,2.57,2.995,1.286,0.803,1.031
10.8,2.548,2.95,1.156,0.803,0.949
10.85,2.529,2.904,1.015,0.803,0.875
10.9,2.512,2.857,0.87,0.807,0.827
10.95,2.497,2.809,0.728,0.809,0.791
11.0,2.484,2.761,0.592,0.803,0.77
11.05,2.473,2.712,0.465,0.777,0.753
11.1,2.462,2.664,0.347,0.772,0.734
11.15,2.452,2.615,0.236,0.775,0.728
11.2,2.443,2.565,0.132,0.746,0.717
11.25,2.435,2.516,0.032,0.743,0.713
11.3,2.426,2.467,-0.063,0.716,0.704
11.35,2.417,2.418,-0.157,0.712,0.701
11.4,2.408,2.369,-0.25,0.718,0.693
11.45,2.398,2.32,-0.344,0.685,0.685
11.5,2.387,2.271,-0.44,0.693,0.677
11.55,2.376,2.222,-0.537,0.7,0.663
11.6,2.362,2.174,-0.638,0.718,0.644
11.65,2.348,2.126,-0.741,0.731,0.621
11.7,2.332,2.079,-0.845,0.758,0.606
11.75,2.313,2.032,-0.949,0.776,0.592
11.8,2.293,1.987,-1.05,0.801,0.589
11.85,2.27,1.942,-1.144,0.854,0.591
11.9,2.244,1.899,-1.227,0.913,0.595
11.95,2.216,1.858,-1.294,0.996,0.597
12.0,2.186,1.818,-1.343,1.114,0.595
12.05,2.153,1.781,-1.37,1.041,0.592
12.1,2.117,1.746,-1.377,0.979,0.588
12.15,2.079,1.713,-1.364,0.907,0.584
12.2,2.039,1.684,-1.337,0.87,0.582
12.25,1.997,1.657,-1.299,0.825,0.58
12.3,1.953,1.632,-1.255,0.803,0.58
12.35,1.908,1.611,-1.211,0.789,0.581
12.4,1.861,1.592,-1.17,0.767,0.582
12.45,1.814,1.576,-1.136,0.751,0.582
12.5,1.766,1.563,-1.109,0.752,0.581
12.55,1.717,1.553,-1.093,0.742,0.582
12.6,1.667,1.545,-1.088,0.751,0.578
12.65,1.618,1.54,-1.096,0.754,0.585
12.7,1.568,1.537,-1.115,0.768,0.588
12.75,1.518,1.537,-1.147,0.785,0.591
12.8,1.468,1.541,-1.191,0.801,0.595
12.85,1.418,1.547,-1.246,0.844,0.593
12.9,1.369,1.556,-1.309,0.879,0.596
12.95,1.321,1.569,-1.377,0.949,0.593
13.0,1.273,1.584,-1.445,1.004,0.596
13.05,1.227,1.603,-1.506,1.09,0.596
13.1,1.182,1.626,-1.553,1.21,0.597
13.15,1.14,1.652,-1.578,1.331,0.595
13.2,1.099,1.681,-1.575,1.04,0.595
13.25,1.061,1.713,-1.54,0.951,0.595
13.3,1.026,1.749,-1.475,0.887,0.595
13.35,0.993,1.786,-1.382,0.831,0.591
13.4,0.963,1.826,-1.267,0.789,0.59
13.45,0.935,1.868,-1.139,0.749,0.583
13.5,0.91,1.911,-1.002,0.719,0.578
13.55,0.887,1.956,-0.862,0.701,0.579
13.6,0.866,2.001,-0.722,0.688,0.583
13.65,0.847,2.047,-0.583,0.683,0.588
13.7,0.829,2.094,-0.446,0.663,0.596
13.75,0.812,2.141,-0.31,0.677,0.599
13.8,0.796,2.189,-0.174,0.668,0.619
13.85,0.78,2.236,-0.036,0.689,0.633
13.9,0.765,2.283,0.107,0.722,0.646
13.95,0.749,2.331,0.256,0.728,0.67
14.0,0.732,2.378,0.415,0.766,0.713
14.05,0.715,2.425,0.585,0.799,0.743
14.1,0.696,2.471,0.767,0.82,0.764
14.15,0.676,2.517,0.961,0.841,0.801
14.2,0.653,2.561,1.163,0.85,0.837
14.25,0.628,2.604,1.366,0.844,0.888
14.3,0.599,2.646,1.553,0.828,0.926
14.35,0.568,2.685,1.708,0.82,1.005
14.4,0.534,2.721,1.809,0.813,1.172
14.45,0.496,2.754,1.843,0.807,1.207
14.5,0.455,2.783,1.807,0.8,1.26
14.55,0.412,2.808,1.711,0.788,1.127
14.6,0.367,2.83,1.573,0.792,1.049
14.65,0.321,2.848,1.415,0.796,0.968
14.7,0.273,2.863,1.254,0.798,0.923
14.75,0.224,2.874,1.104,0.796,0.873
14.8,0.175,2.883,0.97,0.79,0.84
14.85,0.125,2.89,0.856,0.781,0.823
14.9,0.075,2.894,0.762,0.783,0.816
14.95,0.026,2.897,0.687,0.779,0.792
15.0,-0.024,2.897,0.63,0.764,0.781
15.05,-0.074,2.897,0.59,0.749,0.782
15.1,-0.124,2.894,0.563,0.744,0.785
15.15,-0.174,2.891,0.55,0.741,0.79
15.2,-0.224,2.886,0.55,0.733,0.797
15.25,-0.274,2.88,0.561,0.724,0.811
15.3,-0.323,2.872,0.583,0.719,0.828
15.35,-0.372,2.863,0.615,0.724,0.832
15.4,-0.421,2.852,0.657,0.723,0.859
15.45,-0.469,2.84,0.71,0.717,0.865
15.5,-0.518,2.826,0.771,0.705,0.861
15.55,-0.565,2.81,0.842,0.705,0.885
15.6,-0.612,2.792,0.922,0.713,0.88
15.65,-0.658,2.772,1.009,0.723,0.904
