s,x,y,kappa,n_l,n_r
13.1,0.377,2.555,0.84,0.631,0.783
13.2,0.289,2.601,0.955,0.614,0.802
13.3,0.196,2.639,1.043,0.598,0.819
13.4,0.1,2.666,1.103,0.582,0.834
13.5,0.001,2.683,1.141,0.567,0.847
13.6,-0.099,2.688,1.165,0.553,0.858
13.7,-0.198,2.682,1.184,0.539,0.867
13.8,-0.297,2.664,1.204,0.527,0.873
13.9,-0.392,2.634,1.227,0.515,0.878
14.0,-0.483,2.593,1.25,0.504,0.879
14.1,-0.569,2.541,1.265,0.494,0.879
14.2,-0.647,2.478,1.262,0.484,0.877
14.3,-0.716,2.406,1.234,0.476,0.873
14.4,-0.776,2.326,1.177,0.469,0.867
14.5,-0.826,2.24,1.095,0.462,0.86
14.6,-0.866,2.148,0.997,0.456,0.852
14.7,-0.897,2.053,0.893,0.451,0.843
14.8,-0.92,1.956,0.791,0.446,0.833
14.9,-0.934,1.857,0.698,0.442,0.823
15.0,-0.942,1.757,0.616,0.439,0.813
15.1,-0.944,1.657,0.547,0.436,0.804
15.2,-0.94,1.557,0.492,0.434,0.794
15.3,-0.931,1.458,0.448,0.432,0.785
15.4,-0.918,1.358,0.416,0.431,0.777
15.5,-0.901,1.26,0.394,0.43,0.77
15.6,-0.88,1.162,0.382,0.429,0.763
15.7,-0.855,1.065,0.381,0.428,0.757
15.8,-0.827,0.969,0.389,0.428,0.753
15.9,-0.794,0.875,0.406,0.427,0.748
16.0,-0.759,0.781,0.434,0.427,0.745
16.1,-0.719,0.69,0.472,0.427,0.742
16.2,-0.675,0.6,0.52,0.427,0.74
16.3,-0.626,0.513,0.577,0.427,0.738
16.4,-0.572,0.428,0.642,0.428,0.736
16.5,-0.513,0.347,0.712,0.428,0.734
16.6,-0.449,0.271,0.78,0.429,0.733
16.7,-0.378,0.2,0.838,0.43,0.73
16.8,-0.302,0.135,0.877,0.431,0.728
16.9,-0.221,0.077,0.89,0.432,0.725
17.0,-0.135,0.027,0.874,0.434,0.722
17.1,-0.044,-0.016,0.638,0.436,0.718
17.2,0.05,-0.051,0.417,0.439,0.714
