s,x,y,kappa,n_l,n_r
0.0,-0.055,0.175,0.307,0.956,0.639
0.1,0.043,0.159,0.399,0.947,0.595
0.2,0.143,0.149,0.335,0.858,0.59
0.3,0.243,0.142,-0.014,0.573,0.535
0.4,0.343,0.136,-0.308,0.47,0.545
0.5,0.442,0.125,-0.335,0.422,0.526
0.6,0.541,0.11,-0.121,0.423,0.476
0.7,0.64,0.094,0.107,0.449,0.543
0.8,0.739,0.08,0.226,0.452,0.536
0.9,0.838,0.068,0.262,0.436,0.558
1.0,0.937,0.059,0.261,0.446,0.542
1.1,1.037,0.052,0.246,0.452,0.533
1.2,1.137,0.048,0.226,0.45,0.5
1.3,1.237,0.047,0.203,0.456,0.537
1.4,1.337,0.047,0.179,0.417,0.522
1.5,1.437,0.049,0.154,0.455,0.5
1.6,1.537,0.052,0.128,0.452,0.498
1.7,1.637,0.057,0.104,0.453,0.504
1.8,1.737,0.063,0.08,0.502,0.5
1.9,1.837,0.069,0.059,0.485,0.507
2.0,1.936,0.077,0.04,0.488,0.505
2.1,2.036,0.084,0.025,0.483,0.477
2.2,2.136,0.092,0.012,0.478,0.48
2.3,2.235,0.1,0.004,0.503,0.438
2.4,2.335,0.108,-0.002,0.502,0.496
2.5,2.435,0.116,-0.005,0.494,0.484
2.6,2.534,0.124,-0.006,0.491,0.507
2.7,2.634,0.132,-0.005,0.518,0.515
2.8,2.734,0.139,-0.003,0.516,0.513
2.9,2.833,0.147,-0.001,0.513,0.523
3.0,2.933,0.155,0.001,0.535,0.533
3.1,3.033,0.163,0.003,0.528,0.543
3.2,3.133,0.17,0.004,0.535,0.564
3.3,3.232,0.178,0.003,0.54,0.551
3.4,3.332,0.186,0.002,0.539,0.539
3.5,3.432,0.194,0.002,0.561,0.517
3.6,3.531,0.202,0.003,0.548,0.52
3.7,3.631,0.21,0.006,0.55,0.528
3.8,3.731,0.218,0.014,0.548,0.548
3.9,3.83,0.226,0.028,0.545,0.544
4.0,3.93,0.234,0.047,0.556,0.58
4.1,4.03,0.243,0.073,0.564,0.597
4.2,4.129,0.252,0.105,0.574,0.607
4.3,4.229,0.263,0.143,0.584,0.623
4.4,4.328,0.275,0.187,0.604,0.652
4.5,4.427,0.289,0.236,0.617,0.693
4.6,4.526,0.305,0.287,0.628,0.712
4.7,4.624,0.324,0.335,0.649,0.721
4.8,4.721,0.346,0.375,0.677,0.744
4.9,4.818,0.372,0.404,0.694,0.774
5.0,4.913,0.402,0.421,0.709,0.775
5.1,5.007,0.435,0.427,0.726,0.816
5.2,5.1,0.473,0.424,0.747,0.828
5.3,5.191,0.515,0.416,0.754,0.851
5.4,5.28,0.561,0.405,0.764,0.889
5.5,5.367,0.61,0.393,0.776,0.91
5.6,5.452,0.662,0.382,0.794,0.925
5.7,5.535,0.718,0.372,0.804,0.956
5.8,5.616,0.776,0.364,0.818,0.962
5.9,5.695,0.838,0.358,0.816,0.959
6.0,5.771,0.903,0.355,0.805,0.974
6.1,5.846,0.97,0.355,0.805,0.985
6.2,5.917,1.039,0.358,0.809,0.997
6.3,5.987,1.111,0.366,0.811,0.986
6.4,6.053,1.186,0.378,0.825,0.983
6.5,6.117,1.263,0.397,0.829,0.989
6.6,6.177,1.343,0.423,0.842,1.008
6.7,6.235,1.425,0.457,0.841,1.017
6.8,6.288,1.509,0.499,0.824,0.995
6.9,6.337,1.596,0.547,0.808,0.989
7.0,6.381,1.686,0.592,0.797,0.946
7.1,6.42,1.778,0.621,0.788,0.91
7.2,6.453,1.872,0.619,0.759,0.863
7.3,6.48,1.969,0.58,0.745,0.842
7.4,6.502,2.066,0.515,0.724,0.82
7.5,6.518,2.165,0.445,0.708,0.792
7.6,6.53,2.264,0.387,0.696,0.781
7.7,6.538,2.364,0.349,0.688,0.766
7.8,6.542,2.464,0.329,0.675,0.755
7.9,6.544,2.564,0.326,0.657,0.748
8.0,6.542,2.664,0.336,0.645,0.746
8.1,6.537,2.764,0.356,0.636,0.752
8.2,6.528,2.863,0.384,0.619,0.763
8.3,6.515,2.963,0.42,0.62,0.777
8.4,6.499,3.061,0.462,0.608,0.799
8.5,6.477,3.159,0.509,0.603,0.828
8.6,6.451,3.255,0.561,0.584,0.862
8.7,6.42,3.35,0.615,0.578,0.929
8.8,6.383,3.443,0.669,0.577,0.977
8.9,6.339,3.533,0.722,0.564,1.015
9.0,6.289,3.62,0.769,0.569,1.038
9.1,6.233,3.703,0.809,0.558,1.032
9.2,6.17,3.78,0.839,0.557,0.995
9.3,6.101,3.853,0.859,0.561,0.92
9.4,6.026,3.919,0.868,0.551,0.905
9.5,5.946,3.978,0.868,0.554,0.909
9.6,5.86,4.03,0.859,0.545,0.909
9.7,5.771,4.074,0.842,0.532,0.918
9.8,5.678,4.111,0.82,0.529,0.924
9.9,5.582,4.14,0.792,0.518,0.902
10.0,5.484,4.161,0.759,0.511,0.911
10.1,5.385,4.175,0.722,0.506,0.918
10.2,5.286,4.182,0.683,0.489,0.905
10.3,5.186,4.182,0.641,0.509,0.857
10.4,5.086,4.175,0.598,0.499,0.787
10.5,4.987,4.163,0.554,0.521,0.728
10.6,4.888,4.145,0.511,0.507,0.703
10.7,4.791,4.122,0.47,0.51,0.699
10.8,4.695,4.094,0.43,0.483,0.695
