s,x,y,kappa,n_l,n_r
0.0,0.166,0.34,0.264,0.567,0.805
0.1,0.259,0.302,0.381,0.568,0.795
0.2,0.353,0.269,0.468,0.569,0.785
0.3,0.449,0.24,0.411,0.57,0.774
0.4,0.546,0.216,0.357,0.571,0.762
0.5,0.644,0.195,0.309,0.572,0.75
0.6,0.742,0.177,0.266,0.574,0.738
0.7,0.841,0.162,0.227,0.576,0.726
0.8,0.94,0.148,0.192,0.578,0.714
0.9,1.039,0.137,0.161,0.58,0.702
1.0,1.139,0.128,0.133,0.582,0.691
1.1,1.239,0.119,0.108,0.585,0.68
1.2,1.338,0.112,0.086,0.587,0.67
1.3,1.438,0.106,0.067,0.589,0.661
1.4,1.538,0.1,0.049,0.591,0.652
1.5,1.638,0.095,0.033,0.593,0.644
1.6,1.738,0.09,0.019,0.595,0.637
1.7,1.838,0.085,0.007,0.597,0.631
1.8,1.938,0.08,-0.003,0.598,0.625
1.9,2.037,0.076,-0.011,0.599,0.621
2.0,2.137,0.071,-0.018,0.599,0.618
2.1,2.237,0.066,-0.024,0.599,0.615
2.2,2.337,0.06,-0.027,0.598,0.613
2.3,2.437,0.055,-0.028,0.596,0.612
2.4,2.537,0.049,-0.028,0.594,0.612
2.5,2.637,0.043,-0.025,0.591,0.613
2.6,2.736,0.037,-0.02,0.587,0.614
2.7,2.836,0.03,-0.013,0.583,0.617
2.8,2.936,0.023,-0.004,0.578,0.62
2.9,3.036,0.017,0.008,0.573,0.624
3.0,3.135,0.01,0.022,0.566,0.629
3.1,3.235,0.004,0.039,0.56,0.634
3.2,3.335,-0.003,0.058,0.553,0.641
3.3,3.435,-0.008,0.08,0.545,0.648
3.4,3.535,-0.013,0.106,0.538,0.656
3.5,3.635,-0.016,0.135,0.53,0.664
3.6,3.735,-0.019,0.167,0.523,0.673
3.7,3.835,-0.019,0.205,0.515,0.683
3.8,3.935,-0.018,0.247,0.508,0.693
3.9,4.035,-0.014,0.295,0.501,0.704
4.0,4.134,-0.008,0.35,0.495,0.714
4.1,4.234,0.003,0.412,0.489,0.725
4.2,4.333,0.017,0.483,0.484,0.735
4.3,4.431,0.036,0.561,0.479,0.745
4.4,4.528,0.06,0.646,0.476,0.755
4.5,4.623,0.091,0.734,0.473,0.764
4.6,4.716,0.129,0.819,0.471,0.773
4.7,4.805,0.174,0.892,0.469,0.781
4.8,4.89,0.227,0.944,0.469,0.788
4.9,4.969,0.287,0.967,0.469,0.794
5.0,5.042,0.356,0.957,0.47,0.799
5.1,5.109,0.43,0.916,0.472,0.803
5.2,5.168,0.511,0.853,0.474,0.806
5.3,5.22,0.597,0.777,0.476,0.808
5.4,5.265,0.686,0.697,0.479,0.81
5.5,5.304,0.778,0.62,0.482,0.81
5.6,5.337,0.872,0.551,0.485,0.811
5.7,5.365,0.968,0.492,0.488,0.81
5.8,5.388,1.066,0.443,0.49,0.809
5.9,5.407,1.164,0.405,0.493,0.808
6.0,5.422,1.263,0.378,0.495,0.807
6.1,5.433,1.362,0.36,0.497,0.806
6.2,5.44,1.462,0.353,0.498,0.804
6.3,5.444,1.562,0.355,0.499,0.803
