s,x,y,kappa,n_l,n_r
0.0,0.021,-0.02,0.004,0.643,0.642
0.1,0.121,-0.022,0.005,0.642,0.645
0.2,0.221,-0.024,0.005,0.64,0.647
0.3,0.321,-0.026,0.004,0.638,0.647
0.4,0.421,-0.028,0.002,0.637,0.648
0.5,0.521,-0.03,-0.0,0.638,0.649
0.6,0.621,-0.032,-0.003,0.641,0.651
0.7,0.721,-0.034,-0.006,0.647,0.654
0.8,0.821,-0.036,-0.009,0.655,0.656
0.9,0.921,-0.039,-0.012,0.666,0.658
1.0,1.021,-0.041,-0.015,0.676,0.658
1.1,1.121,-0.043,-0.018,0.684,0.658
1.2,1.221,-0.046,-0.02,0.689,0.657
1.3,1.321,-0.049,-0.022,0.69,0.657
1.4,1.421,-0.052,-0.023,0.688,0.658
1.5,1.521,-0.055,-0.023,0.685,0.659
1.6,1.62,-0.058,-0.022,0.682,0.661
1.7,1.72,-0.062,-0.019,0.68,0.662
1.8,1.82,-0.066,-0.015,0.677,0.663
1.9,1.92,-0.07,-0.01,0.674,0.662
2.0,2.02,-0.074,-0.002,0.671,0.66
2.1,2.12,-0.078,0.008,0.666,0.657
2.2,2.22,-0.082,0.02,0.66,0.655
2.3,2.32,-0.086,0.035,0.653,0.653
2.4,2.42,-0.09,0.052,0.645,0.652
2.5,2.52,-0.093,0.071,0.637,0.653
2.6,2.62,-0.095,0.092,0.628,0.652
2.7,2.72,-0.097,0.114,0.619,0.652
2.8,2.82,-0.097,0.135,0.611,0.652
2.9,2.92,-0.096,0.155,0.603,0.655
3.0,3.02,-0.093,0.173,0.596,0.659
3.1,3.12,-0.089,0.189,0.59,0.664
3.2,3.219,-0.083,0.202,0.583,0.67
3.3,3.319,-0.075,0.214,0.577,0.676
3.4,3.419,-0.064,0.225,0.57,0.682
3.5,3.518,-0.052,0.235,0.564,0.689
3.6,3.617,-0.037,0.246,0.559,0.696
3.7,3.715,-0.019,0.26,0.556,0.7
3.8,3.813,0.001,0.277,0.557,0.702
3.9,3.91,0.023,0.3,0.563,0.701
4.0,4.007,0.049,0.331,0.574,0.7
4.1,4.103,0.078,0.372,0.589,0.701
4.2,4.198,0.11,0.424,0.608,0.705
4.3,4.291,0.146,0.486,0.628,0.715
4.4,4.382,0.187,0.551,0.648,0.732
4.5,4.471,0.232,0.604,0.666,0.754
4.6,4.557,0.283,0.633,0.682,0.78
4.7,4.64,0.339,0.634,0.697,0.808
4.8,4.719,0.401,0.618,0.712,0.838
4.9,4.793,0.467,0.598,0.727,0.871
5.0,4.864,0.538,0.582,0.741,0.903
5.1,4.931,0.613,0.576,0.753,0.931
5.2,4.993,0.691,0.58,0.762,0.954
5.3,5.051,0.773,0.591,0.768,0.969
5.4,5.103,0.858,0.608,0.773,0.979
5.5,5.151,0.946,0.628,0.776,0.985
5.6,5.192,1.037,0.646,0.779,0.984
5.7,5.228,1.13,0.657,0.781,0.976
5.8,5.258,1.225,0.654,0.78,0.959
5.9,5.281,1.323,0.635,0.777,0.934
6.0,5.298,1.421,0.6,0.772,0.906
6.1,5.309,1.521,0.557,0.764,0.879
6.2,5.314,1.62,0.511,0.755,0.859
6.3,5.314,1.72,0.469,0.744,0.851
6.4,5.31,1.82,0.436,0.733,0.852
6.5,5.301,1.92,0.412,0.722,0.859
6.6,5.289,2.019,0.396,0.713,0.867
6.7,5.272,2.118,0.388,0.704,0.874
6.8,5.252,2.216,0.385,0.695,0.875
6.9,5.228,2.313,0.385,0.686,0.871
7.0,5.2,2.409,0.388,0.676,0.864
7.1,5.168,2.504,0.392,0.666,0.854
7.2,5.133,2.597,0.397,0.656,0.844
7.3,5.094,2.689,0.404,0.645,0.834
7.4,5.051,2.78,0.412,0.633,0.823
7.5,5.005,2.868,0.423,0.621,0.812
7.6,4.955,2.955,0.437,0.609,0.8
7.7,4.901,3.039,0.455,0.597,0.788
7.8,4.844,3.121,0.479,0.586,0.777
7.9,4.782,3.2,0.509,0.575,0.769
8.0,4.717,3.276,0.547,0.566,0.767
8.1,4.648,3.348,0.593,0.557,0.772
8.2,4.574,3.416,0.648,0.548,0.787
8.3,4.497,3.479,0.71,0.54,0.81
8.4,4.415,3.536,0.779,0.531,0.841
8.5,4.328,3.587,0.85,0.523,0.874
8.6,4.238,3.63,0.919,0.515,0.902
8.7,4.145,3.665,0.979,0.507,0.917
8.8,4.048,3.69,1.022,0.5,0.916
8.9,3.949,3.706,1.041,0.493,0.895
9.0,3.849,3.711,1.031,0.486,0.858
9.1,3.749,3.705,0.989,0.479,0.809
9.2,3.651,3.69,0.917,0.472,0.754
9.3,3.554,3.665,0.819,0.465,0.698
9.4,3.459,3.633,0.704,0.459,0.647
9.5,3.367,3.594,0.583,0.455,0.604
9.6,3.277,3.55,0.463,0.453,0.571
9.7,3.19,3.502,0.351,0.454,0.546
9.8,3.104,3.45,0.249,0.459,0.527
9.9,3.019,3.397,0.157,0.467,0.512
10.0,2.936,3.342,0.068,0.479,0.503
10.1,2.852,3.287,-0.024,0.495,0.497
10.2,2.769,3.232,-0.128,0.516,0.494
10.3,2.685,3.178,-0.251,0.542,0.494
10.4,2.599,3.126,-0.391,0.575,0.496
10.5,2.512,3.077,-0.533,0.612,0.499
10.6,2.422,3.034,-0.654,0.652,0.503
10.7,2.329,2.996,-0.731,0.691,0.508
10.8,2.234,2.965,-0.759,0.727,0.513
10.9,2.137,2.942,-0.746,0.755,0.52
11.0,2.038,2.926,-0.709,0.773,0.526
11.1,1.939,2.917,-0.66,0.779,0.53
11.2,1.839,2.914,-0.607,0.773,0.532
11.3,1.739,2.918,-0.554,0.757,0.532
11.4,1.639,2.927,-0.5,0.733,0.531
11.5,1.54,2.942,-0.447,0.705,0.532
11.6,1.442,2.96,-0.395,0.677,0.534
11.7,1.345,2.983,-0.343,0.652,0.539
11.8,1.248,3.008,-0.293,0.633,0.547
11.9,1.152,3.037,-0.246,0.62,0.559
12.0,1.057,3.068,-0.201,0.614,0.575
12.1,0.963,3.101,-0.161,0.614,0.592
12.2,0.869,3.135,-0.129,0.621,0.611
12.3,0.775,3.171,-0.107,0.633,0.629
12.4,0.682,3.207,-0.099,0.65,0.647
12.5,0.59,3.245,-0.107,0.673,0.663
12.6,0.497,3.283,-0.131,0.702,0.678
12.7,0.405,3.323,-0.161,0.737,0.692
12.8,0.314,3.364,-0.185,0.775,0.704
12.9,0.224,3.406,-0.19,0.812,0.716
13.0,0.134,3.451,-0.174,0.839,0.726
13.1,0.045,3.497,-0.141,0.851,0.735
13.2,-0.043,3.544,-0.096,0.844,0.744
13.3,-0.13,3.593,-0.046,0.822,0.754
13.4,-0.218,3.641,0.005,0.792,0.763
13.5,-0.305,3.69,0.055,0.759,0.772
13.6,-0.393,3.738,0.103,0.725,0.78
13.7,-0.481,3.785,0.151,0.689,0.785
13.8,-0.57,3.831,0.199,0.647,0.786
13.9,-0.659,3.875,0.248,0.598,0.784
14.0,-0.75,3.917,0.297,0.545,0.779
14.1,-0.842,3.956,0.347,0.499,0.772
14.2,-0.936,3.992,0.4,0.482,0.762
14.3,-1.03,4.024,0.455,0.527,0.752
14.4,-1.126,4.052,0.513,0.678,0.743
14.5,-1.224,4.075,0.576,0.966,0.739
14.6,-1.322,4.092,0.647,1.377,0.742
14.7,-1.422,4.103,0.728,1.828,0.755
14.8,-1.522,4.107,0.825,2.2,0.781
14.9,-1.621,4.102,0.951,2.408,0.818
15.0,-1.72,4.088,1.126,2.433,0.865
15.1,-1.817,4.063,1.39,2.304,0.915
15.2,-1.91,4.026,1.815,2.059,0.954
15.3,-1.994,3.973,2.475,1.739,0.968
15.4,-2.064,3.901,3.234,1.403,0.949
15.5,-2.105,3.811,3.479,1.111,0.9
15.6,-2.111,3.711,2.774,0.898,0.838
15.7,-2.088,3.614,1.726,0.766,0.78
15.8,-2.05,3.522,0.925,0.692,0.735
15.9,-2.004,3.433,0.453,0.651,0.704
16.0,-1.954,3.346,0.18,0.629,0.681
16.1,-1.903,3.26,0.004,0.615,0.658
16.2,-1.852,3.174,-0.126,0.606,0.632
16.3,-1.802,3.087,-0.235,0.606,0.601
16.4,-1.755,2.999,-0.335,0.615,0.567
16.5,-1.71,2.91,-0.432,0.637,0.53
16.6,-1.669,2.819,-0.527,0.673,0.495
16.7,-1.633,2.725,-0.62,0.718,0.464
16.8,-1.603,2.63,-0.709,0.764,0.438
16.9,-1.58,2.533,-0.789,0.8,0.42
17.0,-1.565,2.434,-0.857,0.817,0.409
17.1,-1.558,2.334,-0.907,0.813,0.405
17.2,-1.56,2.234,-0.936,0.788,0.407
17.3,-1.571,2.135,-0.94,0.747,0.412
17.4,-1.592,2.037,-0.915,0.698,0.418
17.5,-1.622,1.942,-0.859,0.647,0.422
17.6,-1.66,1.849,-0.767,0.6,0.426
17.7,-1.705,1.76,-0.63,0.559,0.433
17.8,-1.756,1.674,-0.443,0.524,0.449
17.9,-1.811,1.59,-0.208,0.493,0.479
18.0,-1.867,1.508,0.057,0.471,0.525
18.1,-1.923,1.425,0.321,0.459,0.583
18.2,-1.976,1.34,0.558,0.458,0.646
18.3,-2.025,1.253,0.753,0.467,0.708
18.4,-2.066,1.162,0.908,0.48,0.765
18.5,-2.099,1.067,1.036,0.494,0.818
18.6,-2.122,0.97,1.15,0.506,0.872
18.7,-2.134,0.871,1.257,0.516,0.928
18.8,-2.133,0.771,1.36,0.523,0.987
18.9,-2.119,0.672,1.449,0.529,1.041
19.0,-2.09,0.576,1.507,0.532,1.083
19.1,-2.047,0.486,1.516,0.533,1.102
19.2,-1.991,0.403,1.465,0.531,1.093
19.3,-1.923,0.33,1.358,0.525,1.055
19.4,-1.846,0.266,1.211,0.514,0.995
