s,x,y,kappa,n_l,n_r
0.0,0.016,0.213,0.322,0.719,0.754
0.05,0.064,0.199,0.467,0.714,0.75
0.1,0.113,0.187,0.581,0.709,0.745
0.15,0.161,0.176,0.522,0.703,0.74
0.2,0.211,0.166,0.467,0.698,0.734
0.25,0.26,0.157,0.417,0.692,0.728
0.3,0.309,0.149,0.37,0.686,0.721
0.35,0.359,0.143,0.326,0.68,0.714
0.4,0.408,0.137,0.287,0.674,0.706
0.45,0.458,0.132,0.251,0.668,0.699
0.5,0.508,0.127,0.218,0.662,0.691
0.55,0.558,0.123,0.189,0.656,0.684
0.6,0.608,0.119,0.163,0.651,0.676
0.65,0.657,0.116,0.141,0.646,0.668
0.7,0.707,0.113,0.122,0.641,0.661
0.75,0.757,0.111,0.106,0.636,0.654
0.8,0.807,0.109,0.092,0.631,0.647
0.85,0.857,0.107,0.082,0.627,0.64
0.9,0.907,0.105,0.073,0.623,0.634
0.95,0.957,0.103,0.067,0.62,0.628
1.0,1.007,0.102,0.062,0.616,0.622
1.05,1.057,0.1,0.058,0.613,0.616
1.1,1.107,0.099,0.055,0.611,0.611
1.15,1.157,0.098,0.052,0.609,0.607
1.2,1.207,0.097,0.049,0.607,0.602
1.25,1.257,0.096,0.045,0.605,0.598
1.3,1.307,0.096,0.041,0.604,0.595
1.35,1.357,0.095,0.035,0.603,0.592
1.4,1.407,0.095,0.028,0.603,0.589
1.45,1.457,0.094,0.02,0.603,0.587
1.5,1.507,0.094,0.01,0.603,0.586
1.55,1.557,0.093,-0.001,0.603,0.585
1.6,1.607,0.093,-0.013,0.604,0.584
1.65,1.657,0.093,-0.025,0.605,0.584
1.7,1.707,0.092,-0.037,0.606,0.584
1.75,1.757,0.092,-0.048,0.608,0.584
1.8,1.807,0.091,-0.059,0.609,0.585
1.85,1.857,0.09,-0.067,0.611,0.587
1.9,1.907,0.089,-0.073,0.613,0.588
1.95,1.957,0.088,-0.076,0.615,0.59
2.0,2.007,0.087,-0.076,0.617,0.592
2.05,2.057,0.085,-0.074,0.619,0.594
2.1,2.107,0.084,-0.069,0.62,0.596
2.15,2.157,0.082,-0.062,0.622,0.598
2.2,2.207,0.08,-0.054,0.623,0.601
2.25,2.257,0.077,-0.046,0.625,0.602
2.3,2.307,0.075,-0.038,0.626,0.604
2.35,2.357,0.073,-0.032,0.626,0.605
2.4,2.407,0.07,-0.028,0.627,0.606
2.45,2.457,0.068,-0.027,0.627,0.607
2.5,2.507,0.065,-0.029,0.627,0.607
2.55,2.556,0.062,-0.034,0.626,0.607
2.6,2.606,0.06,-0.042,0.625,0.606
