s,x,y,kappa,n_l,n_r
0.0,0.197,0.294,0.074,0.666,0.674
0.05,0.239,0.265,0.105,0.659,0.669
0.1,0.28,0.237,0.123,0.653,0.666
0.15,0.321,0.209,0.101,0.644,0.657
0.2,0.363,0.181,0.083,0.631,0.657
0.25,0.404,0.154,0.068,0.646,0.65
0.3,0.446,0.126,0.057,0.637,0.642
0.35,0.488,0.099,0.049,0.624,0.635
0.4,0.53,0.072,0.043,0.627,0.628
0.45,0.572,0.044,0.039,0.627,0.617
0.5,0.614,0.017,0.036,0.624,0.613
0.55,0.656,-0.01,0.034,0.606,0.607
0.6,0.698,-0.037,0.034,0.626,0.61
0.65,0.74,-0.063,0.033,0.624,0.604
0.7,0.783,-0.09,0.033,0.595,0.612
0.75,0.825,-0.117,0.032,0.609,0.601
0.8,0.867,-0.144,0.031,0.598,0.614
0.85,0.91,-0.17,0.028,0.592,0.606
0.9,0.952,-0.197,0.025,0.614,0.618
0.95,0.994,-0.223,0.02,0.586,0.612
1.0,1.037,-0.25,0.014,0.578,0.617
1.05,1.079,-0.276,0.006,0.581,0.613
1.1,1.122,-0.302,-0.003,0.577,0.614
1.15,1.164,-0.329,-0.014,0.589,0.61
1.2,1.207,-0.355,-0.025,0.578,0.605
1.25,1.249,-0.382,-0.037,0.593,0.604
1.3,1.292,-0.408,-0.05,0.631,0.585
1.35,1.334,-0.435,-0.062,0.569,0.59
1.4,1.376,-0.462,-0.074,0.63,0.576
1.45,1.418,-0.488,-0.084,0.581,0.565
1.5,1.46,-0.516,-0.093,0.598,0.558
1.55,1.502,-0.543,-0.101,0.633,0.542
1.6,1.544,-0.57,-0.106,0.592,0.548
1.65,1.585,-0.598,-0.108,0.624,0.532
1.7,1.627,-0.626,-0.108,0.578,0.538
1.75,1.668,-0.654,-0.105,0.595,0.532
1.8,1.709,-0.683,-0.1,0.602,0.526
1.85,1.75,-0.711,-0.092,0.599,0.522
1.9,1.791,-0.74,-0.082,0.582,0.514
1.95,1.832,-0.769,-0.07,0.564,0.533
2.0,1.873,-0.798,-0.057,0.551,0.516
2.05,1.913,-0.828,-0.043,0.539,0.517
2.1,1.954,-0.857,-0.029,0.51,0.51
2.15,1.994,-0.886,-0.015,0.498,0.511
2.2,2.034,-0.916,-0.002,0.497,0.519
2.25,2.075,-0.945,0.011,0.509,0.513
2.3,2.115,-0.975,0.022,0.506,0.517
2.35,2.156,-1.004,0.032,0.474,0.507
2.4,2.196,-1.033,0.041,0.477,0.512
2.45,2.237,-1.062,0.048,0.487,0.524
2.5,2.278,-1.091,0.053,0.493,0.513
2.55,2.318,-1.12,0.057,0.481,0.516
2.6,2.359,-1.149,0.059,0.484,0.521
2.65,2.4,-1.178,0.061,0.488,0.523
2.7,2.441,-1.207,0.062,0.506,0.52
2.75,2.482,-1.235,0.062,0.507,0.509
2.8,2.523,-1.264,0.062,0.506,0.522
2.85,2.565,-1.292,0.062,0.508,0.521
2.9,2.606,-1.32,0.063,0.517,0.506
2.95,2.647,-1.348,0.064,0.515,0.523
3.0,2.689,-1.376,0.066,0.526,0.515
3.05,2.73,-1.404,0.068,0.519,0.518
3.1,2.772,-1.431,0.071,0.515,0.512
3.15,2.814,-1.459,0.075,0.53,0.505
3.2,2.856,-1.486,0.08,0.491,0.518
3.25,2.898,-1.513,0.085,0.504,0.506
3.3,2.94,-1.54,0.091,0.499,0.519
3.35,2.982,-1.567,0.097,0.481,0.499
3.4,3.025,-1.593,0.103,0.484,0.513
3.45,3.067,-1.619,0.109,0.468,0.516
3.5,3.11,-1.646,0.115,0.445,0.499
3.55,3.153,-1.671,0.122,0.472,0.501
3.6,3.196,-1.697,0.128,0.463,0.49
3.65,3.239,-1.722,0.136,0.461,0.525
3.7,3.282,-1.747,0.144,0.465,0.509
3.75,3.325,-1.772,0.153,0.474,0.495
3.8,3.369,-1.796,0.165,0.472,0.505
3.85,3.413,-1.82,0.179,0.466,0.516
3.9,3.457,-1.844,0.196,0.464,0.525
3.95,3.501,-1.867,0.218,0.494,0.505
4.0,3.546,-1.89,0.246,0.483,0.53
4.05,3.591,-1.912,0.281,0.504,0.513
4.1,3.636,-1.934,0.323,0.502,0.54
4.15,3.681,-1.954,0.374,0.524,0.547
4.2,3.727,-1.974,0.435,0.544,0.56
4.25,3.773,-1.993,0.507,0.553,0.575
4.3,3.82,-2.011,0.591,0.561,0.578
4.35,3.867,-2.027,0.687,0.578,0.593
4.4,3.915,-2.042,0.794,0.607,0.642
4.45,3.963,-2.055,0.913,0.619,0.626
4.5,4.012,-2.066,1.039,0.623,0.68
4.55,4.062,-2.074,1.169,0.629,0.716
4.6,4.111,-2.079,1.295,0.637,0.747
4.65,4.161,-2.081,1.41,0.642,0.818
4.7,4.211,-2.08,1.502,0.642,0.911
4.75,4.261,-2.074,1.563,0.643,0.97
4.8,4.31,-2.065,1.586,0.643,1.046
4.85,4.358,-2.052,1.569,0.643,1.029
4.9,4.405,-2.035,1.516,0.643,0.954
4.95,4.451,-2.015,1.434,0.642,0.886
5.0,4.495,-1.991,1.332,0.644,0.834
5.05,4.538,-1.965,1.221,0.639,0.807
5.1,4.578,-1.935,1.108,0.636,0.783
5.15,4.617,-1.904,0.997,0.628,0.763
5.2,4.655,-1.871,0.894,0.624,0.754
5.25,4.691,-1.836,0.799,0.612,0.735
5.3,4.725,-1.8,0.712,0.615,0.715
5.35,4.758,-1.763,0.635,0.606,0.695
5.4,4.79,-1.724,0.565,0.586,0.691
5.45,4.821,-1.685,0.503,0.603,0.688
5.5,4.851,-1.645,0.447,0.594,0.68
5.55,4.88,-1.604,0.397,0.588,0.669
5.6,4.908,-1.563,0.352,0.597,0.678
5.65,4.936,-1.521,0.311,0.611,0.669
5.7,4.962,-1.479,0.274,0.608,0.66
5.75,4.989,-1.436,0.24,0.622,0.656
5.8,5.014,-1.393,0.209,0.622,0.659
5.85,5.04,-1.35,0.18,0.627,0.659
5.9,5.065,-1.307,0.154,0.652,0.663
5.95,5.089,-1.263,0.13,0.651,0.657
6.0,5.113,-1.22,0.107,0.658,0.655
6.05,5.137,-1.176,0.087,0.683,0.669
6.1,5.161,-1.132,0.068,0.677,0.681
6.15,5.185,-1.088,0.051,0.689,0.675
6.2,5.208,-1.044,0.036,0.698,0.69
6.25,5.232,-1.0,0.023,0.707,0.684
6.3,5.255,-0.955,0.013,0.705,0.698
6.35,5.279,-0.911,0.005,0.703,0.689
6.4,5.302,-0.867,-0.001,0.709,0.702
6.45,5.326,-0.823,-0.004,0.705,0.704
6.5,5.349,-0.779,-0.003,0.715,0.694
6.55,5.373,-0.734,0.0,0.708,0.691
6.6,5.396,-0.69,0.007,0.729,0.688
6.65,5.419,-0.646,0.017,0.725,0.703
6.7,5.443,-0.602,0.032,0.736,0.708
6.75,5.466,-0.558,0.05,0.75,0.727
6.8,5.489,-0.513,0.073,0.747,0.736
6.85,5.512,-0.469,0.101,0.754,0.735
6.9,5.535,-0.425,0.133,0.749,0.726
6.95,5.558,-0.38,0.171,0.754,0.76
7.0,5.58,-0.335,0.214,0.747,0.776
7.05,5.602,-0.29,0.264,0.751,0.786
7.1,5.623,-0.245,0.321,0.76,0.811
7.15,5.643,-0.199,0.386,0.764,0.828
7.2,5.662,-0.153,0.461,0.784,0.84
7.25,5.681,-0.106,0.545,0.788,0.858
7.3,5.698,-0.06,0.641,0.791,0.851
7.35,5.714,-0.012,0.748,0.797,0.867
7.4,5.728,0.036,0.869,0.802,0.887
7.45,5.739,0.085,1.002,0.805,0.909
7.5,5.749,0.134,1.144,0.812,0.931
7.55,5.755,0.183,1.291,0.812,0.96
7.6,5.758,0.233,1.433,0.807,1.059
7.65,5.758,0.283,1.558,0.807,1.128
7.7,5.754,0.333,1.652,0.808,1.252
7.75,5.746,0.382,1.701,0.811,1.197
7.8,5.733,0.431,1.697,0.821,1.054
7.85,5.716,0.478,1.64,0.834,0.923
7.9,5.696,0.523,1.537,0.847,0.832
7.95,5.672,0.567,1.402,0.853,0.774
8.0,5.645,0.609,1.25,0.858,0.72
8.05,5.616,0.65,1.094,0.858,0.69
8.1,5.584,0.689,0.942,0.852,0.66
8.15,5.551,0.726,0.801,0.84,0.642
8.2,5.516,0.761,0.674,0.807,0.627
8.25,5.48,0.796,0.562,0.773,0.611
8.3,5.443,0.83,0.465,0.747,0.614
8.35,5.405,0.862,0.381,0.722,0.604
8.4,5.366,0.894,0.31,0.698,0.592
8.45,5.327,0.926,0.25,0.666,0.591
8.5,5.288,0.957,0.2,0.66,0.587
8.55,5.249,0.987,0.158,0.572,0.573
8.6,5.209,1.017,0.124,0.551,0.577
8.65,5.169,1.047,0.096,0.545,0.57
8.7,5.128,1.077,0.074,0.538,0.565
8.75,5.088,1.107,0.056,0.53,0.564
8.8,5.048,1.136,0.041,0.526,0.558
8.85,5.007,1.166,0.029,0.525,0.555
8.9,4.967,1.195,0.02,0.547,0.552
8.95,4.927,1.225,0.012,0.547,0.557
9.0,4.886,1.254,0.006,0.559,0.552
9.05,4.846,1.283,0.002,0.576,0.547
9.1,4.805,1.313,-0.002,0.6,0.556
9.15,4.765,1.342,-0.004,0.603,0.567
9.2,4.724,1.371,-0.005,0.617,0.55
9.25,4.684,1.401,-0.005,0.612,0.575
9.3,4.643,1.43,-0.004,0.601,0.548
9.35,4.603,1.459,-0.001,0.6,0.602
9.4,4.562,1.489,0.002,0.589,0.579
9.45,4.522,1.518,0.006,0.577,0.572
9.5,4.481,1.547,0.012,0.565,0.595
9.55,4.441,1.577,0.018,0.558,0.567
9.6,4.4,1.606,0.025,0.55,0.571
9.65,4.36,1.635,0.033,0.545,0.581
9.7,4.319,1.664,0.041,0.541,0.55
9.75,4.278,1.693,0.049,0.537,0.55
9.8,4.238,1.722,0.057,0.528,0.569
9.85,4.197,1.751,0.065,0.52,0.532
9.9,4.156,1.78,0.073,0.522,0.555
9.95,4.115,1.809,0.08,0.514,0.545
10.0,4.074,1.837,0.087,0.523,0.515
10.05,4.032,1.865,0.094,0.51,0.544
10.1,3.991,1.893,0.1,0.505,0.528
10.15,3.949,1.921,0.105,0.509,0.518
10.2,3.908,1.949,0.11,0.482,0.525
10.25,3.866,1.976,0.114,0.49,0.514
10.3,3.824,2.003,0.117,0.487,0.518
10.35,3.782,2.03,0.12,0.481,0.517
10.4,3.74,2.057,0.122,0.484,0.51
10.45,3.697,2.083,0.123,0.481,0.518
10.5,3.654,2.109,0.124,0.484,0.512
10.55,3.612,2.135,0.123,0.487,0.501
10.6,3.569,2.161,0.122,0.471,0.518
10.65,3.526,2.186,0.121,0.492,0.51
10.7,3.482,2.211,0.118,0.491,0.513
10.75,3.439,2.236,0.115,0.466,0.527
10.8,3.395,2.261,0.111,0.501,0.52
10.85,3.352,2.285,0.106,0.491,0.52
10.9,3.308,2.309,0.101,0.527,0.538
10.95,3.264,2.333,0.096,0.512,0.529
11.0,3.22,2.357,0.09,0.533,0.53
11.05,3.176,2.38,0.084,0.534,0.55
11.1,3.132,2.403,0.078,0.544,0.54
11.15,3.087,2.427,0.071,0.541,0.545
11.2,3.043,2.45,0.065,0.543,0.562
11.25,2.998,2.472,0.06,0.568,0.563
11.3,2.954,2.495,0.054,0.558,0.562
11.35,2.909,2.518,0.05,0.578,0.582
11.4,2.864,2.54,0.046,0.597,0.588
11.45,2.82,2.562,0.043,0.599,0.589
11.5,2.775,2.585,0.041,0.606,0.611
11.55,2.73,2.607,0.039,0.626,0.61
11.6,2.685,2.629,0.039,0.628,0.62
11.65,2.64,2.651,0.04,0.634,0.646
11.7,2.595,2.673,0.042,0.657,0.64
11.75,2.55,2.695,0.044,0.652,0.666
11.8,2.505,2.716,0.048,0.688,0.676
11.85,2.46,2.738,0.052,0.675,0.676
11.9,2.415,2.759,0.057,0.678,0.694
11.95,2.37,2.781,0.063,0.69,0.68
12.0,2.325,2.802,0.069,0.68,0.686
12.05,2.279,2.823,0.075,0.685,0.698
12.1,2.234,2.844,0.082,0.675,0.71
12.15,2.188,2.865,0.09,0.667,0.722
12.2,2.143,2.885,0.099,0.677,0.724
12.25,2.097,2.905,0.109,0.687,0.714
12.3,2.051,2.925,0.12,0.685,0.72
12.35,2.005,2.945,0.133,0.705,0.735
12.4,1.959,2.964,0.148,0.708,0.723
12.45,1.913,2.984,0.166,0.721,0.738
12.5,1.867,3.002,0.187,0.736,0.72
12.55,1.82,3.021,0.212,0.76,0.733
12.6,1.773,3.038,0.242,0.771,0.748
12.65,1.726,3.056,0.277,0.791,0.736
12.7,1.679,3.072,0.318,0.81,0.754
12.75,1.632,3.088,0.366,0.827,0.745
12.8,1.584,3.103,0.421,0.843,0.771
12.85,1.536,3.117,0.484,0.857,0.784
12.9,1.488,3.13,0.555,0.87,0.801
12.95,1.439,3.141,0.636,0.89,0.813
13.0,1.39,3.151,0.726,0.9,0.854
13.05,1.341,3.159,0.824,0.907,0.86
13.1,1.291,3.165,0.928,0.908,0.893
13.15,1.241,3.169,1.037,0.909,0.953
13.2,1.191,3.17,1.144,0.909,1.007
