s,x,y,kappa,n_l,n_r
0.0,0.057,0.046,0.214,0.463,0.674
0.1,0.156,0.033,0.305,0.468,0.666
0.2,0.256,0.024,0.363,0.474,0.657
0.3,0.355,0.018,0.303,0.48,0.649
0.4,0.455,0.016,0.25,0.485,0.64
0.5,0.555,0.015,0.203,0.491,0.632
0.6,0.655,0.017,0.161,0.497,0.624
0.7,0.755,0.021,0.126,0.502,0.616
0.8,0.855,0.026,0.096,0.507,0.608
0.9,0.955,0.031,0.07,0.511,0.601
1.0,1.055,0.038,0.049,0.515,0.594
1.1,1.155,0.045,0.033,0.519,0.588
1.2,1.254,0.052,0.02,0.522,0.582
1.3,1.354,0.059,0.012,0.524,0.576
1.4,1.454,0.066,0.006,0.526,0.571
1.5,1.553,0.074,0.004,0.527,0.566
1.6,1.653,0.082,0.004,0.528,0.561
1.7,1.753,0.089,0.005,0.529,0.557
1.8,1.853,0.097,0.008,0.529,0.553
1.9,1.952,0.105,0.011,0.528,0.55
2.0,2.052,0.112,0.015,0.528,0.547
2.1,2.152,0.12,0.018,0.527,0.544
2.2,2.251,0.129,0.02,0.526,0.541
2.3,2.351,0.137,0.021,0.525,0.539
2.4,2.451,0.145,0.022,0.524,0.538
2.5,2.55,0.154,0.021,0.523,0.537
2.6,2.65,0.163,0.02,0.522,0.536
2.7,2.749,0.172,0.019,0.522,0.536
2.8,2.849,0.182,0.018,0.521,0.536
2.9,2.949,0.191,0.017,0.52,0.537
3.0,3.048,0.201,0.018,0.52,0.539
3.1,3.148,0.211,0.019,0.52,0.541
3.2,3.247,0.221,0.021,0.521,0.543
3.3,3.347,0.231,0.025,0.521,0.547
3.4,3.446,0.242,0.029,0.522,0.551
3.5,3.545,0.253,0.035,0.523,0.556
3.6,3.645,0.264,0.042,0.525,0.561
3.7,3.744,0.276,0.05,0.527,0.568
3.8,3.843,0.288,0.059,0.529,0.575
3.9,3.943,0.3,0.069,0.532,0.582
4.0,4.042,0.314,0.08,0.535,0.591
4.1,4.141,0.328,0.093,0.538,0.6
4.2,4.239,0.343,0.108,0.542,0.61
4.3,4.338,0.359,0.125,0.545,0.621
4.4,4.437,0.376,0.146,0.549,0.632
4.5,4.535,0.395,0.172,0.553,0.644
4.6,4.633,0.415,0.201,0.558,0.656
4.7,4.73,0.438,0.235,0.562,0.669
4.8,4.827,0.463,0.272,0.566,0.681
4.9,4.923,0.49,0.31,0.57,0.694
5.0,5.019,0.52,0.348,0.575,0.707
5.1,5.113,0.554,0.383,0.579,0.721
5.2,5.206,0.591,0.414,0.583,0.733
5.3,5.297,0.632,0.44,0.587,0.746
5.4,5.386,0.677,0.461,0.591,0.758
5.5,5.473,0.726,0.478,0.594,0.77
5.6,5.558,0.779,0.491,0.598,0.781
5.7,5.64,0.836,0.501,0.601,0.792
5.8,5.719,0.897,0.509,0.604,0.802
5.9,5.795,0.963,0.515,0.606,0.81
6.0,5.867,1.032,0.519,0.609,0.818
6.1,5.936,1.104,0.522,0.611,0.826
6.2,6.001,1.181,0.523,0.613,0.832
6.3,6.061,1.26,0.523,0.615,0.837
6.4,6.118,1.343,0.521,0.617,0.841
6.5,6.17,1.428,0.516,0.619,0.845
6.6,6.217,1.516,0.51,0.62,0.848
6.7,6.26,1.606,0.501,0.621,0.85
6.8,6.299,1.699,0.49,0.623,0.851
6.9,6.333,1.793,0.478,0.624,0.852
7.0,6.362,1.888,0.465,0.625,0.852
