s,x,y,kappa,n_l,n_r
0.0,0.057,0.046,0.214,0.445,0.663
0.1,0.156,0.033,0.305,0.465,0.647
0.2,0.256,0.024,0.363,0.488,0.635
0.3,0.355,0.018,0.303,0.511,0.625
0.4,0.455,0.016,0.25,0.531,0.617
0.5,0.555,0.015,0.203,0.547,0.608
0.6,0.655,0.017,0.161,0.558,0.6
0.7,0.755,0.021,0.126,0.567,0.593
0.8,0.855,0.026,0.096,0.574,0.587
0.9,0.955,0.031,0.07,0.579,0.582
1.0,1.055,0.038,0.049,0.583,0.578
1.1,1.155,0.045,0.033,0.586,0.574
1.2,1.254,0.052,0.02,0.587,0.569
1.3,1.354,0.059,0.012,0.586,0.566
1.4,1.454,0.066,0.006,0.583,0.563
1.5,1.553,0.074,0.004,0.578,0.563
1.6,1.653,0.082,0.004,0.571,0.565
1.7,1.753,0.089,0.005,0.563,0.566
1.8,1.853,0.097,0.008,0.557,0.567
1.9,1.952,0.105,0.011,0.55,0.565
2.0,2.052,0.112,0.015,0.544,0.559
2.1,2.152,0.12,0.018,0.537,0.552
2.2,2.251,0.129,0.02,0.529,0.545
2.3,2.351,0.137,0.021,0.52,0.538
2.4,2.451,0.145,0.022,0.513,0.531
2.5,2.55,0.154,0.021,0.509,0.524
2.6,2.65,0.163,0.02,0.51,0.518
2.7,2.749,0.172,0.019,0.515,0.515
2.8,2.849,0.182,0.018,0.522,0.513
2.9,2.949,0.191,0.017,0.529,0.514
3.0,3.048,0.201,0.018,0.535,0.516
3.1,3.148,0.211,0.019,0.538,0.52
3.2,3.247,0.221,0.021,0.537,0.523
3.3,3.347,0.231,0.025,0.532,0.526
3.4,3.446,0.242,0.029,0.524,0.528
3.5,3.545,0.253,0.035,0.514,0.531
3.6,3.645,0.264,0.042,0.507,0.535
3.7,3.744,0.276,0.05,0.503,0.539
3.8,3.843,0.288,0.059,0.502,0.545
3.9,3.943,0.3,0.069,0.505,0.552
4.0,4.042,0.314,0.08,0.51,0.559
4.1,4.141,0.328,0.093,0.518,0.566
4.2,4.239,0.343,0.108,0.528,0.573
4.3,4.338,0.359,0.125,0.539,0.581
4.4,4.437,0.376,0.146,0.551,0.592
4.5,4.535,0.395,0.172,0.564,0.605
4.6,4.633,0.415,0.201,0.575,0.623
4.7,4.73,0.438,0.235,0.585,0.646
4.8,4.827,0.463,0.272,0.593,0.673
4.9,4.923,0.49,0.31,0.599,0.703
5.0,5.019,0.52,0.348,0.604,0.734
5.1,5.113,0.554,0.383,0.608,0.763
5.2,5.206,0.591,0.414,0.61,0.789
5.3,5.297,0.632,0.44,0.612,0.811
5.4,5.386,0.677,0.461,0.614,0.83
5.5,5.473,0.726,0.478,0.615,0.845
5.6,5.558,0.779,0.491,0.617,0.858
5.7,5.64,0.836,0.501,0.618,0.867
5.8,5.719,0.897,0.509,0.62,0.877
5.9,5.795,0.963,0.515,0.622,0.887
6.0,5.867,1.032,0.519,0.624,0.9
