s,x,y,kappa,n_l,n_r
0.0,0.309,0.335,0.17,0.541,0.753
0.1,0.381,0.265,0.241,0.542,0.742
0.2,0.455,0.199,0.287,0.544,0.73
0.3,0.532,0.134,0.238,0.546,0.717
0.4,0.61,0.071,0.197,0.547,0.704
0.5,0.689,0.01,0.161,0.548,0.692
0.6,0.769,-0.05,0.131,0.549,0.679
0.7,0.849,-0.109,0.105,0.549,0.666
0.8,0.931,-0.167,0.082,0.549,0.654
0.9,1.013,-0.225,0.063,0.548,0.642
1.0,1.095,-0.282,0.047,0.547,0.63
1.1,1.177,-0.338,0.034,0.546,0.62
1.2,1.26,-0.395,0.024,0.544,0.609
1.3,1.343,-0.451,0.015,0.541,0.6
1.4,1.425,-0.507,0.009,0.538,0.591
1.5,1.508,-0.563,0.005,0.535,0.584
1.6,1.591,-0.618,0.002,0.531,0.577
1.7,1.674,-0.674,0.001,0.527,0.571
1.8,1.757,-0.73,0.002,0.522,0.566
1.9,1.84,-0.786,0.004,0.517,0.562
2.0,1.923,-0.842,0.008,0.512,0.559
2.1,2.006,-0.898,0.013,0.506,0.557
2.2,2.089,-0.953,0.019,0.5,0.556
2.3,2.172,-1.009,0.027,0.494,0.556
2.4,2.256,-1.064,0.036,0.488,0.557
2.5,2.339,-1.119,0.046,0.482,0.559
2.6,2.423,-1.173,0.057,0.475,0.562
2.7,2.507,-1.228,0.07,0.469,0.566
2.8,2.592,-1.281,0.085,0.462,0.571
2.9,2.677,-1.334,0.101,0.456,0.577
3.0,2.762,-1.386,0.12,0.45,0.584
3.1,2.848,-1.437,0.142,0.445,0.592
3.2,2.935,-1.486,0.167,0.44,0.6
3.3,3.022,-1.535,0.196,0.435,0.61
3.4,3.111,-1.581,0.23,0.431,0.62
3.5,3.201,-1.626,0.27,0.427,0.631
3.6,3.291,-1.668,0.317,0.424,0.642
3.7,3.383,-1.707,0.371,0.421,0.653
3.8,3.477,-1.743,0.435,0.42,0.665
3.9,3.571,-1.774,0.508,0.419,0.677
4.0,3.668,-1.801,0.59,0.419,0.689
4.1,3.766,-1.823,0.68,0.42,0.701
4.2,3.864,-1.837,0.774,0.421,0.712
4.3,3.964,-1.844,0.863,0.424,0.723
4.4,4.064,-1.842,0.937,0.428,0.733
4.5,4.164,-1.831,0.986,0.432,0.743
4.6,4.261,-1.81,1.0,0.437,0.752
4.7,4.356,-1.779,0.977,0.443,0.761
4.8,4.448,-1.739,0.923,0.45,0.768
4.9,4.535,-1.69,0.847,0.457,0.775
5.0,4.619,-1.635,0.761,0.465,0.781
5.1,4.697,-1.573,0.674,0.473,0.787
5.2,4.771,-1.506,0.593,0.482,0.791
5.3,4.842,-1.435,0.521,0.49,0.795
5.4,4.908,-1.36,0.46,0.499,0.799
