s,x,y,kappa,n_l,n_r
0.0,0.057,0.046,0.107,0.48,0.685
0.5,0.555,0.015,0.121,0.508,0.64
1.0,1.055,0.038,0.083,0.531,0.603
1.5,1.553,0.074,0.022,0.541,0.575
2.0,2.052,0.112,0.014,0.539,0.555
2.5,2.55,0.154,0.018,0.531,0.545
3.0,3.048,0.201,0.024,0.527,0.546
3.5,3.545,0.253,0.044,0.529,0.564
4.0,4.042,0.314,0.095,0.542,0.603
4.5,4.535,0.395,0.195,0.561,0.66
5.0,5.019,0.52,0.334,0.582,0.727
5.5,5.473,0.726,0.451,0.601,0.79
6.0,5.867,1.032,0.505,0.615,0.836
6.5,6.17,1.428,0.502,0.624,0.86
7.0,6.362,1.888,0.46,0.632,0.866
7.5,6.444,2.381,0.418,0.64,0.866
8.0,6.425,2.879,0.434,0.648,0.871
8.5,6.306,3.364,0.535,0.654,0.885
9.0,6.066,3.8,0.671,0.653,0.899
9.5,5.693,4.129,0.752,0.644,0.899
10.0,5.223,4.292,0.72,0.63,0.874
10.5,4.726,4.272,0.568,0.62,0.823
11.0,4.255,4.108,0.341,0.617,0.75
11.5,3.819,3.864,0.06,0.626,0.668
12.0,3.394,3.601,-0.298,0.642,0.588
12.5,2.937,3.402,-0.639,0.658,0.529
13.0,2.441,3.38,-0.713,0.664,0.503
13.5,1.972,3.548,-0.514,0.653,0.515
14.0,1.563,3.834,-0.237,0.624,0.56
14.5,1.189,4.166,0.05,0.587,0.624
15.0,0.808,4.49,0.35,0.552,0.698
15.5,0.378,4.741,0.644,0.532,0.77
16.0,-0.109,4.838,0.916,0.533,0.828
16.5,-0.588,4.712,1.256,0.549,0.85
17.0,-0.895,4.334,1.529,0.57,0.822
17.5,-0.823,3.852,0.861,0.588,0.746
18.0,-0.522,3.453,0.005,0.604,0.651
18.5,-0.229,3.05,-0.716,0.615,0.576
19.0,-0.138,2.566,-0.879,0.615,0.547
19.5,-0.297,2.095,-0.443,0.593,0.567
20.0,-0.564,1.672,0.157,0.551,0.624
20.5,-0.801,1.234,0.763,0.502,0.691
21.0,-0.83,0.741,1.125,0.465,0.738
21.5,-0.576,0.319,0.859,0.449,0.749
22.0,-0.137,0.089,0.52,0.456,0.727
