s,x,y,kappa,n_l,n_r
0.0,0.016,0.213,0.322,0.794,0.816
0.05,0.064,0.199,0.467,0.772,0.798
0.1,0.113,0.187,0.581,0.768,0.779
0.15,0.161,0.176,0.522,0.763,0.762
0.2,0.211,0.166,0.467,0.747,0.754
0.25,0.26,0.157,0.417,0.748,0.739
0.3,0.309,0.149,0.37,0.748,0.752
0.35,0.359,0.143,0.326,0.68,0.724
0.4,0.408,0.137,0.287,0.672,0.736
0.45,0.458,0.132,0.251,0.667,0.725
0.5,0.508,0.127,0.218,0.675,0.73
0.55,0.558,0.123,0.189,0.654,0.715
0.6,0.608,0.119,0.163,0.647,0.696
0.65,0.657,0.116,0.141,0.65,0.682
0.7,0.707,0.113,0.122,0.634,0.67
0.75,0.757,0.111,0.106,0.64,0.642
0.8,0.807,0.109,0.092,0.64,0.634
0.85,0.857,0.107,0.082,0.614,0.627
0.9,0.907,0.105,0.073,0.621,0.617
0.95,0.957,0.103,0.067,0.617,0.609
1.0,1.007,0.102,0.062,0.614,0.607
1.05,1.057,0.1,0.058,0.615,0.625
1.1,1.107,0.099,0.055,0.603,0.596
1.15,1.157,0.098,0.052,0.592,0.598
1.2,1.207,0.097,0.049,0.603,0.597
1.25,1.257,0.096,0.045,0.584,0.641
1.3,1.307,0.096,0.041,0.612,0.656
1.35,1.357,0.095,0.035,0.595,0.617
1.4,1.407,0.095,0.028,0.585,0.66
1.45,1.457,0.094,0.02,0.586,0.614
1.5,1.507,0.094,0.01,0.591,0.599
1.55,1.557,0.093,-0.001,0.587,0.558
1.6,1.607,0.093,-0.013,0.592,0.543
1.65,1.657,0.093,-0.025,0.587,0.608
1.7,1.707,0.092,-0.037,0.593,0.617
1.75,1.757,0.092,-0.048,0.593,0.622
1.8,1.807,0.091,-0.059,0.594,0.646
1.85,1.857,0.09,-0.067,0.605,0.61
1.9,1.907,0.089,-0.073,0.603,0.601
1.95,1.957,0.088,-0.076,0.653,0.638
2.0,2.007,0.087,-0.076,0.638,0.595
2.05,2.057,0.085,-0.074,0.641,0.615
