s,x,y,kappa,n_l,n_r
0.0,0.037,0.221,0.069,0.648,0.697
0.1,0.137,0.232,0.095,0.647,0.693
0.2,0.236,0.245,0.105,0.647,0.688
0.3,0.335,0.259,0.079,0.646,0.683
0.4,0.434,0.274,0.061,0.646,0.679
0.5,0.533,0.289,0.046,0.646,0.674
0.6,0.631,0.305,0.034,0.646,0.671
0.7,0.73,0.321,0.023,0.646,0.667
0.8,0.829,0.337,0.012,0.646,0.664
0.9,0.927,0.354,0.001,0.647,0.661
1.0,1.026,0.37,-0.009,0.647,0.658
1.1,1.125,0.386,-0.018,0.648,0.656
1.2,1.223,0.403,-0.025,0.648,0.654
1.3,1.322,0.418,-0.03,0.648,0.652
1.4,1.421,0.434,-0.033,0.649,0.65
1.5,1.52,0.449,-0.034,0.649,0.649
1.6,1.618,0.464,-0.034,0.648,0.648
1.7,1.717,0.479,-0.033,0.648,0.647
1.8,1.816,0.493,-0.031,0.647,0.646
1.9,1.915,0.507,-0.028,0.646,0.645
2.0,2.014,0.521,-0.025,0.645,0.645
2.1,2.114,0.534,-0.023,0.644,0.644
2.2,2.213,0.548,-0.019,0.642,0.644
2.3,2.312,0.561,-0.016,0.64,0.643
2.4,2.411,0.573,-0.012,0.638,0.643
2.5,2.51,0.586,-0.008,0.636,0.643
2.6,2.609,0.599,-0.004,0.633,0.643
2.7,2.709,0.611,0.0,0.63,0.643
2.8,2.808,0.624,0.005,0.628,0.644
2.9,2.907,0.637,0.01,0.624,0.644
3.0,3.006,0.65,0.016,0.621,0.645
3.1,3.105,0.662,0.021,0.618,0.646
3.2,3.204,0.676,0.028,0.614,0.648
3.3,3.303,0.689,0.034,0.611,0.65
3.4,3.403,0.703,0.042,0.607,0.652
3.5,3.502,0.717,0.05,0.603,0.655
3.6,3.6,0.732,0.06,0.6,0.658
3.7,3.699,0.747,0.071,0.596,0.662
3.8,3.798,0.763,0.084,0.592,0.666
3.9,3.897,0.78,0.098,0.588,0.67
4.0,3.995,0.797,0.115,0.585,0.675
4.1,4.093,0.816,0.135,0.581,0.681
4.2,4.191,0.836,0.157,0.578,0.686
4.3,4.289,0.858,0.182,0.574,0.693
4.4,4.386,0.882,0.21,0.571,0.699
4.5,4.483,0.907,0.242,0.569,0.706
4.6,4.579,0.935,0.276,0.566,0.713
4.7,4.674,0.965,0.313,0.564,0.72
4.8,4.768,0.999,0.351,0.563,0.727
4.9,4.861,1.035,0.391,0.561,0.735
5.0,4.953,1.076,0.431,0.561,0.742
5.1,5.042,1.12,0.469,0.56,0.749
5.2,5.13,1.168,0.504,0.56,0.755
5.3,5.215,1.221,0.533,0.561,0.762
5.4,5.297,1.278,0.556,0.562,0.768
5.5,5.376,1.34,0.57,0.563,0.773
5.6,5.451,1.406,0.575,0.564,0.778
5.7,5.522,1.476,0.571,0.566,0.783
5.8,5.589,1.55,0.559,0.568,0.786
5.9,5.652,1.628,0.541,0.57,0.789
6.0,5.71,1.71,0.519,0.571,0.792
6.1,5.764,1.794,0.493,0.573,0.793
6.2,5.814,1.88,0.467,0.575,0.794
6.3,5.86,1.969,0.442,0.576,0.795
6.4,5.901,2.06,0.418,0.577,0.795
6.5,5.939,2.152,0.398,0.578,0.794
6.6,5.974,2.246,0.381,0.578,0.792
6.7,6.005,2.342,0.368,0.577,0.791
6.8,6.032,2.438,0.36,0.577,0.788
6.9,6.055,2.535,0.357,0.575,0.786
7.0,6.076,2.633,0.359,0.573,0.783
7.1,6.092,2.731,0.367,0.57,0.779
7.2,6.106,2.831,0.381,0.567,0.776
7.3,6.115,2.93,0.401,0.564,0.772
7.4,6.12,3.03,0.427,0.56,0.769
7.5,6.121,3.13,0.457,0.555,0.765
7.6,6.118,3.23,0.492,0.551,0.762
7.7,6.11,3.33,0.527,0.546,0.758
7.8,6.096,3.429,0.562,0.541,0.755
7.9,6.077,3.527,0.594,0.536,0.752
8.0,6.052,3.624,0.62,0.531,0.749
8.1,6.021,3.719,0.64,0.526,0.747
8.2,5.984,3.812,0.655,0.522,0.744
8.3,5.941,3.902,0.664,0.518,0.742
8.4,5.892,3.989,0.672,0.515,0.741
8.5,5.837,4.073,0.68,0.512,0.739
8.6,5.777,4.153,0.691,0.509,0.737
8.7,5.712,4.228,0.706,0.507,0.736
8.8,5.641,4.299,0.726,0.505,0.735
8.9,5.565,4.364,0.749,0.505,0.733
9.0,5.485,4.424,0.775,0.504,0.732
9.1,5.4,4.477,0.801,0.504,0.73
9.2,5.312,4.523,0.824,0.505,0.728
9.3,5.219,4.562,0.841,0.506,0.725
9.4,5.124,4.593,0.85,0.508,0.722
9.5,5.027,4.615,0.85,0.51,0.718
9.6,4.928,4.63,0.842,0.512,0.714
9.7,4.828,4.635,0.829,0.515,0.708
9.8,4.728,4.633,0.812,0.518,0.702
9.9,4.629,4.622,0.794,0.521,0.696
10.0,4.531,4.604,0.776,0.524,0.688
10.1,4.434,4.578,0.757,0.528,0.68
10.2,4.34,4.545,0.736,0.532,0.67
10.3,4.248,4.505,0.706,0.536,0.661
10.4,4.16,4.458,0.662,0.54,0.65
10.5,4.074,4.406,0.599,0.544,0.64
10.6,3.992,4.349,0.515,0.549,0.628
10.7,3.914,4.287,0.414,0.554,0.617
10.8,3.837,4.223,0.303,0.558,0.606
10.9,3.763,4.156,0.187,0.563,0.594
11.0,3.69,4.087,0.067,0.568,0.583
11.1,3.618,4.018,-0.067,0.574,0.572
11.2,3.545,3.95,-0.225,0.579,0.562
11.3,3.47,3.883,-0.414,0.584,0.552
11.4,3.393,3.819,-0.617,0.589,0.542
11.5,3.313,3.76,-0.793,0.593,0.533
11.6,3.227,3.708,-0.897,0.598,0.525
11.7,3.137,3.664,-0.914,0.601,0.518
11.8,3.044,3.629,-0.868,0.605,0.512
11.9,2.948,3.602,-0.794,0.608,0.506
12.0,2.85,3.582,-0.719,0.61,0.501
12.1,2.75,3.57,-0.653,0.611,0.497
12.2,2.651,3.564,-0.597,0.612,0.494
12.3,2.551,3.564,-0.548,0.611,0.492
12.4,2.451,3.569,-0.504,0.61,0.491
12.5,2.351,3.58,-0.462,0.608,0.49
12.6,2.253,3.595,-0.422,0.605,0.491
12.7,2.154,3.614,-0.382,0.601,0.492
12.8,2.057,3.637,-0.341,0.597,0.494
12.9,1.961,3.663,-0.301,0.591,0.497
13.0,1.865,3.693,-0.26,0.585,0.501
13.1,1.77,3.724,-0.22,0.579,0.506
13.2,1.676,3.758,-0.179,0.572,0.511
13.3,1.582,3.793,-0.139,0.564,0.517
13.4,1.489,3.83,-0.1,0.556,0.524
