s,x,y,kappa,n_l,n_r
0.0,0.15,0.253,0.069,0.588,0.661
0.1,0.25,0.247,0.103,0.588,0.658
0.2,0.35,0.242,0.133,0.589,0.655
0.3,0.45,0.239,0.126,0.591,0.653
0.4,0.55,0.236,0.117,0.593,0.651
0.5,0.65,0.236,0.107,0.595,0.649
0.6,0.75,0.236,0.096,0.599,0.647
0.7,0.85,0.237,0.084,0.602,0.646
0.8,0.95,0.239,0.072,0.606,0.646
0.9,1.05,0.241,0.059,0.611,0.645
1.0,1.15,0.245,0.046,0.615,0.645
1.1,1.249,0.248,0.033,0.62,0.646
1.2,1.349,0.253,0.02,0.624,0.646
1.3,1.449,0.257,0.008,0.629,0.647
1.4,1.549,0.261,-0.004,0.634,0.648
1.5,1.649,0.265,-0.015,0.638,0.649
1.6,1.749,0.27,-0.025,0.642,0.65
1.7,1.849,0.274,-0.033,0.646,0.651
1.8,1.949,0.277,-0.04,0.649,0.652
1.9,2.049,0.28,-0.044,0.652,0.654
2.0,2.149,0.283,-0.047,0.655,0.655
2.1,2.249,0.285,-0.047,0.657,0.657
2.2,2.349,0.287,-0.046,0.659,0.658
2.3,2.449,0.288,-0.042,0.661,0.66
2.4,2.549,0.289,-0.037,0.662,0.662
2.5,2.649,0.29,-0.031,0.662,0.663
2.6,2.749,0.29,-0.024,0.663,0.665
2.7,2.849,0.29,-0.016,0.663,0.667
2.8,2.949,0.289,-0.007,0.663,0.669
2.9,3.049,0.289,0.001,0.663,0.671
3.0,3.149,0.289,0.01,0.662,0.674
3.1,3.249,0.289,0.019,0.662,0.676
3.2,3.349,0.289,0.028,0.662,0.679
3.3,3.449,0.289,0.037,0.661,0.683
3.4,3.549,0.29,0.046,0.661,0.686
3.5,3.649,0.291,0.055,0.661,0.69
3.6,3.749,0.293,0.065,0.661,0.695
3.7,3.849,0.295,0.075,0.662,0.7
3.8,3.949,0.298,0.086,0.663,0.706
3.9,4.049,0.302,0.099,0.664,0.712
4.0,4.148,0.307,0.113,0.665,0.718
4.1,4.248,0.313,0.129,0.667,0.726
4.2,4.348,0.32,0.148,0.669,0.733
4.3,4.448,0.329,0.17,0.671,0.741
4.4,4.547,0.339,0.196,0.674,0.75
4.5,4.646,0.352,0.226,0.676,0.759
4.6,4.745,0.366,0.258,0.679,0.768
4.7,4.844,0.384,0.294,0.682,0.778
4.8,4.942,0.404,0.332,0.685,0.787
4.9,5.039,0.427,0.369,0.687,0.797
5.0,5.135,0.454,0.404,0.69,0.806
5.1,5.23,0.485,0.435,0.692,0.815
5.2,5.324,0.52,0.459,0.694,0.824
5.3,5.416,0.559,0.478,0.696,0.832
5.4,5.506,0.602,0.491,0.697,0.839
5.5,5.594,0.65,0.5,0.698,0.846
5.6,5.679,0.702,0.506,0.699,0.852
5.7,5.762,0.759,0.512,0.699,0.857
5.8,5.841,0.82,0.517,0.699,0.862
5.9,5.917,0.884,0.524,0.698,0.865
6.0,5.99,0.953,0.535,0.697,0.867
6.1,6.059,1.025,0.549,0.695,0.868
6.2,6.124,1.101,0.569,0.693,0.869
6.3,6.185,1.181,0.594,0.691,0.868
6.4,6.24,1.264,0.624,0.688,0.867
6.5,6.291,1.35,0.658,0.685,0.865
6.6,6.335,1.44,0.689,0.682,0.862
6.7,6.374,1.532,0.711,0.679,0.859
6.8,6.406,1.627,0.714,0.675,0.856
6.9,6.43,1.724,0.694,0.672,0.852
7.0,6.448,1.822,0.651,0.668,0.848
7.1,6.46,1.921,0.593,0.664,0.843
7.2,6.465,2.021,0.53,0.66,0.839
7.3,6.465,2.121,0.472,0.656,0.835
7.4,6.461,2.221,0.425,0.652,0.832
7.5,6.452,2.321,0.392,0.648,0.828
7.6,6.44,2.42,0.372,0.645,0.825
7.7,6.424,2.519,0.364,0.641,0.822
7.8,6.404,2.617,0.367,0.637,0.82
7.9,6.381,2.714,0.378,0.633,0.818
8.0,6.354,2.81,0.395,0.63,0.817
8.1,6.323,2.905,0.418,0.626,0.816
8.2,6.288,2.999,0.444,0.623,0.815
8.3,6.249,3.091,0.472,0.62,0.814
8.4,6.206,3.181,0.499,0.616,0.814
8.5,6.159,3.269,0.526,0.613,0.814
8.6,6.107,3.355,0.55,0.61,0.814
8.7,6.05,3.437,0.571,0.607,0.814
8.8,5.989,3.516,0.588,0.604,0.813
8.9,5.923,3.591,0.601,0.602,0.813
9.0,5.853,3.662,0.61,0.599,0.812
9.1,5.778,3.729,0.616,0.597,0.81
9.2,5.7,3.791,0.619,0.594,0.808
9.3,5.617,3.848,0.621,0.592,0.806
9.4,5.532,3.9,0.621,0.59,0.803
9.5,5.443,3.946,0.62,0.588,0.8
9.6,5.352,3.987,0.618,0.586,0.795
9.7,5.258,4.022,0.615,0.584,0.79
9.8,5.163,4.052,0.61,0.582,0.785
9.9,5.066,4.075,0.603,0.58,0.778
10.0,4.967,4.093,0.593,0.578,0.771
10.1,4.868,4.104,0.579,0.576,0.763
10.2,4.768,4.11,0.562,0.575,0.755
10.3,4.668,4.11,0.543,0.573,0.745
10.4,4.568,4.105,0.521,0.572,0.736
10.5,4.469,4.095,0.5,0.571,0.725
10.6,4.37,4.079,0.479,0.57,0.715
10.7,4.272,4.059,0.463,0.569,0.704
10.8,4.175,4.035,0.452,0.568,0.693
10.9,4.079,4.006,0.449,0.568,0.681
11.0,3.985,3.973,0.457,0.568,0.67
11.1,3.892,3.935,0.478,0.568,0.658
11.2,3.801,3.893,0.509,0.569,0.646
11.3,3.713,3.847,0.531,0.569,0.635
11.4,3.627,3.796,0.486,0.57,0.624
11.5,3.544,3.741,0.305,0.571,0.613
11.6,3.462,3.682,0.012,0.573,0.603
11.7,3.381,3.624,-0.278,0.574,0.593
11.8,3.298,3.568,-0.492,0.575,0.584
11.9,3.213,3.516,-0.643,0.577,0.575
12.0,3.124,3.47,-0.76,0.578,0.567
12.1,3.032,3.431,-0.849,0.579,0.56
12.2,2.937,3.4,-0.911,0.58,0.553
12.3,2.839,3.378,-0.948,0.58,0.548
12.4,2.74,3.365,-0.96,0.581,0.543
12.5,2.64,3.362,-0.948,0.58,0.539
12.6,2.541,3.369,-0.91,0.58,0.536
12.7,2.442,3.384,-0.844,0.578,0.533
12.8,2.345,3.408,-0.752,0.577,0.532
12.9,2.25,3.439,-0.644,0.575,0.531
13.0,2.157,3.476,-0.529,0.572,0.531
13.1,2.066,3.518,-0.418,0.569,0.532
13.2,1.977,3.564,-0.319,0.565,0.534
13.3,1.89,3.612,-0.234,0.561,0.536
13.4,1.803,3.663,-0.162,0.557,0.539
13.5,1.718,3.715,-0.101,0.552,0.542
13.6,1.633,3.768,-0.049,0.548,0.546
13.7,1.548,3.821,-0.003,0.543,0.55
13.8,1.464,3.874,0.038,0.538,0.555
13.9,1.379,3.927,0.077,0.533,0.56
14.0,1.293,3.979,0.113,0.529,0.565
14.1,1.208,4.03,0.146,0.524,0.571
14.2,1.121,4.08,0.177,0.52,0.576
14.3,1.033,4.129,0.206,0.517,0.583
14.4,0.945,4.175,0.232,0.514,0.589
14.5,0.855,4.22,0.256,0.511,0.596
14.6,0.765,4.262,0.279,0.509,0.602
14.7,0.673,4.301,0.3,0.508,0.61
14.8,0.58,4.338,0.321,0.507,0.617
14.9,0.486,4.372,0.343,0.507,0.624
15.0,0.391,4.403,0.366,0.508,0.632
15.1,0.294,4.43,0.391,0.509,0.639
15.2,0.197,4.453,0.421,0.511,0.647
15.3,0.099,4.472,0.456,0.514,0.655
15.4,0.0,4.487,0.496,0.518,0.663
15.5,-0.099,4.497,0.541,0.522,0.671
15.6,-0.199,4.502,0.593,0.527,0.679
15.7,-0.299,4.5,0.664,0.532,0.687
15.8,-0.399,4.492,0.777,0.538,0.695
15.9,-0.498,4.477,0.944,0.544,0.702
16.0,-0.595,4.452,1.138,0.55,0.708
16.1,-0.688,4.416,1.31,0.556,0.715
16.2,-0.776,4.369,1.411,0.563,0.72
16.3,-0.856,4.309,1.42,0.57,0.725
16.4,-0.927,4.239,1.344,0.577,0.73
16.5,-0.987,4.159,1.21,0.583,0.733
16.6,-1.038,4.073,1.051,0.59,0.735
16.7,-1.079,3.982,0.892,0.597,0.737
