s,x,y,kappa,n_l,n_r
0.0,0.309,0.335,0.17,0.546,0.789
0.1,0.381,0.265,0.241,0.568,0.759
0.2,0.455,0.199,0.287,0.563,0.73
0.3,0.532,0.134,0.238,0.574,0.701
0.4,0.61,0.071,0.197,0.572,0.674
0.5,0.689,0.01,0.161,0.606,0.652
0.6,0.769,-0.05,0.131,0.574,0.639
0.7,0.849,-0.109,0.105,0.579,0.624
0.8,0.931,-0.167,0.082,0.6,0.621
0.9,1.013,-0.225,0.063,0.568,0.627
1.0,1.095,-0.282,0.047,0.575,0.616
1.1,1.177,-0.338,0.034,0.585,0.604
1.2,1.26,-0.395,0.024,0.64,0.599
1.3,1.343,-0.451,0.015,0.606,0.583
1.4,1.425,-0.507,0.009,0.589,0.555
1.5,1.508,-0.563,0.005,0.633,0.531
1.6,1.591,-0.618,0.002,0.637,0.518
1.7,1.674,-0.674,0.001,0.616,0.512
1.8,1.757,-0.73,0.002,0.61,0.503
1.9,1.84,-0.786,0.004,0.572,0.512
2.0,1.923,-0.842,0.008,0.546,0.508
2.1,2.006,-0.898,0.013,0.501,0.508
2.2,2.089,-0.953,0.019,0.507,0.517
2.3,2.172,-1.009,0.027,0.469,0.516
2.4,2.256,-1.064,0.036,0.478,0.533
2.5,2.339,-1.119,0.046,0.468,0.532
2.6,2.423,-1.173,0.057,0.47,0.548
2.7,2.507,-1.228,0.07,0.485,0.529
2.8,2.592,-1.281,0.085,0.485,0.534
2.9,2.677,-1.334,0.101,0.488,0.544
3.0,2.762,-1.386,0.12,0.49,0.551
3.1,2.848,-1.437,0.142,0.495,0.558
3.2,2.935,-1.486,0.167,0.456,0.562
3.3,3.022,-1.535,0.196,0.44,0.561
3.4,3.111,-1.581,0.23,0.427,0.558
3.5,3.201,-1.626,0.27,0.415,0.552
3.6,3.291,-1.668,0.317,0.39,0.576
3.7,3.383,-1.707,0.371,0.378,0.586
3.8,3.477,-1.743,0.435,0.376,0.61
3.9,3.571,-1.774,0.508,0.356,0.631
4.0,3.668,-1.801,0.59,0.361,0.704
4.1,3.766,-1.823,0.68,0.358,0.752
4.2,3.864,-1.837,0.774,0.36,0.831
4.3,3.964,-1.844,0.863,0.365,0.905
4.4,4.064,-1.842,0.937,0.364,1.034
4.5,4.164,-1.831,0.986,0.382,1.189
4.6,4.261,-1.81,1.0,0.383,1.318
4.7,4.356,-1.779,0.977,0.383,1.199
4.8,4.448,-1.739,0.923,0.396,1.072
4.9,4.535,-1.69,0.847,0.389,1.004
5.0,4.619,-1.635,0.761,0.42,0.951
5.1,4.697,-1.573,0.674,0.443,0.885
5.2,4.771,-1.506,0.593,0.471,0.848
5.3,4.842,-1.435,0.521,0.51,0.806
5.4,4.908,-1.36,0.46,0.537,0.78
5.5,4.971,-1.282,0.41,0.562,0.757
5.6,5.031,-1.202,0.371,0.607,0.748
5.7,5.088,-1.12,0.342,0.614,0.728
5.8,5.141,-1.036,0.323,0.633,0.742
5.9,5.193,-0.95,0.313,0.646,0.743
6.0,5.241,-0.862,0.312,0.651,0.763
6.1,5.287,-0.773,0.32,0.652,0.754
6.2,5.33,-0.683,0.337,0.645,0.758
6.3,5.37,-0.591,0.364,0.663,0.8
6.4,5.406,-0.498,0.402,0.654,0.817
6.5,5.439,-0.404,0.451,0.661,0.881
6.6,5.467,-0.308,0.511,0.653,0.947
6.7,5.491,-0.211,0.581,0.637,1.007
6.8,5.509,-0.112,0.66,0.618,1.045
6.9,5.52,-0.013,0.742,0.598,1.115
7.0,5.524,0.087,0.819,0.592,1.185
7.1,5.52,0.187,0.881,0.585,1.357
7.2,5.507,0.286,0.917,0.569,1.521
7.3,5.485,0.384,0.92,0.553,1.313
7.4,5.454,0.479,0.888,0.546,1.103
7.5,5.414,0.57,0.826,0.533,0.97
7.6,5.367,0.659,0.745,0.521,0.869
7.7,5.314,0.743,0.656,0.528,0.797
7.8,5.255,0.824,0.566,0.453,0.755
7.9,5.192,0.901,0.483,0.453,0.71
8.0,5.125,0.976,0.409,0.458,0.673
8.1,5.055,1.047,0.345,0.459,0.645
8.2,4.983,1.116,0.291,0.495,0.621
