s,x,y,kappa,n_l,n_r
0.0,-0.029,-0.168,-0.315,0.634,0.503
0.1,0.066,-0.135,-0.47,0.629,0.5
0.2,0.162,-0.107,-0.618,0.623,0.498
0.3,0.259,-0.085,-0.602,0.617,0.498
0.4,0.358,-0.07,-0.581,0.609,0.498
0.5,0.457,-0.06,-0.555,0.601,0.5
0.6,0.557,-0.055,-0.522,0.592,0.502
0.7,0.657,-0.056,-0.478,0.583,0.506
0.8,0.757,-0.062,-0.42,0.574,0.51
0.9,0.857,-0.072,-0.345,0.564,0.515
1.0,0.956,-0.085,-0.251,0.554,0.521
1.1,1.055,-0.101,-0.145,0.544,0.527
1.2,1.153,-0.118,-0.036,0.535,0.534
1.3,1.251,-0.136,0.066,0.525,0.542
1.4,1.35,-0.153,0.156,0.517,0.55
1.5,1.449,-0.169,0.232,0.508,0.558
1.6,1.548,-0.182,0.297,0.5,0.567
1.7,1.647,-0.192,0.354,0.493,0.576
1.8,1.747,-0.198,0.406,0.486,0.585
1.9,1.847,-0.201,0.454,0.481,0.594
2.0,1.947,-0.199,0.5,0.476,0.603
2.1,2.047,-0.192,0.544,0.471,0.612
2.2,2.146,-0.179,0.585,0.468,0.621
2.3,2.244,-0.161,0.625,0.465,0.629
2.4,2.341,-0.137,0.664,0.463,0.637
2.5,2.437,-0.106,0.705,0.461,0.644
2.6,2.529,-0.069,0.75,0.46,0.65
2.7,2.619,-0.025,0.806,0.46,0.656
2.8,2.705,0.026,0.879,0.46,0.661
2.9,2.786,0.085,0.976,0.46,0.664
3.0,2.861,0.151,1.106,0.461,0.667
3.1,2.928,0.225,1.272,0.462,0.668
3.2,2.986,0.307,1.473,0.463,0.667
3.3,3.031,0.396,1.687,0.465,0.666
3.4,3.06,0.491,1.871,0.467,0.662
3.5,3.071,0.591,1.967,0.468,0.658
3.6,3.062,0.69,1.94,0.47,0.652
3.7,3.033,0.786,1.801,0.472,0.645
3.8,2.988,0.875,1.6,0.475,0.637
3.9,2.929,0.955,1.387,0.477,0.628
4.0,2.859,1.027,1.191,0.479,0.619
4.1,2.782,1.09,1.019,0.482,0.608
4.2,2.698,1.145,0.865,0.485,0.598
4.3,2.61,1.193,0.714,0.488,0.587
