s,x,y,kappa,n_l,n_r
0.0,0.15,0.253,0.069,0.528,0.634
0.1,0.25,0.247,0.103,0.549,0.628
0.2,0.35,0.242,0.133,0.558,0.638
0.3,0.45,0.239,0.126,0.561,0.634
0.4,0.55,0.236,0.117,0.568,0.627
0.5,0.65,0.236,0.107,0.569,0.636
0.6,0.75,0.236,0.096,0.579,0.626
0.7,0.85,0.237,0.084,0.598,0.632
0.8,0.95,0.239,0.072,0.606,0.644
0.9,1.05,0.241,0.059,0.619,0.642
1.0,1.15,0.245,0.046,0.615,0.635
1.1,1.249,0.248,0.033,0.632,0.644
1.2,1.349,0.253,0.02,0.638,0.653
1.3,1.449,0.257,0.008,0.639,0.653
1.4,1.549,0.261,-0.004,0.659,0.652
1.5,1.649,0.265,-0.015,0.67,0.666
1.6,1.749,0.27,-0.025,0.676,0.665
1.7,1.849,0.274,-0.033,0.687,0.639
1.8,1.949,0.277,-0.04,0.683,0.658
1.9,2.049,0.28,-0.044,0.685,0.681
2.0,2.149,0.283,-0.047,0.707,0.673
2.1,2.249,0.285,-0.047,0.705,0.681
2.2,2.349,0.287,-0.046,0.706,0.677
2.3,2.449,0.288,-0.042,0.702,0.684
2.4,2.549,0.289,-0.037,0.696,0.682
2.5,2.649,0.29,-0.031,0.7,0.685
2.6,2.749,0.29,-0.024,0.69,0.68
2.7,2.849,0.29,-0.016,0.69,0.672
2.8,2.949,0.289,-0.007,0.69,0.689
2.9,3.049,0.289,0.001,0.681,0.675
3.0,3.149,0.289,0.01,0.681,0.673
3.1,3.249,0.289,0.019,0.676,0.674
3.2,3.349,0.289,0.028,0.666,0.679
3.3,3.449,0.289,0.037,0.646,0.688
3.4,3.549,0.29,0.046,0.63,0.66
3.5,3.649,0.291,0.055,0.639,0.676
3.6,3.749,0.293,0.065,0.652,0.673
3.7,3.849,0.295,0.075,0.66,0.666
3.8,3.949,0.298,0.086,0.632,0.668
3.9,4.049,0.302,0.099,0.623,0.683
4.0,4.148,0.307,0.113,0.629,0.683
4.1,4.248,0.313,0.129,0.633,0.668
4.2,4.348,0.32,0.148,0.633,0.686
4.3,4.448,0.329,0.17,0.634,0.702
4.4,4.547,0.339,0.196,0.651,0.717
4.5,4.646,0.352,0.226,0.664,0.724
4.6,4.745,0.366,0.258,0.687,0.732
4.7,4.844,0.384,0.294,0.713,0.757
4.8,4.942,0.404,0.332,0.718,0.777
4.9,5.039,0.427,0.369,0.735,0.808
5.0,5.135,0.454,0.404,0.732,0.835
5.1,5.23,0.485,0.435,0.752,0.863
5.2,5.324,0.52,0.459,0.734,0.888
5.3,5.416,0.559,0.478,0.76,0.916
5.4,5.506,0.602,0.491,0.756,0.936
5.5,5.594,0.65,0.5,0.777,0.954
5.6,5.679,0.702,0.506,0.774,0.965
5.7,5.762,0.759,0.512,0.769,0.977
