s,x,y,kappa,n_l,n_r
0.0,-0.001,-0.024,0.173,0.495,0.584
0.1,0.099,-0.022,0.237,0.504,0.585
0.2,0.199,-0.016,0.258,0.514,0.586
0.3,0.299,-0.009,0.178,0.523,0.587
0.4,0.398,0.001,0.109,0.532,0.588
0.5,0.498,0.012,0.051,0.542,0.589
0.6,0.597,0.023,0.004,0.551,0.59
0.7,0.696,0.034,-0.031,0.559,0.591
0.8,0.796,0.045,-0.055,0.568,0.593
0.9,0.895,0.055,-0.07,0.575,0.594
1.0,0.995,0.065,-0.079,0.582,0.596
1.1,1.094,0.073,-0.083,0.589,0.598
1.2,1.194,0.081,-0.083,0.594,0.599
1.3,1.294,0.088,-0.08,0.599,0.601
1.4,1.394,0.095,-0.077,0.604,0.602
1.5,1.494,0.1,-0.072,0.607,0.604
1.6,1.593,0.105,-0.068,0.61,0.605
1.7,1.693,0.109,-0.064,0.613,0.606
1.8,1.793,0.112,-0.06,0.614,0.607
1.9,1.893,0.115,-0.057,0.615,0.608
2.0,1.993,0.118,-0.054,0.616,0.609
2.1,2.093,0.119,-0.051,0.616,0.61
2.2,2.193,0.121,-0.048,0.615,0.61
2.3,2.293,0.121,-0.043,0.615,0.611
2.4,2.393,0.122,-0.038,0.614,0.611
2.5,2.493,0.122,-0.031,0.612,0.611
2.6,2.593,0.121,-0.024,0.611,0.612
2.7,2.693,0.121,-0.016,0.609,0.612
2.8,2.793,0.12,-0.008,0.607,0.613
2.9,2.893,0.119,-0.001,0.604,0.613
3.0,2.993,0.118,0.007,0.602,0.614
3.1,3.093,0.117,0.013,0.6,0.615
3.2,3.193,0.117,0.02,0.597,0.616
3.3,3.293,0.116,0.026,0.595,0.617
3.4,3.393,0.116,0.033,0.592,0.618
3.5,3.493,0.116,0.04,0.589,0.62
3.6,3.593,0.117,0.048,0.587,0.622
3.7,3.693,0.118,0.056,0.584,0.624
3.8,3.793,0.12,0.065,0.582,0.626
3.9,3.893,0.122,0.076,0.58,0.629
4.0,3.993,0.125,0.088,0.578,0.632
4.1,4.093,0.129,0.103,0.576,0.635
4.2,4.193,0.133,0.119,0.574,0.638
4.3,4.293,0.14,0.137,0.573,0.642
4.4,4.392,0.147,0.158,0.572,0.646
4.5,4.492,0.156,0.182,0.571,0.65
4.6,4.591,0.167,0.209,0.571,0.654
4.7,4.691,0.18,0.238,0.571,0.659
4.8,4.789,0.195,0.271,0.572,0.664
4.9,4.888,0.213,0.306,0.573,0.669
