s,x,y,kappa,n_l,n_r
0.0,0.021,-0.02,0.004,0.611,0.641
0.1,0.121,-0.022,0.005,0.616,0.64
0.2,0.221,-0.024,0.005,0.62,0.64
0.3,0.321,-0.026,0.004,0.624,0.64
0.4,0.421,-0.028,0.002,0.628,0.64
0.5,0.521,-0.03,-0.0,0.631,0.64
0.6,0.621,-0.032,-0.003,0.634,0.64
0.7,0.721,-0.034,-0.006,0.637,0.641
0.8,0.821,-0.036,-0.009,0.639,0.641
0.9,0.921,-0.039,-0.012,0.641,0.642
1.0,1.021,-0.041,-0.015,0.643,0.643
1.1,1.121,-0.043,-0.018,0.644,0.643
1.2,1.221,-0.046,-0.02,0.645,0.644
1.3,1.321,-0.049,-0.022,0.645,0.645
1.4,1.421,-0.052,-0.023,0.645,0.645
1.5,1.521,-0.055,-0.023,0.645,0.646
1.6,1.62,-0.058,-0.022,0.644,0.646
1.7,1.72,-0.062,-0.019,0.643,0.647
1.8,1.82,-0.066,-0.015,0.641,0.647
1.9,1.92,-0.07,-0.01,0.64,0.648
2.0,2.02,-0.074,-0.002,0.638,0.649
2.1,2.12,-0.078,0.008,0.635,0.65
2.2,2.22,-0.082,0.02,0.633,0.651
2.3,2.32,-0.086,0.035,0.63,0.652
2.4,2.42,-0.09,0.052,0.627,0.653
2.5,2.52,-0.093,0.071,0.625,0.655
2.6,2.62,-0.095,0.092,0.622,0.657
2.7,2.72,-0.097,0.114,0.619,0.659
2.8,2.82,-0.097,0.135,0.617,0.662
2.9,2.92,-0.096,0.155,0.615,0.665
3.0,3.02,-0.093,0.173,0.613,0.668
3.1,3.12,-0.089,0.189,0.612,0.672
3.2,3.219,-0.083,0.202,0.611,0.676
3.3,3.319,-0.075,0.214,0.611,0.681
3.4,3.419,-0.064,0.225,0.611,0.686
3.5,3.518,-0.052,0.235,0.612,0.691
3.6,3.617,-0.037,0.246,0.613,0.698
3.7,3.715,-0.019,0.26,0.615,0.704
3.8,3.813,0.001,0.277,0.618,0.711
3.9,3.91,0.023,0.3,0.622,0.719
4.0,4.007,0.049,0.331,0.626,0.726
4.1,4.103,0.078,0.372,0.63,0.734
4.2,4.198,0.11,0.424,0.635,0.743
4.3,4.291,0.146,0.486,0.641,0.751
4.4,4.382,0.187,0.551,0.646,0.76
4.5,4.471,0.232,0.604,0.652,0.769
4.6,4.557,0.283,0.633,0.659,0.777
4.7,4.64,0.339,0.634,0.665,0.786
4.8,4.719,0.401,0.618,0.671,0.794
4.9,4.793,0.467,0.598,0.676,0.802
5.0,4.864,0.538,0.582,0.682,0.809
5.1,4.931,0.613,0.576,0.687,0.816
5.2,4.993,0.691,0.58,0.691,0.822
5.3,5.051,0.773,0.591,0.695,0.828
5.4,5.103,0.858,0.608,0.698,0.833
5.5,5.151,0.946,0.628,0.701,0.837
5.6,5.192,1.037,0.646,0.703,0.84
5.7,5.228,1.13,0.657,0.704,0.843
5.8,5.258,1.225,0.654,0.704,0.845
5.9,5.281,1.323,0.635,0.703,0.846
6.0,5.298,1.421,0.6,0.702,0.847
6.1,5.309,1.521,0.557,0.7,0.847
6.2,5.314,1.62,0.511,0.697,0.846
6.3,5.314,1.72,0.469,0.693,0.845
6.4,5.31,1.82,0.436,0.688,0.843
6.5,5.301,1.92,0.412,0.683,0.841
6.6,5.289,2.019,0.396,0.678,0.838
6.7,5.272,2.118,0.388,0.672,0.835
6.8,5.252,2.216,0.385,0.665,0.832
6.9,5.228,2.313,0.385,0.658,0.829
7.0,5.2,2.409,0.388,0.65,0.825
7.1,5.168,2.504,0.392,0.643,0.821
7.2,5.133,2.597,0.397,0.635,0.817
7.3,5.094,2.689,0.404,0.627,0.813
7.4,5.051,2.78,0.412,0.619,0.808
7.5,5.005,2.868,0.423,0.61,0.804
7.6,4.955,2.955,0.437,0.602,0.799
7.7,4.901,3.039,0.455,0.594,0.793
7.8,4.844,3.121,0.479,0.586,0.788
7.9,4.782,3.2,0.509,0.578,0.782
8.0,4.717,3.276,0.547,0.57,0.775
8.1,4.648,3.348,0.593,0.563,0.768
8.2,4.574,3.416,0.648,0.555,0.761
8.3,4.497,3.479,0.71,0.549,0.753
8.4,4.415,3.536,0.779,0.542,0.744
8.5,4.328,3.587,0.85,0.537,0.735
