s,x,y,kappa,n_l,n_r
0.0,0.069,0.18,0.189,0.513,0.823
0.1,0.167,0.157,0.271,0.534,0.796
0.2,0.265,0.138,0.328,0.55,0.756
0.3,0.364,0.122,0.282,0.558,0.726
0.4,0.463,0.108,0.242,0.56,0.71
0.5,0.562,0.098,0.207,0.569,0.694
0.6,0.662,0.089,0.176,0.582,0.667
0.7,0.762,0.082,0.149,0.578,0.659
0.8,0.861,0.076,0.126,0.594,0.659
0.9,0.961,0.072,0.106,0.608,0.648
1.0,1.061,0.068,0.089,0.606,0.635
1.1,1.161,0.066,0.074,0.623,0.643
1.2,1.261,0.064,0.062,0.63,0.625
1.3,1.361,0.063,0.051,0.616,0.624
1.4,1.461,0.063,0.043,0.631,0.629
1.5,1.561,0.063,0.036,0.641,0.614
1.6,1.661,0.063,0.031,0.628,0.637
1.7,1.761,0.063,0.027,0.626,0.649
1.8,1.861,0.064,0.024,0.635,0.615
1.9,1.961,0.065,0.023,0.629,0.66
2.0,2.061,0.066,0.022,0.623,0.668
2.1,2.161,0.068,0.023,0.631,0.599
2.2,2.261,0.07,0.024,0.624,0.611
2.3,2.361,0.072,0.026,0.623,0.673
2.4,2.461,0.074,0.029,0.63,0.66
2.5,2.561,0.076,0.033,0.623,0.658
2.6,2.661,0.079,0.037,0.625,0.675
2.7,2.761,0.082,0.043,0.627,0.639
2.8,2.861,0.086,0.049,0.624,0.673
2.9,2.961,0.09,0.055,0.62,0.687
3.0,3.061,0.095,0.063,0.615,0.661
3.1,3.161,0.1,0.072,0.615,0.671
3.2,3.26,0.106,0.081,0.637,0.688
3.3,3.36,0.113,0.092,0.638,0.686
3.4,3.46,0.12,0.103,0.636,0.694
3.5,3.559,0.129,0.116,0.628,0.713
3.6,3.659,0.139,0.13,0.618,0.714
3.7,3.758,0.15,0.146,0.608,0.721
3.8,3.858,0.163,0.163,0.597,0.7
3.9,3.957,0.177,0.182,0.584,0.711
4.0,4.055,0.193,0.202,0.574,0.723
4.1,4.154,0.211,0.224,0.553,0.726
4.2,4.252,0.231,0.247,0.545,0.734
4.3,4.349,0.254,0.272,0.522,0.742
4.4,4.446,0.279,0.299,0.519,0.777
4.5,4.542,0.307,0.327,0.504,0.789
4.6,4.637,0.339,0.356,0.488,0.831
4.7,4.73,0.373,0.386,0.486,0.858
4.8,4.823,0.411,0.417,0.504,0.898
4.9,4.914,0.453,0.447,0.474,0.946
