s,x,y,kappa,n_l,n_r
0.0,-0.185,-0.153,0.998,0.499,0.584
0.1,-0.085,-0.147,1.523,0.495,0.592
0.2,0.012,-0.121,1.998,0.491,0.599
0.3,0.101,-0.076,1.841,0.488,0.606
0.4,0.18,-0.015,1.616,0.485,0.612
0.5,0.249,0.057,1.43,0.483,0.618
0.6,0.307,0.139,1.306,0.482,0.622
0.7,0.354,0.227,1.23,0.481,0.627
0.8,0.389,0.32,1.182,0.481,0.63
0.9,0.414,0.417,1.141,0.482,0.633
1.0,0.427,0.516,1.089,0.483,0.635
1.1,0.43,0.616,1.015,0.485,0.636
1.2,0.422,0.716,0.917,0.488,0.636
1.3,0.405,0.814,0.804,0.491,0.636
1.4,0.38,0.911,0.685,0.495,0.636
1.5,0.349,1.006,0.57,0.499,0.635
1.6,0.312,1.099,0.467,0.504,0.634
1.7,0.271,1.19,0.38,0.51,0.632
1.8,0.226,1.28,0.307,0.516,0.631
1.9,0.179,1.368,0.249,0.522,0.629
2.0,0.13,1.455,0.202,0.529,0.628
2.1,0.079,1.541,0.165,0.536,0.627
2.2,0.027,1.626,0.135,0.543,0.626
2.3,-0.027,1.711,0.111,0.55,0.625
2.4,-0.081,1.795,0.092,0.557,0.624
2.5,-0.137,1.878,0.076,0.564,0.624
2.6,-0.192,1.961,0.064,0.571,0.623
2.7,-0.249,2.044,0.053,0.578,0.623
2.8,-0.306,2.126,0.045,0.585,0.623
2.9,-0.363,2.208,0.038,0.591,0.623
3.0,-0.42,2.29,0.032,0.597,0.623
3.1,-0.478,2.372,0.027,0.602,0.623
3.2,-0.536,2.453,0.023,0.607,0.623
3.3,-0.594,2.534,0.02,0.611,0.623
3.4,-0.652,2.616,0.017,0.614,0.622
3.5,-0.711,2.697,0.015,0.617,0.622
3.6,-0.769,2.778,0.015,0.62,0.621
3.7,-0.828,2.859,0.017,0.622,0.621
3.8,-0.887,2.94,0.022,0.624,0.62
3.9,-0.946,3.02,0.031,0.625,0.619
4.0,-1.005,3.101,0.04,0.625,0.618
4.1,-1.065,3.181,0.032,0.626,0.618
4.2,-1.124,3.261,-0.01,0.626,0.617
4.3,-1.184,3.342,-0.077,0.625,0.617
4.4,-1.244,3.422,-0.128,0.625,0.617
4.5,-1.302,3.503,-0.139,0.625,0.617
4.6,-1.359,3.586,-0.119,0.624,0.617
4.7,-1.415,3.669,-0.091,0.623,0.618
4.8,-1.47,3.752,-0.064,0.623,0.619
4.9,-1.524,3.836,-0.043,0.622,0.621
5.0,-1.579,3.92,-0.024,0.622,0.624
5.1,-1.633,4.004,-0.009,0.622,0.626
5.2,-1.687,4.088,0.004,0.622,0.63
5.3,-1.741,4.172,0.015,0.623,0.633
5.4,-1.795,4.256,0.025,0.624,0.638
5.5,-1.849,4.34,0.035,0.625,0.643
5.6,-1.904,4.424,0.044,0.626,0.648
5.7,-1.959,4.507,0.053,0.628,0.654
5.8,-2.014,4.591,0.062,0.63,0.66
5.9,-2.07,4.673,0.07,0.632,0.666
6.0,-2.127,4.756,0.08,0.634,0.673
6.1,-2.184,4.838,0.091,0.637,0.68
6.2,-2.242,4.919,0.104,0.64,0.687
6.3,-2.301,5.0,0.119,0.642,0.694
6.4,-2.361,5.08,0.139,0.645,0.701
6.5,-2.422,5.16,0.165,0.648,0.708
6.6,-2.484,5.238,0.199,0.65,0.714
6.7,-2.548,5.315,0.242,0.652,0.72
6.8,-2.613,5.391,0.295,0.654,0.726
6.9,-2.681,5.464,0.357,0.655,0.731
7.0,-2.751,5.536,0.425,0.656,0.735
7.1,-2.824,5.604,0.495,0.656,0.739
7.2,-2.901,5.668,0.564,0.655,0.741
7.3,-2.981,5.728,0.628,0.654,0.742
7.4,-3.064,5.783,0.685,0.652,0.743
7.5,-3.152,5.832,0.735,0.649,0.742
7.6,-3.242,5.874,0.778,0.646,0.741
7.7,-3.336,5.909,0.814,0.642,0.738
7.8,-3.432,5.937,0.84,0.637,0.734
7.9,-3.53,5.956,0.853,0.631,0.73
8.0,-3.629,5.967,0.847,0.625,0.725
8.1,-3.729,5.969,0.816,0.618,0.719
8.2,-3.829,5.963,0.756,0.611,0.712
8.3,-3.928,5.95,0.672,0.604,0.705
8.4,-4.026,5.93,0.577,0.596,0.698
8.5,-4.123,5.904,0.488,0.589,0.691
8.6,-4.218,5.873,0.417,0.581,0.685
8.7,-4.312,5.839,0.364,0.573,0.678
8.8,-4.404,5.801,0.327,0.565,0.672
8.9,-4.496,5.761,0.302,0.558,0.666
9.0,-4.586,5.717,0.286,0.55,0.661
9.1,-4.675,5.671,0.278,0.543,0.657
9.2,-4.762,5.623,0.277,0.536,0.653
9.3,-4.848,5.572,0.282,0.53,0.65
9.4,-4.933,5.519,0.293,0.523,0.648
9.5,-5.016,5.464,0.311,0.517,0.647
9.6,-5.098,5.405,0.336,0.511,0.646
9.7,-5.177,5.345,0.369,0.504,0.647
9.8,-5.254,5.281,0.411,0.499,0.647
9.9,-5.328,5.214,0.46,0.493,0.649
10.0,-5.4,5.144,0.513,0.487,0.651
10.1,-5.467,5.07,0.568,0.481,0.653
10.2,-5.531,4.993,0.618,0.475,0.656
10.3,-5.589,4.912,0.658,0.469,0.658
10.4,-5.642,4.827,0.687,0.462,0.661
10.5,-5.689,4.738,0.704,0.456,0.664
10.6,-5.729,4.647,0.712,0.45,0.667
10.7,-5.763,4.553,0.714,0.444,0.669
10.8,-5.79,4.457,0.715,0.439,0.671
10.9,-5.811,4.359,0.715,0.433,0.673
11.0,-5.824,4.26,0.716,0.428,0.675
11.1,-5.83,4.16,0.716,0.424,0.676
11.2,-5.828,4.06,0.713,0.42,0.676
