s,x,y,kappa,n_l,n_r
0.0,0.119,-0.236,0.21,0.555,0.616
0.05,0.169,-0.235,0.295,0.551,0.612
0.1,0.219,-0.233,0.342,0.546,0.607
0.15,0.268,-0.231,0.274,0.542,0.603
0.2,0.318,-0.228,0.217,0.538,0.599
0.25,0.368,-0.224,0.172,0.535,0.595
0.3,0.418,-0.22,0.138,0.532,0.592
0.35,0.468,-0.215,0.112,0.529,0.589
0.4,0.518,-0.21,0.094,0.527,0.587
0.45,0.567,-0.205,0.083,0.525,0.585
0.5,0.617,-0.2,0.076,0.524,0.583
0.55,0.667,-0.195,0.073,0.523,0.582
0.6,0.716,-0.189,0.072,0.522,0.58
0.65,0.766,-0.183,0.073,0.522,0.58
0.7,0.816,-0.177,0.074,0.523,0.579
0.75,0.865,-0.171,0.075,0.523,0.579
0.8,0.915,-0.165,0.075,0.525,0.579
0.85,0.965,-0.158,0.075,0.526,0.579
0.9,1.014,-0.152,0.074,0.528,0.579
0.95,1.064,-0.145,0.072,0.53,0.579
1.0,1.113,-0.138,0.069,0.532,0.58
1.05,1.163,-0.13,0.067,0.534,0.58
1.1,1.212,-0.123,0.064,0.537,0.581
1.15,1.261,-0.116,0.061,0.54,0.581
1.2,1.311,-0.108,0.058,0.543,0.582
1.25,1.36,-0.1,0.055,0.545,0.583
1.3,1.41,-0.092,0.054,0.548,0.584
1.35,1.459,-0.084,0.052,0.551,0.585
1.4,1.508,-0.076,0.052,0.554,0.585
1.45,1.558,-0.067,0.051,0.557,0.586
1.5,1.607,-0.059,0.051,0.56,0.587
1.55,1.656,-0.05,0.052,0.562,0.588
1.6,1.705,-0.041,0.052,0.565,0.589
1.65,1.755,-0.032,0.052,0.568,0.59
1.7,1.804,-0.023,0.053,0.57,0.591
1.75,1.853,-0.014,0.052,0.572,0.592
1.8,1.902,-0.005,0.052,0.575,0.593
1.85,1.951,0.004,0.05,0.577,0.594
1.9,2.0,0.014,0.048,0.579,0.595
1.95,2.049,0.023,0.045,0.581,0.596
2.0,2.098,0.033,0.04,0.582,0.597
2.05,2.147,0.043,0.035,0.584,0.598
2.1,2.196,0.053,0.028,0.585,0.598
2.15,2.245,0.063,0.02,0.587,0.599
2.2,2.294,0.073,0.01,0.588,0.6
2.25,2.343,0.083,-0.001,0.589,0.6
2.3,2.392,0.093,-0.012,0.589,0.601
2.35,2.441,0.103,-0.025,0.59,0.601
2.4,2.49,0.113,-0.039,0.59,0.602
2.45,2.539,0.123,-0.053,0.59,0.603
2.5,2.588,0.133,-0.067,0.59,0.603
2.55,2.637,0.142,-0.08,0.59,0.604
2.6,2.686,0.152,-0.091,0.59,0.604
2.65,2.736,0.161,-0.101,0.59,0.605
2.7,2.785,0.17,-0.108,0.589,0.606
2.75,2.834,0.179,-0.111,0.588,0.606
2.8,2.883,0.187,-0.11,0.588,0.607
2.85,2.933,0.195,-0.105,0.587,0.608
2.9,2.982,0.203,-0.095,0.586,0.609
2.95,3.031,0.211,-0.08,0.585,0.61
3.0,3.081,0.218,-0.062,0.584,0.611
3.05,3.13,0.225,-0.04,0.584,0.612
3.1,3.18,0.232,-0.016,0.583,0.613
3.15,3.229,0.239,0.009,0.583,0.615
3.2,3.279,0.247,0.035,0.583,0.616
3.25,3.328,0.254,0.059,0.583,0.618
3.3,3.378,0.261,0.082,0.584,0.619
3.35,3.427,0.269,0.101,0.585,0.621
3.4,3.477,0.277,0.118,0.586,0.623
3.45,3.526,0.285,0.132,0.588,0.626
3.5,3.575,0.293,0.142,0.59,0.628
3.55,3.624,0.302,0.15,0.593,0.631
3.6,3.674,0.311,0.155,0.596,0.635
3.65,3.723,0.321,0.158,0.6,0.638
3.7,3.772,0.331,0.159,0.604,0.642
3.75,3.821,0.341,0.158,0.608,0.646
3.8,3.869,0.352,0.158,0.614,0.651
3.85,3.918,0.363,0.157,0.619,0.656
3.9,3.967,0.374,0.157,0.625,0.661
3.95,4.015,0.386,0.157,0.632,0.667
4.0,4.064,0.398,0.159,0.639,0.674
4.05,4.112,0.411,0.162,0.646,0.68
4.1,4.161,0.424,0.167,0.654,0.688
4.15,4.209,0.437,0.173,0.662,0.695
4.2,4.257,0.451,0.182,0.67,0.703
4.25,4.305,0.465,0.192,0.678,0.711
4.3,4.352,0.48,0.205,0.686,0.72
4.35,4.4,0.495,0.22,0.694,0.728
4.4,4.448,0.511,0.237,0.703,0.737
4.45,4.495,0.527,0.258,0.711,0.746
4.5,4.542,0.544,0.282,0.719,0.755
4.55,4.589,0.562,0.31,0.726,0.764
4.6,4.635,0.58,0.342,0.734,0.772
4.65,4.681,0.599,0.379,0.741,0.781
4.7,4.727,0.619,0.422,0.747,0.789
4.75,4.773,0.64,0.47,0.753,0.797
4.8,4.818,0.662,0.524,0.759,0.805
4.85,4.862,0.685,0.584,0.764,0.812
4.9,4.906,0.71,0.651,0.768,0.819
4.95,4.948,0.735,0.722,0.772,0.825
5.0,4.99,0.763,0.796,0.775,0.83
5.05,5.031,0.792,0.872,0.777,0.834
5.1,5.071,0.822,0.945,0.778,0.838
5.15,5.108,0.855,1.012,0.779,0.841
5.2,5.145,0.889,1.069,0.779,0.843
5.25,5.179,0.926,1.111,0.779,0.844
5.3,5.211,0.964,1.134,0.778,0.844
5.35,5.241,1.004,1.137,0.776,0.843
5.4,5.269,1.045,1.119,0.773,0.841
5.45,5.294,1.089,1.081,0.77,0.839
5.5,5.317,1.133,1.028,0.766,0.835
5.55,5.338,1.179,0.962,0.762,0.831
5.6,5.356,1.225,0.888,0.757,0.826
5.65,5.373,1.272,0.811,0.752,0.82
5.7,5.387,1.32,0.733,0.746,0.813
5.75,5.4,1.369,0.658,0.74,0.806
5.8,5.411,1.417,0.587,0.734,0.799
5.85,5.42,1.466,0.522,0.727,0.791
5.9,5.429,1.516,0.463,0.721,0.783
5.95,5.436,1.565,0.412,0.714,0.775
6.0,5.442,1.615,0.367,0.707,0.766
6.05,5.447,1.664,0.329,0.699,0.758
6.1,5.452,1.714,0.297,0.692,0.749
6.15,5.456,1.764,0.271,0.685,0.74
6.2,5.459,1.814,0.25,0.678,0.732
6.25,5.461,1.864,0.234,0.671,0.724
6.3,5.463,1.914,0.222,0.665,0.715
6.35,5.464,1.964,0.212,0.658,0.708
6.4,5.465,2.014,0.205,0.652,0.7
6.45,5.465,2.064,0.199,0.646,0.693
6.5,5.465,2.114,0.195,0.641,0.686
6.55,5.464,2.164,0.191,0.636,0.679
6.6,5.463,2.214,0.187,0.631,0.673
6.65,5.461,2.264,0.183,0.627,0.667
6.7,5.459,2.314,0.18,0.623,0.662
6.75,5.457,2.364,0.177,0.62,0.657
6.8,5.454,2.414,0.174,0.618,0.653
6.85,5.45,2.464,0.171,0.616,0.649
6.9,5.446,2.513,0.171,0.615,0.646
6.95,5.442,2.563,0.172,0.614,0.644
7.0,5.437,2.613,0.175,0.615,0.642
7.05,5.432,2.663,0.182,0.616,0.64
7.1,5.427,2.712,0.193,0.617,0.64
7.15,5.42,2.762,0.209,0.619,0.64
7.2,5.414,2.812,0.23,0.622,0.64
7.25,5.407,2.861,0.259,0.625,0.642
7.3,5.399,2.91,0.296,0.628,0.643
7.35,5.39,2.96,0.342,0.632,0.645
7.4,5.381,3.009,0.399,0.637,0.648
7.45,5.371,3.058,0.469,0.641,0.651
7.5,5.359,3.106,0.554,0.646,0.654
7.55,5.346,3.155,0.655,0.65,0.657
7.6,5.332,3.203,0.777,0.655,0.66
7.65,5.316,3.25,0.921,0.659,0.664
7.7,5.297,3.296,1.088,0.664,0.667
7.75,5.277,3.342,1.279,0.667,0.67
7.8,5.253,3.386,1.487,0.671,0.672
7.85,5.226,3.428,1.7,0.674,0.674
7.9,5.196,3.468,1.897,0.676,0.676
7.95,5.162,3.504,2.048,0.678,0.677
8.0,5.124,3.537,2.126,0.679,0.677
8.05,5.083,3.566,2.112,0.68,0.677
8.1,5.039,3.59,2.01,0.68,0.676
8.15,4.993,3.61,1.842,0.68,0.674
8.2,4.946,3.625,1.635,0.679,0.672
8.25,4.897,3.636,1.417,0.677,0.67
8.3,4.848,3.644,1.209,0.675,0.667
8.35,4.798,3.649,1.019,0.673,0.664
8.4,4.748,3.652,0.852,0.67,0.66
8.45,4.698,3.652,0.708,0.667,0.656
8.5,4.648,3.65,0.585,0.664,0.652
8.55,4.598,3.647,0.479,0.661,0.648
8.6,4.548,3.643,0.389,0.657,0.645
8.65,4.499,3.638,0.311,0.654,0.641
8.7,4.449,3.632,0.245,0.651,0.638
8.75,4.399,3.626,0.189,0.649,0.635
8.8,4.35,3.619,0.142,0.646,0.633
8.85,4.3,3.612,0.103,0.644,0.631
8.9,4.251,3.604,0.071,0.642,0.629
8.95,4.201,3.596,0.045,0.641,0.629
9.0,4.152,3.588,0.026,0.64,0.629
9.05,4.103,3.581,0.012,0.639,0.629
9.1,4.053,3.573,0.004,0.64,0.631
9.15,4.004,3.565,-0.0,0.64,0.633
9.2,3.955,3.557,-0.0,0.641,0.635
9.25,3.905,3.549,0.004,0.643,0.638
9.3,3.856,3.541,0.011,0.645,0.642
9.35,3.806,3.533,0.02,0.647,0.646
9.4,3.757,3.525,0.033,0.65,0.651
9.45,3.708,3.517,0.047,0.654,0.657
9.5,3.658,3.509,0.065,0.657,0.663
9.55,3.609,3.501,0.084,0.662,0.669
9.6,3.56,3.492,0.107,0.666,0.676
9.65,3.511,3.483,0.132,0.671,0.683
9.7,3.462,3.474,0.161,0.676,0.69
9.75,3.412,3.465,0.193,0.681,0.697
9.8,3.363,3.455,0.23,0.687,0.705
9.85,3.315,3.444,0.272,0.693,0.713
9.9,3.266,3.433,0.32,0.698,0.721
9.95,3.217,3.421,0.374,0.704,0.728
10.0,3.169,3.408,0.436,0.71,0.736
10.05,3.121,3.394,0.505,0.716,0.743
10.1,3.073,3.379,0.584,0.721,0.75
10.15,3.026,3.362,0.673,0.726,0.756
10.2,2.979,3.344,0.772,0.731,0.762
10.25,2.934,3.324,0.88,0.736,0.767
10.3,2.889,3.303,0.997,0.74,0.772
10.35,2.845,3.279,1.117,0.744,0.776
10.4,2.802,3.252,1.236,0.747,0.779
10.45,2.762,3.223,1.343,0.75,0.781
10.5,2.723,3.191,1.43,0.753,0.782
10.55,2.687,3.157,1.484,0.755,0.782
10.6,2.653,3.12,1.497,0.756,0.781
10.65,2.623,3.08,1.465,0.757,0.779
10.7,2.595,3.039,1.392,0.757,0.776
10.75,2.57,2.995,1.286,0.757,0.773
10.8,2.548,2.95,1.156,0.757,0.768
10.85,2.529,2.904,1.015,0.756,0.763
10.9,2.512,2.857,0.87,0.755,0.757
10.95,2.497,2.809,0.728,0.754,0.75
11.0,2.484,2.761,0.592,0.753,0.742
11.05,2.473,2.712,0.465,0.751,0.734
11.1,2.462,2.664,0.347,0.75,0.726
11.15,2.452,2.615,0.236,0.749,0.718
11.2,2.443,2.565,0.132,0.748,0.709
11.25,2.435,2.516,0.032,0.747,0.7
11.3,2.426,2.467,-0.063,0.747,0.692
11.35,2.417,2.418,-0.157,0.746,0.683
11.4,2.408,2.369,-0.25,0.746,0.675
11.45,2.398,2.32,-0.344,0.747,0.667
11.5,2.387,2.271,-0.44,0.748,0.659
11.55,2.376,2.222,-0.537,0.749,0.651
11.6,2.362,2.174,-0.638,0.75,0.644
11.65,2.348,2.126,-0.741,0.752,0.638
11.7,2.332,2.079,-0.845,0.753,0.631
11.75,2.313,2.032,-0.949,0.755,0.626
11.8,2.293,1.987,-1.05,0.758,0.62
11.85,2.27,1.942,-1.144,0.76,0.616
11.9,2.244,1.899,-1.227,0.762,0.611
11.95,2.216,1.858,-1.294,0.764,0.607
12.0,2.186,1.818,-1.343,0.766,0.604
12.05,2.153,1.781,-1.37,0.768,0.601
12.1,2.117,1.746,-1.377,0.77,0.598
12.15,2.079,1.713,-1.364,0.772,0.596
12.2,2.039,1.684,-1.337,0.773,0.594
12.25,1.997,1.657,-1.299,0.775,0.592
12.3,1.953,1.632,-1.255,0.776,0.591
12.35,1.908,1.611,-1.211,0.777,0.59
12.4,1.861,1.592,-1.17,0.778,0.589
12.45,1.814,1.576,-1.136,0.778,0.588
12.5,1.766,1.563,-1.109,0.779,0.588
12.55,1.717,1.553,-1.093,0.779,0.587
12.6,1.667,1.545,-1.088,0.779,0.587
12.65,1.618,1.54,-1.096,0.779,0.587
12.7,1.568,1.537,-1.115,0.779,0.587
12.75,1.518,1.537,-1.147,0.778,0.587
12.8,1.468,1.541,-1.191,0.777,0.588
12.85,1.418,1.547,-1.246,0.776,0.588
12.9,1.369,1.556,-1.309,0.775,0.589
12.95,1.321,1.569,-1.377,0.773,0.589
13.0,1.273,1.584,-1.445,0.771,0.59
13.05,1.227,1.603,-1.506,0.769,0.591
13.1,1.182,1.626,-1.553,0.766,0.593
13.15,1.14,1.652,-1.578,0.763,0.594
13.2,1.099,1.681,-1.575,0.76,0.596
13.25,1.061,1.713,-1.54,0.757,0.598
13.3,1.026,1.749,-1.475,0.754,0.601
13.35,0.993,1.786,-1.382,0.75,0.604
13.4,0.963,1.826,-1.267,0.747,0.607
13.45,0.935,1.868,-1.139,0.744,0.611
13.5,0.91,1.911,-1.002,0.74,0.616
13.55,0.887,1.956,-0.862,0.737,0.621
13.6,0.866,2.001,-0.722,0.735,0.626
13.65,0.847,2.047,-0.583,0.733,0.632
13.7,0.829,2.094,-0.446,0.731,0.639
13.75,0.812,2.141,-0.31,0.729,0.647
13.8,0.796,2.189,-0.174,0.729,0.654
13.85,0.78,2.236,-0.036,0.728,0.663
13.9,0.765,2.283,0.107,0.728,0.671
13.95,0.749,2.331,0.256,0.729,0.68
14.0,0.732,2.378,0.415,0.729,0.69
14.05,0.715,2.425,0.585,0.731,0.699
14.1,0.696,2.471,0.767,0.732,0.709
14.15,0.676,2.517,0.961,0.734,0.718
14.2,0.653,2.561,1.163,0.736,0.728
14.25,0.628,2.604,1.366,0.737,0.737
14.3,0.599,2.646,1.553,0.739,0.746
14.35,0.568,2.685,1.708,0.741,0.754
14.4,0.534,2.721,1.809,0.743,0.762
14.45,0.496,2.754,1.843,0.744,0.77
14.5,0.455,2.783,1.807,0.745,0.777
14.55,0.412,2.808,1.711,0.746,0.783
14.6,0.367,2.83,1.573,0.747,0.789
14.65,0.321,2.848,1.415,0.747,0.794
14.7,0.273,2.863,1.254,0.747,0.799
14.75,0.224,2.874,1.104,0.746,0.803
14.8,0.175,2.883,0.97,0.746,0.806
14.85,0.125,2.89,0.856,0.744,0.809
14.9,0.075,2.894,0.762,0.743,0.812
14.95,0.026,2.897,0.687,0.741,0.815
15.0,-0.024,2.897,0.63,0.739,0.817
15.05,-0.074,2.897,0.59,0.737,0.819
15.1,-0.124,2.894,0.563,0.734,0.821
15.15,-0.174,2.891,0.55,0.732,0.822
15.2,-0.224,2.886,0.55,0.729,0.824
15.25,-0.274,2.88,0.561,0.726,0.825
15.3,-0.323,2.872,0.583,0.723,0.826
15.35,-0.372,2.863,0.615,0.72,0.827
15.4,-0.421,2.852,0.657,0.717,0.828
15.45,-0.469,2.84,0.71,0.713,0.828
15.5,-0.518,2.826,0.771,0.71,0.827
15.55,-0.565,2.81,0.842,0.706,0.826
15.6,-0.612,2.792,0.922,0.702,0.825
15.65,-0.658,2.772,1.009,0.698,0.823
15.7,-0.702,2.75,1.101,0.694,0.82
15.75,-0.746,2.726,1.196,0.689,0.816
15.8,-0.788,2.699,1.29,0.685,0.812
15.85,-0.828,2.669,1.377,0.68,0.807
15.9,-0.866,2.636,1.451,0.675,0.801
15.95,-0.902,2.601,1.505,0.669,0.794
16.0,-0.934,2.563,1.534,0.663,0.786
16.05,-0.964,2.523,1.534,0.657,0.778
16.1,-0.991,2.481,1.504,0.651,0.769
16.15,-1.014,2.437,1.446,0.645,0.76
16.2,-1.034,2.391,1.366,0.638,0.75
16.25,-1.051,2.344,1.269,0.632,0.739
16.3,-1.065,2.296,1.163,0.625,0.729
16.35,-1.076,2.247,1.054,0.618,0.718
16.4,-1.084,2.198,0.946,0.611,0.708
16.45,-1.09,2.148,0.844,0.604,0.697
16.5,-1.094,2.098,0.751,0.598,0.687
16.55,-1.096,2.048,0.666,0.591,0.677
16.6,-1.097,1.998,0.591,0.585,0.667
16.65,-1.096,1.948,0.526,0.579,0.658
16.7,-1.093,1.898,0.469,0.573,0.649
16.75,-1.09,1.848,0.421,0.568,0.641
16.8,-1.085,1.799,0.38,0.563,0.633
16.85,-1.08,1.749,0.346,0.558,0.625
