s,x,y,kappa,n_l,n_r
0.0,0.197,0.294,0.074,0.665,0.684
0.05,0.239,0.265,0.105,0.66,0.677
0.1,0.28,0.237,0.123,0.654,0.671
0.15,0.321,0.209,0.101,0.649,0.665
0.2,0.363,0.181,0.083,0.644,0.659
0.25,0.404,0.154,0.068,0.639,0.653
0.3,0.446,0.126,0.057,0.634,0.648
0.35,0.488,0.099,0.049,0.63,0.642
0.4,0.53,0.072,0.043,0.625,0.637
0.45,0.572,0.044,0.039,0.621,0.633
0.5,0.614,0.017,0.036,0.617,0.628
0.55,0.656,-0.01,0.034,0.613,0.624
0.6,0.698,-0.037,0.034,0.609,0.62
0.65,0.74,-0.063,0.033,0.606,0.616
0.7,0.783,-0.09,0.033,0.603,0.612
0.75,0.825,-0.117,0.032,0.599,0.608
0.8,0.867,-0.144,0.031,0.596,0.604
0.85,0.91,-0.17,0.028,0.594,0.601
0.9,0.952,-0.197,0.025,0.591,0.597
0.95,0.994,-0.223,0.02,0.588,0.594
1.0,1.037,-0.25,0.014,0.586,0.59
1.05,1.079,-0.276,0.006,0.583,0.587
1.1,1.122,-0.302,-0.003,0.581,0.583
1.15,1.164,-0.329,-0.014,0.579,0.58
1.2,1.207,-0.355,-0.025,0.576,0.576
1.25,1.249,-0.382,-0.037,0.574,0.572
1.3,1.292,-0.408,-0.05,0.572,0.569
1.35,1.334,-0.435,-0.062,0.569,0.565
1.4,1.376,-0.462,-0.074,0.567,0.561
1.45,1.418,-0.488,-0.084,0.564,0.558
1.5,1.46,-0.516,-0.093,0.561,0.554
1.55,1.502,-0.543,-0.101,0.559,0.551
1.6,1.544,-0.57,-0.106,0.556,0.547
1.65,1.585,-0.598,-0.108,0.553,0.544
1.7,1.627,-0.626,-0.108,0.549,0.54
1.75,1.668,-0.654,-0.105,0.546,0.537
1.8,1.709,-0.683,-0.1,0.543,0.534
1.85,1.75,-0.711,-0.092,0.539,0.531
1.9,1.791,-0.74,-0.082,0.536,0.529
