s,x,y,kappa,n_l,n_r
0.0,0.166,0.34,0.264,0.599,0.983
0.1,0.259,0.302,0.381,0.545,0.932
0.2,0.353,0.269,0.468,0.553,0.887
0.3,0.449,0.24,0.411,0.576,0.848
0.4,0.546,0.216,0.357,0.564,0.828
0.5,0.644,0.195,0.309,0.561,0.805
0.6,0.742,0.177,0.266,0.571,0.753
0.7,0.841,0.162,0.227,0.569,0.699
0.8,0.94,0.148,0.192,0.571,0.668
0.9,1.039,0.137,0.161,0.581,0.651
1.0,1.139,0.128,0.133,0.57,0.625
1.1,1.239,0.119,0.108,0.567,0.621
1.2,1.338,0.112,0.086,0.574,0.673
1.3,1.438,0.106,0.067,0.58,0.672
1.4,1.538,0.1,0.049,0.584,0.608
1.5,1.638,0.095,0.033,0.586,0.545
1.6,1.738,0.09,0.019,0.596,0.615
1.7,1.838,0.085,0.007,0.611,0.641
1.8,1.938,0.08,-0.003,0.656,0.622
1.9,2.037,0.076,-0.011,0.646,0.581
2.0,2.137,0.071,-0.018,0.655,0.631
2.1,2.237,0.066,-0.024,0.706,0.672
2.2,2.337,0.06,-0.027,0.703,0.671
2.3,2.437,0.055,-0.028,0.678,0.691
2.4,2.537,0.049,-0.028,0.677,0.695
2.5,2.637,0.043,-0.025,0.668,0.684
2.6,2.736,0.037,-0.02,0.67,0.678
2.7,2.836,0.03,-0.013,0.847,0.657
2.8,2.936,0.023,-0.004,0.668,0.625
2.9,3.036,0.017,0.008,0.63,0.62
3.0,3.135,0.01,0.022,0.646,0.59
3.1,3.235,0.004,0.039,0.633,0.605
3.2,3.335,-0.003,0.058,0.587,0.603
3.3,3.435,-0.008,0.08,0.572,0.585
3.4,3.535,-0.013,0.106,0.543,0.588
3.5,3.635,-0.016,0.135,0.537,0.624
3.6,3.735,-0.019,0.167,0.539,0.621
3.7,3.835,-0.019,0.205,0.544,0.621
3.8,3.935,-0.018,0.247,0.533,0.657
3.9,4.035,-0.014,0.295,0.5,0.674
4.0,4.134,-0.008,0.35,0.484,0.715
4.1,4.234,0.003,0.412,0.451,0.748
4.2,4.333,0.017,0.483,0.43,0.768
4.3,4.431,0.036,0.561,0.409,0.781
4.4,4.528,0.06,0.646,0.395,0.807
4.5,4.623,0.091,0.734,0.408,0.847
4.6,4.716,0.129,0.819,0.374,0.916
4.7,4.805,0.174,0.892,0.377,1.014
4.8,4.89,0.227,0.944,0.399,1.218
4.9,4.969,0.287,0.967,0.406,1.292
5.0,5.042,0.356,0.957,0.412,1.278
5.1,5.109,0.43,0.916,0.42,1.199
5.2,5.168,0.511,0.853,0.439,1.078
5.3,5.22,0.597,0.777,0.445,1.007
5.4,5.265,0.686,0.697,0.472,0.962
5.5,5.304,0.778,0.62,0.496,0.887
5.6,5.337,0.872,0.551,0.53,0.846
5.7,5.365,0.968,0.492,0.551,0.807
5.8,5.388,1.066,0.443,0.583,0.777
5.9,5.407,1.164,0.405,0.603,0.767
6.0,5.422,1.263,0.378,0.609,0.757
6.1,5.433,1.362,0.36,0.618,0.763
6.2,5.44,1.462,0.353,0.602,0.768
6.3,5.444,1.562,0.355,0.582,0.769
6.4,5.445,1.662,0.367,0.598,0.733
6.5,5.442,1.762,0.39,0.568,0.726
6.6,5.435,1.861,0.423,0.555,0.715
6.7,5.424,1.961,0.467,0.546,0.749
6.8,5.408,2.06,0.522,0.54,0.767
6.9,5.387,2.157,0.587,0.527,0.818
7.0,5.361,2.254,0.66,0.538,0.887
7.1,5.328,2.348,0.736,0.439,0.965
7.2,5.288,2.44,0.808,0.45,1.015
7.3,5.241,2.528,0.867,0.44,1.099
7.4,5.187,2.612,0.903,0.452,1.225
7.5,5.125,2.691,0.908,0.456,1.392
7.6,5.056,2.763,0.882,0.469,1.343
7.7,4.981,2.829,0.829,0.482,1.153
7.8,4.901,2.889,0.757,0.487,1.008
7.9,4.816,2.942,0.676,0.501,0.924
8.0,4.728,2.99,0.594,0.515,0.851
8.1,4.637,3.032,0.516,0.537,0.785
8.2,4.545,3.07,0.445,0.494,0.739
8.3,4.451,3.103,0.384,0.467,0.698
8.4,4.355,3.133,0.33,0.488,0.664
8.5,4.259,3.159,0.285,0.488,0.626
8.6,4.162,3.183,0.246,0.501,0.613
8.7,4.064,3.205,0.214,0.512,0.598
8.8,3.966,3.224,0.188,0.523,0.586
8.9,3.867,3.242,0.165,0.509,0.575
9.0,3.769,3.258,0.147,0.512,0.579
9.1,3.67,3.272,0.132,0.507,0.578
9.2,3.571,3.286,0.119,0.494,0.573
9.3,3.471,3.298,0.109,0.491,0.561
9.4,3.372,3.309,0.101,0.491,0.636
9.5,3.272,3.319,0.093,0.501,0.577
9.6,3.173,3.328,0.088,0.509,0.555
9.7,3.073,3.336,0.082,0.537,0.631
9.8,2.973,3.343,0.078,0.557,0.654
9.9,2.874,3.35,0.074,0.581,0.65
10.0,2.774,3.355,0.071,0.596,0.634
10.1,2.674,3.361,0.068,0.614,0.64
10.2,2.574,3.365,0.066,0.631,0.64
10.3,2.474,3.369,0.064,0.644,0.667
10.4,2.374,3.372,0.062,0.649,0.658
10.5,2.274,3.375,0.061,0.66,0.656
10.6,2.174,3.376,0.06,0.657,0.661
10.7,2.074,3.378,0.06,0.653,0.667
10.8,1.974,3.379,0.061,0.638,0.642
10.9,1.874,3.379,0.063,0.604,0.656
11.0,1.774,3.378,0.065,0.573,0.682
11.1,1.674,3.377,0.069,0.578,0.648
11.2,1.574,3.375,0.074,0.56,0.662
11.3,1.474,3.373,0.08,0.598,0.683
11.4,1.374,3.369,0.088,0.609,0.67
11.5,1.274,3.365,0.099,0.641,0.666
11.6,1.175,3.36,0.111,0.671,0.696
11.7,1.075,3.353,0.127,0.68,0.705
11.8,0.975,3.346,0.146,0.673,0.687
11.9,0.876,3.337,0.169,0.669,0.697
12.0,0.776,3.326,0.196,0.642,0.724
12.1,0.677,3.313,0.229,0.624,0.754
12.2,0.578,3.298,0.268,0.596,0.751
12.3,0.48,3.281,0.314,0.585,0.768
12.4,0.382,3.26,0.367,0.56,0.79
12.5,0.285,3.236,0.43,0.55,0.817
12.6,0.189,3.208,0.501,0.557,0.848
12.7,0.094,3.175,0.581,0.578,0.881
12.8,0.002,3.136,0.667,0.56,0.949
12.9,-0.087,3.092,0.754,0.566,1.04
13.0,-0.173,3.041,0.835,0.577,1.152
13.1,-0.255,2.983,0.902,0.587,1.326
13.2,-0.33,2.917,0.944,0.58,1.382
13.3,-0.4,2.845,0.956,0.579,1.435
13.4,-0.462,2.767,0.936,0.567,1.267
13.5,-0.516,2.683,0.891,0.571,1.166
13.6,-0.562,2.594,0.829,0.566,1.092
13.7,-0.601,2.502,0.758,0.572,1.012
13.8,-0.633,2.407,0.688,0.567,0.954
13.9,-0.659,2.311,0.623,0.586,0.912
14.0,-0.678,2.213,0.567,0.558,0.861
14.1,-0.692,2.114,0.521,0.598,0.846
14.2,-0.7,2.014,0.485,0.564,0.859
14.3,-0.704,1.914,0.459,0.572,0.889
14.4,-0.703,1.814,0.443,0.571,0.88
14.5,-0.698,1.714,0.436,0.567,0.857
14.6,-0.689,1.615,0.438,0.57,0.792
14.7,-0.675,1.516,0.449,0.575,0.808
14.8,-0.656,1.417,0.468,0.576,0.829
14.9,-0.634,1.32,0.496,0.579,0.877
15.0,-0.606,1.224,0.531,0.577,0.996
15.1,-0.573,1.129,0.572,0.573,0.926
