s,x,y,kappa,n_l,n_r
0.0,-0.001,-0.024,0.173,0.478,0.544
0.1,0.099,-0.022,0.237,0.501,0.554
0.2,0.199,-0.016,0.258,0.525,0.563
0.3,0.299,-0.009,0.178,0.551,0.571
0.4,0.398,0.001,0.109,0.578,0.578
0.5,0.498,0.012,0.051,0.604,0.584
0.6,0.597,0.023,0.004,0.627,0.59
0.7,0.696,0.034,-0.031,0.647,0.596
0.8,0.796,0.045,-0.055,0.663,0.602
0.9,0.895,0.055,-0.07,0.674,0.609
1.0,0.995,0.065,-0.079,0.68,0.615
1.1,1.094,0.073,-0.083,0.682,0.62
1.2,1.194,0.081,-0.083,0.68,0.624
1.3,1.294,0.088,-0.08,0.676,0.628
1.4,1.394,0.095,-0.077,0.67,0.632
1.5,1.494,0.1,-0.072,0.664,0.635
1.6,1.593,0.105,-0.068,0.656,0.637
1.7,1.693,0.109,-0.064,0.65,0.639
1.8,1.793,0.112,-0.06,0.645,0.64
1.9,1.893,0.115,-0.057,0.643,0.639
2.0,1.993,0.118,-0.054,0.64,0.637
2.1,2.093,0.119,-0.051,0.637,0.634
2.2,2.193,0.121,-0.048,0.633,0.629
2.3,2.293,0.121,-0.043,0.63,0.624
2.4,2.393,0.122,-0.038,0.627,0.618
2.5,2.493,0.122,-0.031,0.625,0.613
2.6,2.593,0.121,-0.024,0.621,0.61
2.7,2.693,0.121,-0.016,0.618,0.607
2.8,2.793,0.12,-0.008,0.615,0.606
2.9,2.893,0.119,-0.001,0.612,0.606
3.0,2.993,0.118,0.007,0.609,0.609
3.1,3.093,0.117,0.013,0.607,0.615
3.2,3.193,0.117,0.02,0.605,0.622
3.3,3.293,0.116,0.026,0.603,0.629
3.4,3.393,0.116,0.033,0.602,0.635
3.5,3.493,0.116,0.04,0.602,0.636
3.6,3.593,0.117,0.048,0.6,0.634
3.7,3.693,0.118,0.056,0.598,0.629
3.8,3.793,0.12,0.065,0.595,0.624
3.9,3.893,0.122,0.076,0.591,0.621
4.0,3.993,0.125,0.088,0.586,0.62
4.1,4.093,0.129,0.103,0.581,0.622
4.2,4.193,0.133,0.119,0.576,0.626
4.3,4.293,0.14,0.137,0.57,0.631
4.4,4.392,0.147,0.158,0.564,0.637
4.5,4.492,0.156,0.182,0.556,0.644
4.6,4.591,0.167,0.209,0.547,0.651
4.7,4.691,0.18,0.238,0.54,0.658
4.8,4.789,0.195,0.271,0.533,0.664
4.9,4.888,0.213,0.306,0.529,0.67
5.0,4.986,0.234,0.343,0.528,0.678
5.1,5.083,0.258,0.382,0.531,0.688
5.2,5.179,0.286,0.422,0.537,0.698
5.3,5.273,0.318,0.462,0.547,0.706
5.4,5.367,0.354,0.5,0.559,0.712
5.5,5.458,0.395,0.537,0.573,0.714
5.6,5.547,0.441,0.571,0.589,0.716
5.7,5.633,0.491,0.6,0.605,0.719
5.8,5.716,0.547,0.621,0.621,0.725
5.9,5.795,0.608,0.628,0.638,0.734
6.0,5.87,0.674,0.619,0.653,0.748
6.1,5.942,0.744,0.593,0.668,0.765
6.2,6.008,0.819,0.556,0.68,0.785
6.3,6.071,0.897,0.515,0.689,0.805
6.4,6.129,0.978,0.476,0.695,0.822
6.5,6.184,1.062,0.443,0.698,0.837
6.6,6.234,1.148,0.416,0.699,0.847
6.7,6.281,1.236,0.396,0.697,0.852
6.8,6.325,1.326,0.381,0.693,0.849
6.9,6.365,1.418,0.372,0.689,0.841
7.0,6.402,1.511,0.367,0.684,0.831
7.1,6.435,1.605,0.366,0.68,0.821
7.2,6.465,1.701,0.368,0.675,0.814
7.3,6.491,1.797,0.372,0.669,0.809
7.4,6.514,1.894,0.378,0.663,0.803
7.5,6.533,1.993,0.386,0.655,0.794
7.6,6.548,2.091,0.396,0.647,0.778
7.7,6.559,2.191,0.41,0.639,0.759
7.8,6.567,2.29,0.428,0.631,0.739
7.9,6.57,2.39,0.453,0.622,0.722
8.0,6.568,2.49,0.485,0.611,0.708
8.1,6.562,2.59,0.522,0.599,0.695
8.2,6.55,2.69,0.56,0.586,0.68
8.3,6.533,2.788,0.587,0.571,0.661
8.4,6.51,2.885,0.592,0.553,0.637
8.5,6.481,2.981,0.573,0.534,0.613
8.6,6.447,3.075,0.536,0.517,0.591
8.7,6.408,3.167,0.498,0.503,0.572
8.8,6.364,3.257,0.478,0.493,0.558
8.9,6.316,3.345,0.49,0.487,0.548
9.0,6.264,3.43,0.543,0.483,0.542
9.1,6.208,3.513,0.635,0.479,0.541
9.2,6.146,3.591,0.746,0.474,0.543
9.3,6.079,3.665,0.848,0.471,0.549
9.4,6.006,3.733,0.915,0.473,0.559
9.5,5.926,3.794,0.946,0.481,0.576
9.6,5.841,3.847,0.953,0.495,0.602
9.7,5.752,3.892,0.946,0.511,0.64
9.8,5.659,3.928,0.92,0.529,0.687
9.9,5.563,3.955,0.872,0.544,0.739
10.0,5.464,3.974,0.806,0.558,0.788
10.1,5.365,3.985,0.73,0.569,0.824
10.2,5.265,3.988,0.652,0.578,0.841
10.3,5.165,3.985,0.577,0.586,0.84
10.4,5.066,3.976,0.509,0.591,0.824
10.5,4.966,3.962,0.448,0.595,0.799
10.6,4.868,3.944,0.393,0.596,0.771
10.7,4.771,3.922,0.345,0.595,0.744
10.8,4.674,3.896,0.301,0.593,0.718
10.9,4.578,3.868,0.261,0.591,0.696
11.0,4.483,3.837,0.224,0.589,0.677
11.1,4.388,3.804,0.189,0.587,0.662
11.2,4.295,3.77,0.155,0.586,0.649
11.3,4.201,3.734,0.121,0.585,0.641
11.4,4.109,3.696,0.086,0.586,0.635
11.5,4.016,3.658,0.047,0.589,0.629
11.6,3.924,3.62,0.003,0.592,0.622
11.7,3.832,3.581,-0.051,0.597,0.611
11.8,3.739,3.543,-0.117,0.603,0.597
11.9,3.646,3.506,-0.198,0.61,0.58
12.0,3.553,3.471,-0.296,0.616,0.561
12.1,3.458,3.438,-0.403,0.623,0.542
12.2,3.362,3.409,-0.509,0.632,0.527
12.3,3.265,3.386,-0.594,0.642,0.517
12.4,3.167,3.368,-0.645,0.653,0.513
12.5,3.068,3.356,-0.655,0.663,0.511
12.6,2.968,3.352,-0.632,0.671,0.507
12.7,2.868,3.353,-0.588,0.678,0.499
12.8,2.768,3.361,-0.535,0.681,0.488
12.9,2.669,3.374,-0.481,0.681,0.478
13.0,2.57,3.391,-0.429,0.677,0.47
13.1,2.473,3.413,-0.381,0.67,0.466
13.2,2.376,3.439,-0.336,0.66,0.466
13.3,2.28,3.467,-0.294,0.647,0.47
13.4,2.185,3.499,-0.253,0.632,0.477
13.5,2.091,3.533,-0.215,0.617,0.485
13.6,1.998,3.569,-0.177,0.601,0.495
13.7,1.905,3.606,-0.141,0.587,0.505
13.8,1.813,3.645,-0.106,0.575,0.516
13.9,1.721,3.685,-0.071,0.567,0.527
14.0,1.63,3.725,-0.038,0.562,0.539
14.1,1.539,3.766,-0.005,0.56,0.553
14.2,1.447,3.807,0.026,0.56,0.569
