s,x,y,kappa,n_l,n_r
0.0,-0.055,0.175,0.307,0.556,0.586
0.1,0.043,0.159,0.399,0.55,0.581
0.2,0.143,0.149,0.335,0.543,0.576
0.3,0.243,0.142,-0.014,0.537,0.569
0.4,0.343,0.136,-0.308,0.53,0.563
0.5,0.442,0.125,-0.335,0.523,0.556
0.6,0.541,0.11,-0.121,0.516,0.55
0.7,0.64,0.094,0.107,0.51,0.543
0.8,0.739,0.08,0.226,0.504,0.537
0.9,0.838,0.068,0.262,0.499,0.531
1.0,0.937,0.059,0.261,0.494,0.525
1.1,1.037,0.052,0.246,0.49,0.52
1.2,1.137,0.048,0.226,0.486,0.515
1.3,1.237,0.047,0.203,0.483,0.511
1.4,1.337,0.047,0.179,0.481,0.507
1.5,1.437,0.049,0.154,0.48,0.504
1.6,1.537,0.052,0.128,0.479,0.502
1.7,1.637,0.057,0.104,0.479,0.5
1.8,1.737,0.063,0.08,0.479,0.499
1.9,1.837,0.069,0.059,0.481,0.498
2.0,1.936,0.077,0.04,0.482,0.498
2.1,2.036,0.084,0.025,0.485,0.499
2.2,2.136,0.092,0.012,0.487,0.5
2.3,2.235,0.1,0.004,0.49,0.502
2.4,2.335,0.108,-0.002,0.494,0.504
2.5,2.435,0.116,-0.005,0.498,0.507
2.6,2.534,0.124,-0.006,0.502,0.51
2.7,2.634,0.132,-0.005,0.506,0.514
2.8,2.734,0.139,-0.003,0.511,0.518
2.9,2.833,0.147,-0.001,0.516,0.523
3.0,2.933,0.155,0.001,0.521,0.529
3.1,3.033,0.163,0.003,0.526,0.535
3.2,3.133,0.17,0.004,0.532,0.541
3.3,3.232,0.178,0.003,0.538,0.549
3.4,3.332,0.186,0.002,0.544,0.556
3.5,3.432,0.194,0.002,0.551,0.565
3.6,3.531,0.202,0.003,0.558,0.574
3.7,3.631,0.21,0.006,0.565,0.584
3.8,3.731,0.218,0.014,0.572,0.594
3.9,3.83,0.226,0.028,0.58,0.605
4.0,3.93,0.234,0.047,0.588,0.617
4.1,4.03,0.243,0.073,0.596,0.629
4.2,4.129,0.252,0.105,0.605,0.642
4.3,4.229,0.263,0.143,0.614,0.656
4.4,4.328,0.275,0.187,0.623,0.669
4.5,4.427,0.289,0.236,0.632,0.684
4.6,4.526,0.305,0.287,0.642,0.698
4.7,4.624,0.324,0.335,0.651,0.713
4.8,4.721,0.346,0.375,0.661,0.728
4.9,4.818,0.372,0.404,0.67,0.742
5.0,4.913,0.402,0.421,0.68,0.757
5.1,5.007,0.435,0.427,0.689,0.771
5.2,5.1,0.473,0.424,0.697,0.785
5.3,5.191,0.515,0.416,0.706,0.798
5.4,5.28,0.561,0.405,0.714,0.811
5.5,5.367,0.61,0.393,0.721,0.822
5.6,5.452,0.662,0.382,0.727,0.833
5.7,5.535,0.718,0.372,0.733,0.843
5.8,5.616,0.776,0.364,0.739,0.852
5.9,5.695,0.838,0.358,0.743,0.86
6.0,5.771,0.903,0.355,0.746,0.866
6.1,5.846,0.97,0.355,0.749,0.871
6.2,5.917,1.039,0.358,0.751,0.876
6.3,5.987,1.111,0.366,0.751,0.878
6.4,6.053,1.186,0.378,0.751,0.88
6.5,6.117,1.263,0.397,0.75,0.881
6.6,6.177,1.343,0.423,0.748,0.88
6.7,6.235,1.425,0.457,0.745,0.879
6.8,6.288,1.509,0.499,0.741,0.877
6.9,6.337,1.596,0.547,0.736,0.874
7.0,6.381,1.686,0.592,0.731,0.871
7.1,6.42,1.778,0.621,0.725,0.867
7.2,6.453,1.872,0.619,0.718,0.864
7.3,6.48,1.969,0.58,0.711,0.86
7.4,6.502,2.066,0.515,0.704,0.856
7.5,6.518,2.165,0.445,0.696,0.853
7.6,6.53,2.264,0.387,0.688,0.849
7.7,6.538,2.364,0.349,0.679,0.846
7.8,6.542,2.464,0.329,0.671,0.844
7.9,6.544,2.564,0.326,0.662,0.842
8.0,6.542,2.664,0.336,0.653,0.841
8.1,6.537,2.764,0.356,0.645,0.84
8.2,6.528,2.863,0.384,0.636,0.839
8.3,6.515,2.963,0.42,0.628,0.839
8.4,6.499,3.061,0.462,0.62,0.839
8.5,6.477,3.159,0.509,0.612,0.84
8.6,6.451,3.255,0.561,0.604,0.84
8.7,6.42,3.35,0.615,0.596,0.84
8.8,6.383,3.443,0.669,0.589,0.84
8.9,6.339,3.533,0.722,0.582,0.84
9.0,6.289,3.62,0.769,0.575,0.839
9.1,6.233,3.703,0.809,0.569,0.837
9.2,6.17,3.78,0.839,0.563,0.835
9.3,6.101,3.853,0.859,0.557,0.831
9.4,6.026,3.919,0.868,0.551,0.827
9.5,5.946,3.978,0.868,0.545,0.822
9.6,5.86,4.03,0.859,0.54,0.816
9.7,5.771,4.074,0.842,0.535,0.808
9.8,5.678,4.111,0.82,0.531,0.8
9.9,5.582,4.14,0.792,0.526,0.79
10.0,5.484,4.161,0.759,0.522,0.78
