s,x,y,kappa,n_l,n_r
0.0,0.057,0.046,0.107,0.537,0.644
0.5,0.555,0.015,0.121,0.538,0.647
1.0,1.055,0.038,0.083,0.54,0.651
1.5,1.553,0.074,0.022,0.542,0.655
2.0,2.052,0.112,0.014,0.545,0.66
2.5,2.55,0.154,0.018,0.548,0.665
3.0,3.048,0.201,0.024,0.551,0.671
3.5,3.545,0.253,0.044,0.555,0.676
4.0,4.042,0.314,0.095,0.559,0.681
4.5,4.535,0.395,0.195,0.563,0.686
5.0,5.019,0.52,0.334,0.566,0.691
5.5,5.473,0.726,0.451,0.57,0.696
6.0,5.867,1.032,0.505,0.574,0.7
6.5,6.17,1.428,0.502,0.577,0.703
7.0,6.362,1.888,0.46,0.581,0.705
7.5,6.444,2.381,0.418,0.583,0.707
8.0,6.425,2.879,0.434,0.586,0.708
8.5,6.306,3.364,0.535,0.588,0.708
9.0,6.066,3.8,0.671,0.589,0.707
9.5,5.693,4.129,0.752,0.59,0.705
10.0,5.223,4.292,0.72,0.59,0.702
10.5,4.726,4.272,0.568,0.59,0.699
11.0,4.255,4.108,0.341,0.589,0.695
11.5,3.819,3.864,0.06,0.588,0.69
12.0,3.394,3.601,-0.298,0.587,0.686
12.5,2.937,3.402,-0.639,0.585,0.681
13.0,2.441,3.38,-0.713,0.582,0.675
13.5,1.972,3.548,-0.514,0.579,0.67
14.0,1.563,3.834,-0.237,0.576,0.665
14.5,1.189,4.166,0.05,0.573,0.66
15.0,0.808,4.49,0.35,0.569,0.656
15.5,0.378,4.741,0.644,0.565,0.652
16.0,-0.109,4.838,0.916,0.562,0.648
16.5,-0.588,4.712,1.256,0.558,0.644
17.0,-0.895,4.334,1.529,0.554,0.641
17.5,-0.823,3.852,0.861,0.551,0.639
18.0,-0.522,3.453,0.005,0.548,0.637
18.5,-0.229,3.05,-0.716,0.545,0.636
19.0,-0.138,2.566,-0.879,0.542,0.635
19.5,-0.297,2.095,-0.443,0.54,0.634
20.0,-0.564,1.672,0.157,0.538,0.635
20.5,-0.801,1.234,0.763,0.537,0.635
21.0,-0.83,0.741,1.125,0.536,0.637
21.5,-0.576,0.319,0.859,0.536,0.638
22.0,-0.137,0.089,0.52,0.536,0.641
